Gene,Correlation
YRF1-1,2.1542625
YRF1-8,2.1251163
VMA16,2.0101523
SEC61,1.9359285
VMA3,1.8613212
VMA11,1.8389666
ENA5,1.7720923
PET9,1.6804266
RAD51,1.6700612
DED1,1.646377
YRF1-4,1.6396894
VMA1,1.631166
HSP10,1.5877042
YJL225C,1.5504957
HSP60,1.5339042
SPF1,1.4720976
AUS1,1.4666874
PCA1,1.4254515
SSB1,1.4168448
ACT1,1.4104818
VPH1,1.4031818
ENA2,1.376655
YML133C,1.376655
AFG1,1.3731923
PMA2,1.3648828
YRF1-2,1.3608301
PMA1,1.353939
TCP1,1.345468
SSB2,1.3290308
YRF1-3,1.3177613
PDR12,1.3027722
HSP150,1.266517
MDL2,1.2585046
YIL177C,1.1542627
SSC1,1.1240994
FAT1,1.1205558
ENA1,1.0903683
YEF3,1.0703539
YGR210C,1.065773
YRF1-5,1.054727
YRF1-6,1.054727
YHL050C,1.0495698
CCT6,1.034116
VMA2,1.0340871
DBP2,1.0301819
ATP2,1.0286375
ATM1,1.0251423
PDR15,1.0195297
SPB4,1.0134786
YPK9,1.0034257
VMA5,1.0004764
CAF16,0.9833038
STV1,0.97361386
MDL1,0.97334623
DNF2,0.9725313
PDR5,0.9438521
YFL066C,0.8845307
YOL075C,0.8601177
YEL077C,0.83656937
SNQ2,0.8341049
ATP1,0.83367956
PDR11,0.83264136
BPT1,0.81972855
YRF1-7,0.81371886
BUD32,0.7925925
SLH1,0.77602726
SSZ1,0.7714372
ARP2,0.7672037
SBH1,0.755047
NAM7,0.75166607
BRR2,0.74894994
CCT3,0.7349506
POF1,0.72705597
DHR2,0.7206613
CDC48,0.7163988
ADP1,0.71218854
AFG2,0.70496845
PEX6,0.69279283
SSA2,0.68914527
PDR18,0.6887063
CCC2,0.68366814
PCS60,0.6833409
NEO1,0.6735684
PDR10,0.6575441
VMA6,0.6553401
FAA3,0.6531635
NFT1,0.6469732
VMA9,0.6200353
RAD7,0.61103296
TIF2,0.6094016
COQ8,0.59677637
DRS2,0.5915071
DRS1,0.59077984
CCT8,0.5772164
YKR104W,0.5693001
