Gene,Correlation
FYV6,-2.371538
SDC1,-1.9941827
SAS4,-1.8391075
ASF2,-1.7205667
SIR4,-1.7200601
IES3,-1.7060854
ELG1,-1.634344
SPT10,-1.527404
YAF9,-1.4343112
MFT1,-1.4047047
MRC1,-1.3670998
RFA3,-1.3617642
SPT21,-1.3473715
MPS3,-1.3457832
NUP2,-1.2804067
ESC1,-1.2235742
ITC1,-1.2114307
CSM4,-1.1932006
SAS3,-1.1315141
ADA2,-1.0918082
UBP10,-1.0651869
YKU80,-1.0331539
RIF2,-0.97564673
RAD6,-0.9634412
ISW2,-0.9589394
PCC1,-0.95206225
SRC1,-0.93398136
MCM10,-0.93359125
DEF1,-0.8941083
EST2,-0.84121525
PNC1,-0.8025071
GON7,-0.76470083
RRP8,-0.75072426
RIF1,-0.73542094
RFA1,-0.7271942
RAD5,-0.71440864
SIR3,-0.685477
MPH1,-0.6852887
SCS2,-0.6661568
SPP1,-0.6494249
RRM3,-0.63777727
ORC2,-0.6293802
DOT5,-0.6279172
DNA2,-0.6217458
