Gene,Correlation
BUD5,-2.008776
RGD3,-2.0041668
ZDS2,-1.787289
SLM1,-1.7336532
PCL1,-1.6662563
PCL9,-1.6578741
ARF3,-1.6297712
NBA1,-1.5590904
BUD31,-1.5524313
TPM2,-1.5507725
PCL2,-1.498752
MOB2,-1.474005
BUD4,-1.3770398
SLM2,-1.3357815
TSC11,-1.2895578
BUD2,-1.2866317
BCK1,-1.256653
MSB1,-1.2432711
END3,-1.1903075
MUB1,-1.1881295
SNF1,-1.1657864
TPM1,-1.1498652
SPH1,-1.0986402
SPA2,-1.0964172
BIT61,-1.0811224
GIC2,-1.0792565
OSH6,-1.0718055
AVO1,-1.0617067
SFH5,-1.0576208
CDC3,-0.97632617
ROM2,-0.9604777
JNM1,-0.92839926
NIS1,-0.8842824
BUD6,-0.88090426
AVO2,-0.85557026
ATC1,-0.8521637
CBK1,-0.846987
OSH3,-0.8379498
BUD9,-0.83559614
SWH1,-0.80085975
AXL1,-0.78146654
SLG1,-0.74845284
RHO5,-0.7141538
RHO4,-0.6981802
STE20,-0.66762155
SRO7,-0.62268525
MYO3,-0.61698747
MYO5,-0.60633856
BEM3,-0.6034655
HKR1,-0.55438167
MLF3,-0.5402474
CDC24,-0.5394677
KIP3,-0.5384903
CHS5,-0.50449014
CDC11,-0.5007335
DMA2,-0.49186727
PEF1,-0.4733085
OSH2,-0.45462474
THP1,-0.4466534
PEA2,-0.43580076
