Gene,Correlation
ASC1,2.1651804
GDT1,2.085106
VMA16,2.0101523
PER1,1.9395238
IZH2,1.8828145
FYV5,1.8806975
VMA3,1.8613212
VMA11,1.8389666
CSG2,1.832998
VCX1,1.8035237
CTR2,1.7947993
ATX2,1.7768159
ENA5,1.7720923
GGC1,1.7448158
ORM1,1.737311
SMF3,1.6741503
BOL2,1.670434
ARN1,1.6452705
VMA1,1.631166
YHC3,1.6007881
ICE2,1.593661
SCO1,1.5849429
CCC1,1.5848908
OPT2,1.5765126
TRX1,1.5741624
POR2,1.5448717
PFK2,1.5402267
IZH1,1.5321686
NHX1,1.5301523
EMP70,1.512255
IRC15,1.4960337
SPF1,1.4720976
MSC2,1.466963
TMN2,1.4558086
FRE2,1.4334357
PCA1,1.4254515
ZRC1,1.4180486
COS3,1.4032902
VPH1,1.4031818
SMF2,1.4015969
ENA2,1.376655
PMA2,1.3648828
PMA1,1.353939
GLK1,1.3482813
SMF1,1.3476948
NHA1,1.3405257
GEF1,1.2912693
YKE4,1.2592335
ECM27,1.1965597
SIT1,1.1955608
TOK1,1.1668587
FET3,1.1405166
FRE6,1.1236569
ENA1,1.0903683
FET5,1.0889486
GNP1,1.0875984
FRE3,1.0778105
ZRT3,1.0520889
VMA2,1.0340871
ATM1,1.0251423
CRD1,1.023476
YPK9,1.0034257
VMA5,1.0004764
FRE1,0.9797766
STV1,0.97361386
PDR5,0.9438521
EMI2,0.92743057
YVC1,0.91771346
FRE8,0.91290003
ARN2,0.9079722
FRE7,0.9042306
