Gene,Occurances in pairs,Membership
YMR114C,8277,Agnostic
YBR046C,8277,Agnostic
YAL064W-B,8277,Agnostic
YBR239C,8277,Agnostic
YLR392C,8277,Agnostic
YFL006W,8277,Agnostic
YLR203C,8277,Agnostic
YKR041W,8277,Agnostic
YLR307C-A,8277,Agnostic
YDR349C,8277,Agnostic
YLR146W-A,8277,Agnostic
YCL005W,8277,Agnostic
YNL168C,8277,Agnostic
YGR012W,8277,Agnostic
YKL217W,8277,Agnostic
YOR161C-C,8277,Agnostic
YDR248C,8277,Agnostic
YIL151C,8277,Agnostic
YLR154C-G,8277,Agnostic
YOR215C,8277,Agnostic
YPR096C,8277,Agnostic
YDL075W,8277,Agnostic
YOL163W,8277,Agnostic
YCL011C-A,8277,Agnostic
YKR071C,8277,Agnostic
YOR177C,8277,Agnostic
YMR310C,8277,Agnostic
YNL193W,8277,Agnostic
YMR178W,8277,Agnostic
YDL133W,8277,Agnostic
YDR186C,8277,Agnostic
YBR298C-A,8277,Agnostic
YER039C,8277,Agnostic
YLR157W-A,8277,Agnostic
YCL047C,8277,Agnostic
YBR162W-A,8277,Agnostic
YDL018C,8277,Agnostic
YPR108W-A,8277,Agnostic
YBL039W-B,8277,Agnostic
YDL007C-A,8277,Agnostic
YPL252C,8277,Agnostic
YGL085W,8277,Agnostic
YPR035W,8277,Agnostic
YER096W,8277,Agnostic
YNL162W-A,8277,Agnostic
YJL225C,8277,Agnostic
YNL095C,8277,Agnostic
YMR261C,8277,Agnostic
YBR255C-A,8277,Agnostic
YDR354W,8277,Agnostic
YKL068W-A,8277,Agnostic
YJL079C,8277,Agnostic
YGL250W,8277,Agnostic
YKL124W,8277,Agnostic
YKL061W,8277,Agnostic
YDR351W,8277,Agnostic
YDL159W-A,8277,Agnostic
YJR036C,8277,Agnostic
YOR219C,8277,Agnostic
YDR493W,8277,Agnostic
YDR466W,8277,Agnostic
YPL077C,8277,Agnostic
YGR295C,8277,Agnostic
YGL002W,8277,Agnostic
YMR171C,8277,Agnostic
YLR438W,8277,Agnostic
YPL236C,8277,Agnostic
YJR111C,8277,Agnostic
YDR066C,8277,Agnostic
YDR430C,8277,Agnostic
YOL119C,8277,Agnostic
YLR058C,8277,Agnostic
YOR011W-A,8277,Agnostic
YIL175W,8277,Agnostic
YKL096W-A,8277,Agnostic
YER180C,8277,Agnostic
YMR206W,8277,Agnostic
YFR032C-B,8277,Agnostic
YDR406W,8277,Agnostic
YPL229W,8277,Agnostic
YBL049W,8277,Agnostic
YJR098C,8277,Agnostic
YLL025W,8277,Agnostic
YKL106W,8277,Agnostic
YNR020C,8277,Agnostic
YJL078C,8277,Agnostic
YKR088C,8277,Agnostic
YLR174W,8277,Agnostic
YDR471W,8277,Agnostic
YHR207C,8277,Agnostic
YHR149C,8277,Agnostic
YBR052C,8277,Agnostic
YBR005W,8277,Agnostic
YER014W,8277,Agnostic
YOR383C,8277,Agnostic
YDR408C,8277,Agnostic
YBR122C,8277,Agnostic
YFR043C,8277,Agnostic
YBR056W,8277,Agnostic
YOR273C,8277,Agnostic
YLL055W,8277,Agnostic
YBL037W,8277,Agnostic
YOR186W,8277,Agnostic
YMR256C,8277,Agnostic
YCR029C-A,8277,Agnostic
YDR444W,8277,Agnostic
YHR179W,8277,Agnostic
YMR111C,8277,Agnostic
YCR021C,8277,Agnostic
YOL087C,8277,Agnostic
YDR233C,8277,Agnostic
YNL316C,8277,Agnostic
YAL018C,8277,Agnostic
YBL111C,8277,Agnostic
YLR072W,8277,Agnostic
YGL157W,8277,Agnostic
YKL215C,8277,Agnostic
YBR299W,8277,Agnostic
YBR200W-A,8277,Agnostic
YGL263W,8277,Agnostic
YOR342C,8277,Agnostic
YGL235W,8277,Agnostic
YGL148W,8277,Agnostic
YNL187W,8277,Agnostic
YKL010C,8277,Agnostic
YOR312C,8277,Agnostic
YBL059W,8277,Agnostic
YER124C,8277,Agnostic
YMR244C-A,8277,Agnostic
YOR387C,8277,Agnostic
YJL206C-A,8277,Agnostic
YML053C,8277,Agnostic
YMR166C,8277,Agnostic
YIL130W,8277,Agnostic
YGR125W,8277,Agnostic
YPR115W,8277,Agnostic
YHR017W,8277,Agnostic
YNL024C-A,8277,Agnostic
YPL088W,8277,Agnostic
YFR042W,8277,Agnostic
YAL060W,8277,Agnostic
YIL093C,8277,Agnostic
YJL051W,8277,Agnostic
YJR034W,8277,Agnostic
YGR266W,8277,Agnostic
YCR070W,8277,Agnostic
YOR059C,8277,Agnostic
YBR054W,8277,Agnostic
YLR152C,8277,Agnostic
YJR014W,8277,Agnostic
YIL104C,8277,Agnostic
YGR204C-A,8277,Agnostic
YHR104W,8277,Agnostic
YNL141W,8277,Agnostic
YMR233W,8277,Agnostic
YHR184W,8277,Agnostic
YDR332W,8277,Agnostic
YLL023C,8277,Agnostic
YAR023C,8277,Agnostic
YOR183W,8277,Agnostic
YIL014C-A,8277,Agnostic
YGL186C,8277,Agnostic
YLR024C,8277,Agnostic
YKR058W,8277,Agnostic
YIL152W,8277,Agnostic
YPL109C,8277,Agnostic
YCR043C,8277,Agnostic
YGR250C,8277,Agnostic
YHR156C,8277,Agnostic
YJR113C,8277,Agnostic
YLR137W,8277,Agnostic
YER156C,8277,Agnostic
YGR071C,8277,Agnostic
YHR127W,8277,Agnostic
YPR106W,8277,Agnostic
YFR016C,8277,Agnostic
YGR237C,8277,Agnostic
YLR389C,8277,Agnostic
YDL057W,8277,Agnostic
YBR140C,8277,Agnostic
YMR028W,8277,Agnostic
YDL218W,8277,Agnostic
YJR072C,8277,Agnostic
YPL263C,8277,Agnostic
YLL014W,8277,Agnostic
YNR041C,8277,Agnostic
YKL091C,8277,Agnostic
YOR107W,8277,Agnostic
YNL165W,8277,Agnostic
YMR217W,8277,Agnostic
YMR295C,8277,Agnostic
YKL003C,8277,Agnostic
YIL041W,8277,Agnostic
YNR050C,8277,Agnostic
YEL046C,8277,Agnostic
YGR017W,8277,Agnostic
YIL055C,8277,Agnostic
YHR009C,8277,Agnostic
YOR293C-A,8277,Agnostic
YGL260W,8277,Agnostic
YOR166C,8277,Agnostic
YOR276W,8277,Agnostic
YFR025C,8277,Agnostic
YPL220W,8277,Agnostic
YHR182W,8277,Agnostic
YPL090C,8277,Agnostic
YIL099W,8277,Agnostic
YDR105C,8277,Agnostic
YLR050C,8277,Agnostic
YBR184W,8277,Agnostic
YDR307W,8277,Agnostic
YOL015W,8277,Agnostic
YAR062W,8277,Agnostic
YLR089C,8277,Agnostic
YGR049W,8277,Agnostic
YMR123W,8277,Agnostic
YGL050W,8277,Agnostic
