Began Loading Data
Finished Loading Data
Batch 0 Loss:	0.688625693321228
Batch 0 Time:	0.13893441359202066 minutes
Batch 100 Loss:	64.92369282245636
Batch 100 Time:	0.7304133613904317 minutes
Batch 200 Loss:	58.5387447476387
Batch 200 Time:	0.7332762519518534 minutes
Batch 300 Loss:	55.481468707323074
Batch 300 Time:	0.7364187081654866 minutes
Batch 400 Loss:	53.67608416080475
Batch 400 Time:	0.726248049736023 minutes
Batch 500 Loss:	52.551878333091736
Batch 500 Time:	0.7311445395151774 minutes
Batch 600 Loss:	51.54852172732353
Batch 600 Time:	0.7273056904474894 minutes
Batch 700 Loss:	49.421267569065094
Batch 700 Time:	0.7306442221005758 minutes
Batch 800 Loss:	48.379090279340744
Batch 800 Time:	0.7332388003667195 minutes
Batch 900 Loss:	46.3000525534153
Batch 900 Time:	0.7278915365537008 minutes
Batch 1000 Loss:	45.575083911418915
Batch 1000 Time:	0.7289600451787313 minutes
Batch 1100 Loss:	46.191155433654785
Batch 1100 Time:	0.7274256428082784 minutes
Batch 1200 Loss:	43.419857040047646
Batch 1200 Time:	0.7243283152580261 minutes
Batch 1300 Loss:	43.65722243487835
Batch 1300 Time:	0.7273765842119853 minutes
Batch 1400 Loss:	44.36197033524513
Batch 1400 Time:	0.7238140384356181 minutes
Batch 1500 Loss:	40.84273290634155
Batch 1500 Time:	0.7256500879923503 minutes
Batch 1600 Loss:	40.381475791335106
Batch 1600 Time:	0.7301339268684387 minutes
Batch 1700 Loss:	41.19003014266491
Batch 1700 Time:	0.7307555039723714 minutes
Batch 1800 Loss:	42.25678324699402
Batch 1800 Time:	0.7335273265838623 minutes
Batch 1900 Loss:	38.97238679230213
Batch 1900 Time:	0.7307193597157796 minutes
Batch 2000 Loss:	41.672946348786354
Batch 2000 Time:	0.7339104692141215 minutes
Batch 2100 Loss:	37.586141526699066
Batch 2100 Time:	0.7256173213322957 minutes
Batch 2200 Loss:	40.27918419241905
Batch 2200 Time:	0.7286550521850585 minutes
Batch 2300 Loss:	37.81596963107586
Batch 2300 Time:	0.7228073517481486 minutes
Batch 2400 Loss:	36.60754609107971
Batch 2400 Time:	0.7233288645744324 minutes
Batch 2500 Loss:	37.51368468999863
Batch 2500 Time:	0.7339743574460348 minutes
Batch 2600 Loss:	39.33597671985626
Batch 2600 Time:	0.7358477075894674 minutes
Batch 2700 Loss:	34.72937223315239
Batch 2700 Time:	0.7285807569821675 minutes
Batch 2800 Loss:	36.91606289148331
Batch 2800 Time:	0.7254395445187887 minutes
Batch 2900 Loss:	35.154810413718224
Batch 2900 Time:	0.731557826201121 minutes
Batch 3000 Loss:	38.441726461052895
Batch 3000 Time:	0.7325594345728557 minutes
Batch 3100 Loss:	35.950842782855034
Batch 3100 Time:	0.7273740728696187 minutes
Batch 3200 Loss:	35.11572515964508
Batch 3200 Time:	0.7307227253913879 minutes
Batch 3300 Loss:	36.21315249055624
Batch 3300 Time:	0.732093342145284 minutes
Batch 3400 Loss:	33.994125843048096
Batch 3400 Time:	0.7213853359222412 minutes
Batch 3500 Loss:	32.460969015955925
Batch 3500 Time:	0.7278377135594686 minutes
Batch 3600 Loss:	35.47055108845234
Batch 3600 Time:	0.724373976389567 minutes
Batch 3700 Loss:	36.45247548818588
Batch 3700 Time:	0.7188012798627218 minutes
Batch 3800 Loss:	34.79613069444895
Batch 3800 Time:	0.7280991117159525 minutes
Batch 3900 Loss:	33.82069435715675
Batch 3900 Time:	0.7297854423522949 minutes
Batch 4000 Loss:	31.248815640807152
Batch 4000 Time:	0.7223525325457255 minutes
Batch 4100 Loss:	35.528477631509304
Batch 4100 Time:	0.7256806691487631 minutes
Batch 4200 Loss:	32.81018900871277
Batch 4200 Time:	0.7291306813557943 minutes
Batch 4300 Loss:	33.704656571149826
Batch 4300 Time:	0.7325989643732707 minutes
Batch 4400 Loss:	32.25459711253643
Batch 4400 Time:	0.7300991415977478 minutes
Batch 4500 Loss:	32.320563927292824
Batch 4500 Time:	0.7233884890874227 minutes
Batch 4600 Loss:	31.466242216527462
Batch 4600 Time:	0.7260180830955505 minutes
Batch 4700 Loss:	31.434964284300804
Batch 4700 Time:	0.7225323041280111 minutes
Batch 4800 Loss:	33.09890766441822
Batch 4800 Time:	0.7266737262407938 minutes
Batch 4900 Loss:	32.30948830395937
Batch 4900 Time:	0.7336483478546143 minutes
Batch 5000 Loss:	32.50403791666031
Batch 5000 Time:	0.7284869273503621 minutes
Batch 5100 Loss:	31.902577593922615
Batch 5100 Time:	0.725428307056427 minutes
Batch 5200 Loss:	31.453395664691925
Batch 5200 Time:	0.7231793959935506 minutes
Batch 5300 Loss:	31.34606570005417
Batch 5300 Time:	0.7190833687782288 minutes
Batch 5400 Loss:	28.50622197240591
Batch 5400 Time:	0.7272948702176412 minutes
Batch 5500 Loss:	31.42547070235014
Batch 5500 Time:	0.73040292263031 minutes
Batch 5600 Loss:	30.933120522648096
Batch 5600 Time:	0.7255174001057942 minutes
Batch 5700 Loss:	30.813860848546028
Batch 5700 Time:	0.7193594018618266 minutes
Batch 5800 Loss:	32.811846755445
Batch 5800 Time:	0.7285861055056254 minutes
Batch 5900 Loss:	30.641983844339848
Batch 5900 Time:	0.7244023442268371 minutes
Batch 6000 Loss:	30.080480854958296
Batch 6000 Time:	0.7283066709836324 minutes
Batch 6100 Loss:	30.764004349708557
Batch 6100 Time:	0.7255619049072266 minutes
Batch 6200 Loss:	30.46669840067625
Batch 6200 Time:	0.7297674934069316 minutes
Batch 6300 Loss:	29.906222216784954
Batch 6300 Time:	0.7304793914159139 minutes
Batch 6400 Loss:	29.37839724868536
Batch 6400 Time:	0.7271738171577453 minutes
Batch 6500 Loss:	30.20432287454605
Batch 6500 Time:	0.7236355741818746 minutes
Batch 6600 Loss:	30.296788834035397
Batch 6600 Time:	0.7299262404441833 minutes
Batch 6700 Loss:	29.816992707550526
Batch 6700 Time:	0.7268493135770162 minutes
Batch 6800 Loss:	29.420529782772064
Batch 6800 Time:	0.730870763460795 minutes
Batch 6900 Loss:	32.57179198414087
Batch 6900 Time:	0.7299600561459859 minutes
Batch 7000 Loss:	31.284973196685314
Batch 7000 Time:	0.7307579676310222 minutes
Batch 7100 Loss:	29.72777308523655
Batch 7100 Time:	0.7195983608563741 minutes
Batch 7200 Loss:	29.868677906692028
Batch 7200 Time:	0.7260875423749288 minutes
Batch 7300 Loss:	28.40838113427162
Batch 7300 Time:	0.7241000294685364 minutes
Batch 7400 Loss:	29.260555885732174
Batch 7400 Time:	0.7308578769365947 minutes
Batch 7500 Loss:	30.158984392881393
Batch 7500 Time:	0.723612121740977 minutes
Batch 7600 Loss:	28.335101179778576
Batch 7600 Time:	0.7257263541221619 minutes
Batch 7700 Loss:	29.047360867261887
Batch 7700 Time:	0.7276698231697083 minutes
Batch 7800 Loss:	30.41227050125599
Batch 7800 Time:	0.7300955454508463 minutes
Batch 7900 Loss:	29.547460235655308
Batch 7900 Time:	0.7210033377011617 minutes
Batch 8000 Loss:	30.404880359768867
Batch 8000 Time:	0.7267378052075704 minutes
Batch 8100 Loss:	29.959874376654625
Batch 8100 Time:	0.7233844637870789 minutes
Batch 8200 Loss:	29.580526687204838
Batch 8200 Time:	0.727401860555013 minutes
Batch 8300 Loss:	27.384257316589355
Batch 8300 Time:	0.7278458118438721 minutes
Batch 8400 Loss:	27.62711477279663
Batch 8400 Time:	0.7195603728294373 minutes
Batch 8500 Loss:	32.59869574010372
Batch 8500 Time:	0.721779481569926 minutes
Batch 8600 Loss:	29.284100852906704
Batch 8600 Time:	0.7201709548632304 minutes
Batch 8700 Loss:	29.013654723763466
Batch 8700 Time:	0.7234424114227295 minutes
Batch 8800 Loss:	26.829230532050133
Batch 8800 Time:	0.7275908907254537 minutes
Batch 8900 Loss:	29.8160048276186
Batch 8900 Time:	0.72747296889623 minutes
Batch 9000 Loss:	29.04370079934597
Batch 9000 Time:	0.722994613647461 minutes
Batch 9100 Loss:	26.85474816709757
Batch 9100 Time:	0.7264403541882832 minutes
Batch 9200 Loss:	29.23563525080681
Batch 9200 Time:	0.7270262797673543 minutes
Batch 9300 Loss:	29.813504811376333
Batch 9300 Time:	0.7298073649406434 minutes
Batch 9400 Loss:	26.670448891818523
Batch 9400 Time:	0.7226021647453308 minutes
Batch 9500 Loss:	25.386794939637184
Batch 9500 Time:	0.7294610579808553 minutes
Batch 9600 Loss:	27.338231183588505
Batch 9600 Time:	0.7239970207214356 minutes
Batch 9700 Loss:	27.752651393413544
Batch 9700 Time:	0.733988360563914 minutes
Batch 9800 Loss:	28.38805490732193
Batch 9800 Time:	0.7258350372314453 minutes
Batch 9900 Loss:	29.04922392219305
Batch 9900 Time:	0.7301669001579285 minutes
Training Time: 73.18002350727717 minutes
Test Time: 1.6389567494392394 minutes
Total Time: 74.81898076534272 minutes
