Gene A,Gene B,Score
YIL154C,YER154W,tensor(0.9322)
YIL154C,YER017C,tensor(0.5822)
YIL154C,YER125W,tensor(0.9121)
YIL154C,YGR029W,tensor(0.9865)
YIL154C,YOR060C,tensor(0.6780)
YIL154C,YNL304W,tensor(0.9114)
YIL154C,YDR219C,tensor(0.6952)
YIL154C,YOR266W,tensor(0.9526)
YIL154C,YNL079C,tensor(0.8890)
YIL154C,YGR132C,tensor(0.4613)
YIL154C,YIL138C,tensor(0.9240)
YIL154C,YGR231C,tensor(0.7313)
YIL154C,YGR046W,tensor(0.7556)
YIL154C,YNL213C,tensor(0.9136)
YIL154C,YOR232W,tensor(0.9337)
YIL154C,YOR037W,tensor(0.8614)
YIL154C,YOR211C,tensor(0.8961)
YIL154C,YOR326W,tensor(0.9032)
YIL154C,YDL142C,tensor(0.6859)
YIL154C,YJR144W,tensor(0.9264)
YIL154C,YJL104W,tensor(0.8537)
YIL154C,YNL064C,tensor(0.8215)
YIL154C,YPL098C,tensor(0.9934)
YIL154C,YKR065C,tensor(0.9557)
YIL154C,YKR042W,tensor(0.8773)
YIL154C,YLR008C,tensor(0.9674)
YIL154C,YPR140W,tensor(0.7373)
YIL154C,YML091C,tensor(0.8815)
YIL154C,YDR296W,tensor(0.8569)
YIL154C,YGR181W,tensor(0.9755)
YIL154C,YKL195W,tensor(0.8771)
YIL154C,YJL143W,tensor(0.8482)
YIL154C,YOR297C,tensor(0.9025)
YIL154C,YGR033C,tensor(0.9518)
YIL154C,YBR044C,tensor(0.9413)
YIL154C,YDL217C,tensor(0.8975)
YIL154C,YNR017W,tensor(0.7825)
YIL154C,YDR079W,tensor(0.9562)
YIL154C,YIL022W,tensor(0.8905)
YIL154C,YPL063W,tensor(0.9620)
YIL154C,YJL054W,tensor(0.8670)
YIL154C,YER058W,tensor(0.9392)
YIL154C,YJR135W-A,tensor(0.9472)
YIL154C,YNL055C,tensor(0.9854)
YIL154C,YEL020W-A,tensor(0.9732)
YIL154C,YOL026C,tensor(0.9642)
YIL154C,YPR131C,tensor(0.7711)
YIL154C,YOR330C,tensor(0.9257)
YIL154C,YCR020C,tensor(0.5710)
YIL154C,YEL030W,tensor(0.8399)
YIL154C,YJR034W,tensor(0.9722)
YIL154C,YMR241W,tensor(0.9267)
YIL154C,YFL036W,tensor(0.8951)
YIL154C,YML061C,tensor(0.9632)
YIL154C,YMR089C,tensor(0.8674)
YIL154C,YJL116C,tensor(0.5491)
YIL154C,YDR393W,tensor(0.9376)
YIL154C,YLR059C,tensor(0.8641)
YIL154C,YIL051C,tensor(0.9764)
YIL154C,YLL006W,tensor(0.7591)
YIL154C,YNL310C,tensor(0.9465)
YIL154C,YLR190W,tensor(0.8560)
YIL154C,YDL006W,tensor(0.8772)
YIL154C,YHR083W,tensor(0.9429)
YIL154C,YPR125W,tensor(0.7319)
YIL154C,YMR060C,tensor(0.8688)
YIL154C,YGR112W,tensor(0.9228)
YIL154C,YOL060C,tensor(0.4844)
YIL154C,YNL026W,tensor(0.9216)
YIL154C,YDR470C,tensor(0.9296)
YIL154C,YPR024W,tensor(0.9056)
YIL154C,YCR079W,tensor(0.7646)
YIL154C,YMR302C,tensor(0.8366)
YIL154C,YLR163C,tensor(0.9102)
YIL154C,YMR134W,tensor(0.8383)
YIL154C,YHR024C,tensor(0.9021)
YIL154C,YGR082W,tensor(0.9417)
