Gene,Correlation
MPC54,-2.5519307
MMS21,-2.3090212
ABF2,-2.238522
NUM1,-2.1326375
NDL1,-1.8244187
EXO70,-1.795991
MRT4,-1.7541444
RPL40B,-1.7284638
MMR1,-1.7246739
SIR4,-1.7200601
PEP3,-1.7176942
CIK1,-1.6848125
JSN1,-1.6615711
MDM10,-1.6607054
SLX9,-1.6479758
NDC80,-1.6475925
VAM3,-1.5799886
KAR3,-1.5751829
TPM2,-1.5507725
SED5,-1.5461771
SSO2,-1.5448611
MIF2,-1.5302355
NSP1,-1.5167072
GPA1,-1.5165676
YRB2,-1.4990746
GTA1,-1.4903796
MTR2,-1.4875913
SLK19,-1.4114149
NUP60,-1.4061452
DYN3,-1.3946993
BCP1,-1.3485792
MPS3,-1.3457832
MLP2,-1.2931963
PEP12,-1.2755233
SEC12,-1.2397912
CSM1,-1.2321543
ESC1,-1.2235742
BUD20,-1.20081
SMY1,-1.1986573
CSM4,-1.1932006
SPC24,-1.1784723
SNF1,-1.1657864
MLC1,-1.1585873
SEC3,-1.1531659
TPM1,-1.1498652
LOC1,-1.1374333
JJJ1,-1.1245967
YPT11,-1.1223578
KAR9,-1.091739
NUD1,-1.0812508
CTF18,-1.0396752
NOP53,-1.0373913
TCB2,-1.0352403
LTV1,-1.0092918
DML1,-0.96485484
SEC5,-0.9368608
JNM1,-0.92839926
AIM21,-0.9105076
SEC1,-0.902455
MYO4,-0.8914209
MDM32,-0.8855046
NFI1,-0.8761487
SPC105,-0.86742646
EXO84,-0.857635
PEP5,-0.8528921
NVJ1,-0.8411839
SSO1,-0.8290272
ECM1,-0.82745713
YAR1,-0.8223931
