Gene,Correlation
SUS1,-2.624418
CDC26,-2.483238
GTF1,-2.2216685
YNG2,-2.173079
SEM1,-2.150822
TRS23,-2.1245968
TAF11,-2.0921144
MOT2,-2.061566
BUD5,-2.008776
PRI2,-1.9556397
AHC1,-1.9211729
EAF6,-1.8994694
FYV10,-1.8539772
SAS4,-1.8391075
CDC53,-1.8061352
EXO70,-1.795991
RPB5,-1.7449485
SLM1,-1.7336532
MMR1,-1.7246739
AHC2,-1.7241153
RPA34,-1.6956252
PCL1,-1.6662563
TAF14,-1.6627625
PCL9,-1.6578741
CAP1,-1.6452295
PAF1,-1.6405817
CCL1,-1.6253928
HYM1,-1.6116854
RPC17,-1.5833468
CDC55,-1.5483373
SKP1,-1.5266848
RNH202,-1.52304
RAD18,-1.5224582
PCL2,-1.498752
RNH203,-1.4777682
RPA43,-1.4634322
TFA1,-1.4574236
YAF9,-1.4343112
MFB1,-1.4233204
MYO1,-1.4041604
NGG1,-1.402228
BEM1,-1.3982636
ARD1,-1.3980767
SOG2,-1.3954388
TFB1,-1.3902478
BNI4,-1.3850377
RGP1,-1.3744584
IPA1,-1.3393509
SLM2,-1.3357815
MEH1,-1.3352196
YOS9,-1.3175257
RIC1,-1.3168554
TOA1,-1.3064606
TRS65,-1.2993517
EGO2,-1.292544
TSC11,-1.2895578
BUD2,-1.2866317
HRD3,-1.2762842
EPL1,-1.2634195
RAD28,-1.2549229
RPC34,-1.2517861
BEM2,-1.241748
RPN5,-1.2362318
SDS23,-1.2317615
CKA1,-1.2105718
SCL1,-1.2090063
SMY1,-1.1986573
SPT7,-1.1897624
SWC4,-1.188855
MUB1,-1.1881295
BUL2,-1.1832323
DAS1,-1.1793752
SNF1,-1.1657864
NOT5,-1.1574937
SEC3,-1.1531659
CAF20,-1.1366869
SLX8,-1.1325176
SAS3,-1.1315141
YPT11,-1.1223578
TPK3,-1.1141361
NOT3,-1.105939
RPO26,-1.1008427
SPH1,-1.0986402
YNG1,-1.0974565
SPA2,-1.0964172
REV3,-1.0960084
ADA2,-1.0918082
PRE9,-1.0888417
SGT1,-1.0866289
YNR068C,-1.0849978
TCO89,-1.0815673
BIT61,-1.0811224
GIC2,-1.0792565
ESA1,-1.0743607
APC5,-1.0688121
AVO1,-1.0617067
APC2,-1.0541096
SMI1,-1.0536188
BET5,-1.048527
SIP2,-1.0472571
RPT3,-1.0398167
RPC31,-1.0363512
CDC20,-1.0362468
HOC1,-1.0360434
RPN8,-1.0351585
SPT20,-1.032736
RPB10,-1.0213172
KIC1,-1.013896
LTV1,-1.0092918
RPB4,-1.0083646
EAF5,-0.99736154
ACL4,-0.9878291
NAT1,-0.9800273
PSY2,-0.97772205
RAD6,-0.9634412
SKG1,-0.9631092
ROM2,-0.9604777
RPC53,-0.95887065
REV7,-0.9585699
SKP2,-0.94976324
UBP6,-0.94943404
TUS1,-0.9460815
SEC5,-0.9368608
DBF4,-0.9337774
APC9,-0.9329947
TAF13,-0.9328109
TPK1,-0.9299356
TFB4,-0.9190074
POL12,-0.90349466
TFB6,-0.8994694
RPT6,-0.8988454
DER1,-0.89174366
RTT101,-0.8817079
BUD6,-0.88090426
ABD1,-0.87815887
MNN9,-0.874685
DPB3,-0.86865175
CKA2,-0.8678256
GAL83,-0.86767024
TAF12,-0.8672705
EAF1,-0.8615342
IKI1,-0.86011755
EXO84,-0.857635
AVO2,-0.85557026
RPC19,-0.85476077
RPN6,-0.8542007
CBK1,-0.846987
POP2,-0.8465888
HFI1,-0.84329236
TAF7,-0.8405757
TAF4,-0.8349739
PPH21,-0.8261332
MLC2,-0.82321995
RPC37,-0.81928027
TFG1,-0.8142833
RPN7,-0.81013995
GID8,-0.8067354
