Term,Name,2007 Genes,KS Statistic,KS P-Value,BM Statistic,BM P-Value,Energy Distance
GO:0000054,ribosome export from nucleus,25,0.5614950000000001,0.0,-620.0517969946438,0.0,0.7147036241963375
GO:0000278,mitotic cell cycle,248,0.17047999999999996,0.0,-116.48593595256773,0.0,0.13404278340214298
GO:0000747,conjugation with cellular fusion,114,0.08976,0.0,-54.273419379821824,0.0,0.06413485857765265
GO:0000902,cell morphogenesis,259,0.062915,0.0,-37.0054346141004,3.0417165590613175e-299,0.0452162624536025
GO:0000910,cytokinesis,106,0.10848000000000002,0.0,-75.4169328616229,0.0,0.08761116575081239
GO:0001403,invasive growth (sensu Saccharomyces),43,0.13864500000000002,0.0,-95.99002232667303,0.0,0.10966705172649714
GO:0003700,transcription factor activity,60,0.13604000000000005,0.0,-85.63642622281088,0.0,0.10113575020365909
GO:0004518,nuclease activity,140,0.208855,0.0,37.17867104694432,6.01425896619781e-302,0.13889445118246074
GO:0005085,guanyl-nucleotide exchange factor activity,38,0.178525,0.0,-129.89068819670578,0.0,0.14994373694271443
GO:0006260,DNA replication,112,0.2812,0.0,-209.3088263610683,0.0,0.2345845796389723
GO:0006281,DNA repair,185,0.170435,0.0,-109.1065195110842,0.0,0.12676085714920857
GO:0006310,DNA recombination,109,0.12635000000000002,0.0,-71.23869506098696,0.0,0.09407002431884026
GO:0006325,establishment and/or maintenance of chromatin architecture,245,0.21164499999999997,0.0,-142.58028134321077,0.0,0.16307987044539482
GO:0006352,transcription initiation,56,0.362745,0.0,-279.2721105331378,0.0,0.29793543196538036
GO:0006353,transcription termination,20,0.24473,0.0,-154.72526596393206,0.0,0.17386678684192586
GO:0006360,transcription from RNA polymerase I promoter,30,0.512235,0.0,-495.9210251956601,0.0,0.521127026902948
GO:0006364,rRNA processing,171,0.709285,0.0,-822.0338959076437,0.0,0.9230108923621824
GO:0006366,transcription from RNA polymerase II promoter,333,0.14648499999999998,0.0,-101.92906966599261,0.0,0.11810631077568959
GO:0006383,transcription from RNA polymerase III promoter,39,0.30689,0.0,-229.14676753431942,0.0,0.33148496501749014
GO:0006397,mRNA processing,149,0.244575,0.0,-175.76560933809338,0.0,0.19670984361123722
GO:0006401,RNA catabolic process,69,0.261845,0.0,-173.7266162086186,0.0,0.24115496092039873
GO:0006413,translational initiation,41,0.417075,0.0,-251.9712978665268,0.0,0.4831283562334748
GO:0006414,translational elongation,20,0.456145,0.0,-310.06260481901097,0.0,0.5411358450760158
GO:0006418,tRNA aminoacylation for protein translation,31,0.32067999999999997,0.0,-99.7349660490468,0.0,0.3950853253164498
GO:0006457,protein folding,83,0.10188499999999989,0.0,-58.324677797360216,0.0,0.1082563697776489
GO:0006468,protein amino acid phosphorylation,96,0.145225,0.0,-96.1056968130852,0.0,0.1105290206511582
GO:0006470,protein amino acid dephosphorylation,28,0.15074500000000002,0.0,-81.11941064670908,0.0,0.11322834320556162
GO:0006486,protein amino acid glycosylation,73,0.36235,0.0,-279.26074077190054,0.0,0.3228795306256524
GO:0006497,protein amino acid lipidation,46,0.22211999999999998,0.0,-152.48693941071346,0.0,0.18194711871618383
GO:0006605,protein targeting,244,0.10346500000000003,0.0,-56.49087794072062,0.0,0.08904788201131032
GO:0006629,lipid metabolic process,233,0.072575,0.0,-41.34847721017669,0.0,0.0510295710322531
