GO Term ID,GO Term Name,GO Branch,Num Annotations,ES,p-value,NES,FDR q-value,LES size
GO:0009081,branched-chain amino acid metabolic process,Biological Process,25,0.7634357362604226,0.0,2.491656276223817,0.0,9
GO:0009082,branched-chain amino acid biosynthetic process,Biological Process,16,0.7894767126878615,0.0,2.426011272638412,0.0,7
GO:0008652,cellular amino acid biosynthetic process,Biological Process,129,0.454583089980117,0.0,2.280143611445622,0.0011095742009004043,48
GO:0006551,leucine metabolic process,Biological Process,10,0.8033829251021462,0.0,2.1357655650597898,0.009153987157428337,4
GO:0009097,isoleucine biosynthetic process,Biological Process,11,0.7766890069522467,0.0031746031746031746,2.0840146344663513,0.016310740753235943,5
GO:0006549,isoleucine metabolic process,Biological Process,12,0.7764854547945941,0.00625,2.0567254964704134,0.016366219463280963,5
GO:1901607,alpha-amino acid biosynthetic process,Biological Process,114,0.42302145512294803,0.0,2.0317356922238394,0.01759467661427784,41
GO:0009098,leucine biosynthetic process,Biological Process,7,0.8536859219742613,0.0,2.013747246845176,0.018724064640194327,3
GO:0009064,glutamine family amino acid metabolic process,Biological Process,62,0.4892282689375417,0.0,1.9864881520013862,0.023301058218908495,15
GO:0016053,organic acid biosynthetic process,Biological Process,197,0.43272341161427913,0.0,1.9379574843609868,0.0256996965649726,49
GO:0006778,porphyrin-containing compound metabolic process,Biological Process,19,0.6004566090339316,0.007326007326007326,1.9154695143826521,0.0256996965649726,5
GO:0042430,indole-containing compound metabolic process,Biological Process,17,0.6745711439686082,0.010309278350515464,1.9096528477806716,0.0256996965649726,4
GO:0006568,tryptophan metabolic process,Biological Process,17,0.6745711439686082,0.006802721088435374,1.9090036106749897,0.0256996965649726,4
GO:0009084,glutamine family amino acid biosynthetic process,Biological Process,26,0.5387546610624556,0.0,1.9070416812015476,0.0256996965649726,9
GO:0009072,aromatic amino acid family metabolic process,Biological Process,29,0.5229566126684664,0.0,1.8869427939501549,0.0256996965649726,10
GO:0006576,cellular biogenic amine metabolic process,Biological Process,25,0.6738386748080247,0.01020408163265306,1.8863415836233322,0.0256996965649726,4
GO:0046394,carboxylic acid biosynthetic process,Biological Process,196,0.4330061826270299,0.0,1.8690506144536256,0.0256996965649726,49
GO:0033013,tetrapyrrole metabolic process,Biological Process,19,0.6004566090339316,0.0,1.862560985865756,0.0256996965649726,5
GO:0006779,porphyrin-containing compound biosynthetic process,Biological Process,18,0.6005301599066184,0.0,1.8623140788528423,0.0256996965649726,5
GO:0006783,heme biosynthetic process,Biological Process,18,0.6005301599066184,0.01107011070110701,1.8606431989040269,0.0256996965649726,5
GO:0033014,tetrapyrrole biosynthetic process,Biological Process,18,0.6005301599066184,0.01107011070110701,1.8606431989040269,0.0256996965649726,5
GO:0019509,L-methionine salvage from methylthioadenosine,Biological Process,9,0.6526113202223328,0.003215434083601286,1.850014823941501,0.0256996965649726,6
GO:0006586,indolalkylamine metabolic process,Biological Process,17,0.6745711439686082,0.027210884353741496,1.8265943984304296,0.0256996965649726,4
GO:0042168,heme metabolic process,Biological Process,19,0.6004566090339316,0.01048951048951049,1.826284560326574,0.0256996965649726,5
GO:0043094,cellular metabolic compound salvage,Biological Process,31,0.6478693577199183,0.011538461538461539,1.8178321871657606,0.0256996965649726,6
GO:0043102,amino acid salvage,Biological Process,10,0.6524006227449786,0.009554140127388535,1.816241796457381,0.0256996965649726,6
GO:0042440,pigment metabolic process,Biological Process,19,0.6004566090339316,0.007380073800738007,1.8133315254524052,0.0256996965649726,5
GO:1901605,alpha-amino acid metabolic process,Biological Process,178,0.38282665418573253,0.0,1.8132654789333988,0.0256996965649726,49
GO:0046148,pigment biosynthetic process,Biological Process,18,0.6005301599066184,0.007380073800738007,1.8123871688013478,0.0256996965649726,5
GO:0009083,branched-chain amino acid catabolic process,Biological Process,11,0.7833264573349985,0.015527950310559006,1.8103424800113534,0.0256996965649726,3
GO:0019321,pentose metabolic process,Biological Process,10,0.7786280950355874,0.005479452054794521,1.8077142125997163,0.0256996965649726,2
GO:0071267,L-methionine salvage,Biological Process,10,0.6524006227449786,0.022950819672131147,1.8040175581761246,0.0256996965649726,6
GO:0044106,cellular amine metabolic process,Biological Process,38,0.6077513347637189,0.02214022140221402,1.8039480079784815,0.0256996965649726,4
GO:0009308,amine metabolic process,Biological Process,39,0.6076562046916395,0.022222222222222223,1.8033521897882274,0.0256996965649726,4
GO:0009099,valine biosynthetic process,Biological Process,6,0.7633058686417201,0.020172910662824207,1.781951130153786,0.02995850342431092,3
GO:0006573,valine metabolic process,Biological Process,8,0.7628981089056036,0.019390581717451522,1.7306229147842846,0.03972567632434211,3
GO:0043648,dicarboxylic acid metabolic process,Biological Process,50,0.516243709395683,0.004694835680751174,1.7287540326548068,0.03972567632434211,10
GO:0046219,indolalkylamine biosynthetic process,Biological Process,6,0.6728085802346324,0.027522935779816515,1.725538723594516,0.03972567632434211,3
GO:0043650,dicarboxylic acid biosynthetic process,Biological Process,25,0.5559076030066431,0.011627906976744186,1.7184844336340768,0.04088354171009952,7
GO:0009073,aromatic amino acid family biosynthetic process,Biological Process,16,0.4938435285611079,0.016877637130801686,1.7141199547548274,0.04115133317589375,8
GO:0006528,asparagine metabolic process,Biological Process,11,0.6933941489699109,0.032467532467532464,1.709995236971433,0.04169022088992861,4
GO:0044093,positive regulation of molecular function,Biological Process,141,0.7522272675297331,0.016877637130801686,1.6936986731684749,0.04478293082936401,1
GO:0042435,indole-containing compound biosynthetic process,Biological Process,6,0.6728085802346324,0.03481012658227848,1.692594485893882,0.04478293082936401,3
GO:0000162,tryptophan biosynthetic process,Biological Process,6,0.6728085802346324,0.031746031746031744,1.679811157072246,0.04777473462740491,3
GO:0042401,cellular biogenic amine biosynthetic process,Biological Process,10,0.6724615847136138,0.03058103975535168,1.6671648717408918,0.051188356468205326,3
GO:0009309,amine biosynthetic process,Biological Process,10,0.6724615847136138,0.041935483870967745,1.6474566387982488,0.05644355717623797,3
GO:0009085,lysine biosynthetic process,Biological Process,14,0.5631499814580382,0.03690036900369004,1.6380393682377858,0.05910253216923751,6
GO:0006525,arginine metabolic process,Biological Process,16,0.5932483240062819,0.014234875444839857,1.6212776946739327,0.06459802300867042,5
GO:0019878,lysine biosynthetic process via aminoadipic acid,Biological Process,12,0.5636530042094382,0.037800687285223365,1.617865718466298,0.06467708017048457,6
GO:0016054,organic acid catabolic process,Biological Process,99,0.4356125950373983,0.008695652173913044,1.6154992324288315,0.06467708017048457,14
GO:0006553,lysine metabolic process,Biological Process,15,0.5628976578819893,0.032490974729241874,1.6020998341864765,0.06993580919204609,6
GO:0019323,pentose catabolic process,Biological Process,7,0.8228388473852772,0.04199475065616798,1.5849695016848346,0.0757604461595555,2
GO:0043085,positive regulation of catalytic activity,Biological Process,117,0.774009477273165,0.040145985401459854,1.5774170882335643,0.07742362201838378,1
GO:0051336,regulation of hydrolase activity,Biological Process,95,0.7714958775029435,0.04318936877076412,1.5747961711048537,0.07742362201838378,3
GO:0006744,ubiquinone biosynthetic process,Biological Process,16,0.6241940938782391,0.045180722891566265,1.5649633626195747,0.0814326593078997,2
GO:0006536,glutamate metabolic process,Biological Process,14,0.5846891714822499,0.05144694533762058,1.5506780887469347,0.08794366233386508,5
GO:0042181,ketone biosynthetic process,Biological Process,16,0.6241940938782391,0.07453416149068323,1.5417357756873165,0.09170912865577666,2
GO:0071941,nitrogen cycle metabolic process,Biological Process,7,0.8036286019210231,0.07075471698113207,1.5369531910507883,0.09170912865577666,2
