Term,Name,2007 Annos,2022 Annos,Difference,Shared,Removed,FracRemoved,2007 AUC,2022 AUC
GO:0000054,ribosome export from nucleus,25,54,29,19,6,0.24,0.89211755,0.888482955
GO:0000278,mitotic cell cycle,248,386,138,179,69,0.278225806,0.77489457,0.780722172
GO:0000747,conjugation with cellular fusion,114,125,11,86,28,0.245614035,0.751502142,0.778360021
GO:0000902,cell morphogenesis,259,45,-214,35,224,0.864864865,0.702158705,0.738230519
GO:0000910,cytokinesis,106,109,3,57,49,0.462264151,0.763925523,0.772061609
GO:0001403,invasive growth (sensu Saccharomyces),43,55,12,34,9,0.209302326,0.779424257,0.723668324
GO:0003700,transcription factor activity,60,181,121,54,6,0.1,0.76572828,0.834578204
GO:0004518,nuclease activity,140,151,11,118,22,0.157142857,0.765817868,0.79130276
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,21,36,2,0.052631579,0.717855129,0.746622475
GO:0006260,DNA replication,112,158,46,92,20,0.178571429,0.839229313,0.781690894
GO:0006281,DNA repair,185,314,129,175,10,0.054054054,0.774274962,0.756172167
GO:0006310,DNA recombination,109,254,145,89,20,0.183486239,0.768707054,0.796692026
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,60,217,28,0.114285714,0.764528695,0.769403509
GO:0006352,transcription initiation,56,87,31,30,26,0.464285714,0.82226233,0.79056484
GO:0006353,transcription termination,20,41,21,16,4,0.2,0.891417193,0.80412642
GO:0006360,transcription from RNA polymerase I promoter,30,72,42,30,0,0,0.866602582,0.833347259
GO:0006364,rRNA processing,171,296,125,161,10,0.058479532,0.928950822,0.90391871
GO:0006366,transcription from RNA polymerase II promoter,333,553,220,311,22,0.066066066,0.724372821,0.726603084
GO:0006383,transcription from RNA polymerase III promoter,39,46,7,36,3,0.076923077,0.787068923,0.755669466
GO:0006397,mRNA processing,149,210,61,128,21,0.140939597,0.807011497,0.762274843
GO:0006401,RNA catabolic process,69,166,97,66,3,0.043478261,0.76855777,0.703138907
GO:0006413,translational initiation,41,64,23,37,4,0.097560976,0.830259712,0.818289773
GO:0006414,translational elongation,20,48,28,17,3,0.15,0.912469102,0.846478994
GO:0006418,tRNA aminoacylation for protein translation,31,37,6,30,1,0.032258065,0.877169512,0.870804924
GO:0006457,protein folding,83,123,40,72,11,0.13253012,0.750905848,0.772533716
GO:0006468,protein amino acid phosphorylation,96,218,122,90,6,0.0625,0.745333814,0.726335866
GO:0006470,protein amino acid dephosphorylation,28,55,27,16,12,0.428571429,0.670636011,0.610113636
GO:0006486,protein amino acid glycosylation,73,81,8,66,7,0.095890411,0.891633715,0.882742478
GO:0006497,protein amino acid lipidation,46,49,3,36,10,0.217391304,0.824970445,0.875045196
GO:0006605,protein targeting,244,255,11,146,98,0.401639344,0.6873517,0.725024424
GO:0006629,lipid metabolic process,233,349,116,208,25,0.107296137,0.773993845,0.777450032
GO:0006766,vitamin metabolic process,87,62,-25,35,52,0.597701149,0.80038009,0.729875793
GO:0006811,ion transport,108,340,232,96,12,0.111111111,0.871982667,0.82666111
GO:0006865,amino acid transport,37,58,21,35,2,0.054054054,0.866713184,0.893729213
GO:0006869,lipid transport,34,78,44,31,3,0.088235294,0.685986397,0.686698458
GO:0006873,cell ion homeostasis,110,167,57,99,11,0.1,0.69877656,0.731998239
GO:0006887,exocytosis,45,55,10,39,6,0.133333333,0.732570417,0.71745283
GO:0006897,endocytosis,84,140,56,75,9,0.107142857,0.777245916,0.767165745
GO:0006970,response to osmotic stress,73,69,-4,42,31,0.424657534,0.679397125,0.752682011
GO:0006979,response to oxidative stress,67,130,63,60,7,0.104477612,0.786433119,0.738797446
GO:0006997,nuclear organization and biogenesis,56,105,49,43,13,0.232142857,0.79909856,0.737686435
GO:0007005,mitochondrion organization and biogenesis,106,292,186,90,16,0.150943396,0.706977142,0.764560002
GO:0007010,cytoskeleton organization and biogenesis,227,282,55,165,62,0.273127753,0.738815279,0.757206938
GO:0007031,peroxisome organization and biogenesis,40,53,13,34,6,0.15,0.8282546,0.809122475
GO:0007033,vacuole organization and biogenesis,69,115,46,43,26,0.376811594,0.750681649,0.683068768
GO:0007059,chromosome segregation,117,224,107,104,13,0.111111111,0.805097219,0.817958202
GO:0007114,cell budding,82,61,-21,42,40,0.487804878,0.792076688,0.758383089
GO:0007124,pseudohyphal growth,65,77,12,46,19,0.292307692,0.699790844,0.767124833
GO:0008033,tRNA processing,31,136,105,25,6,0.193548387,0.672466798,0.80666749
GO:0008135,"translation factor activity, nucleic acid binding",45,57,12,43,2,0.044444444,0.857566603,0.870892519
