Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,CellCompOutput Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,,,Rankings Similarity to AG
YJL066C,0,0,8.905019543,8.537813693,1,222,5570,383,404,281,,CellCompOutput,0.451040209
YIL098C,1,1,7.890735818,7.437099885,2,71,4703,86,173,212,,ST,-0.013005057
YLL001W,1,1,7.785222577,7.561318894,3,307,390,227,53,13,,SPELL,0.191329935
YJL166W,-1,-1,7.707491742,7.934584955,4,145,1993,1485,799,1163,,MEFIT,0.341771806
YIL051C,1,-1,7.700911706,7.602932652,5,536,27,2731,1127,1331,,bioPIXIE,0.335041174
YNL121C,1,1,7.649386027,6.646991981,6,330,29,26,10,76,,,
YGL068W,-1,-1,7.601919927,6.949578348,7,461,6069,168,121,127,,,Ranking Similarity to CellCompOutput
YDR231C,1,1,7.588541431,6.834443049,8,242,5126,541,724,559,,AG,0.451040209
YLR259C,1,1,7.531406468,7.273571372,9,937,4411,585,264,162,,ST,0.008103204
YOR045W,1,1,7.521628775,7.129974831,10,328,4596,1803,132,66,,SPELL,0.351743505
YNL315C,1,1,7.495668999,7.417578985,11,79,5252,10,20,130,,MEFIT,0.295125248
YLR193C,1,-1,7.455927837,6.70933608,12,551,6041,378,452,396,,bioPIXIE,0.215708439
YOR187W,-1,-1,7.450692484,7.64955779,13,154,5508,21,79,252,,,
YDR258C,1,1,7.428796374,6.983524913,14,679,64,3311,1889,938,,,
YGR028W,1,1,7.415294267,6.584517552,15,377,6071,556,310,228,,,
YGR082W,1,1,7.396322558,6.598594069,16,627,4788,728,8,18,,,
YDR337W,-1,-1,7.34857159,7.113734569,17,76,5156,49,126,119,,,
YGR132C,1,1,7.337595364,6.992980868,18,438,5443,29,12,45,,,
YBR269C,0,1,7.315417826,5.792121235,19,15,5467,627,1149,855,,,
YJL063C,1,-1,7.295119116,6.817491274,20,133,37,171,115,290,,,
YPR100W,-1,1,7.292604715,6.889784432,21,144,5425,83,171,146,,,
YNL100W,0,1,7.281514749,7.174634114,22,1,4288,88,219,305,,,
YBR282W,-1,-1,7.27990659,6.643005669,23,168,4928,281,118,128,,,
YOR158W,-1,-1,7.278742015,6.429243211,24,129,5222,31,72,131,,,
YBR185C,1,1,7.262758431,7.189551551,25,130,16,19,36,82,,,
YKL085W,-1,-1,7.212017018,7.797601741,26,241,1160,438,634,574,,,
YOR215C,0,0,7.210022956,6.635462052,27,325,4473,640,549,370,,,
YER053C,-1,-1,7.19890469,7.271685859,28,223,87,2941,2118,1368,,,
YBR120C,-1,1,7.198589423,7.166112758,29,97,5174,316,221,235,,,
YLR356W,0,1,7.189747535,7.007193427,30,504,5097,2068,838,322,,,
YJL096W,-1,-1,7.173798441,6.930419036,31,175,5235,28,32,115,,,
YBL038W,-1,-1,7.138841606,6.80074707,32,162,4501,11,41,60,,,
YDL142C,1,1,7.118165689,5.807762373,33,1183,69,781,1376,1232,,,
YIL157C,1,1,7.112030755,6.64905451,34,254,5775,79,169,149,,,
YKL150W,-1,-1,7.110120064,6.326243615,35,112,5627,344,398,379,,,
YGL059W,-1,1,7.094570032,6.068163489,36,1253,4669,3599,675,497,,,
YNL185C,-1,-1,7.094546784,6.963445736,37,530,5332,167,37,74,,,
YGR084C,-1,-1,7.086568179,6.542322074,38,691,4401,98,78,103,,,
YDR041W,-1,-1,7.075688044,6.5236323,39,105,5791,190,212,260,,,
YCR003W,-1,-1,7.066119849,6.843010619,40,110,4831,119,81,88,,,
YJR077C,-1,-1,7.051848637,7.701220068,41,371,239,807,598,425,,,
YHR008C,0,-1,7.0487319,6.494913546,42,217,714,2851,1031,507,,,
YJL161W,0,0,7.045948554,6.612576186,43,24,4499,3369,1923,1087,,,
YIL022W,1,1,7.0428146,6.754714253,44,900,4880,193,278,222,,,
YKR085C,-1,-1,7.032701674,6.523488547,45,421,18,60,65,266,,,
YDR529C,1,1,7.022996678,6.789410526,46,326,4427,1729,1267,936,,,
YNL070W,1,1,7.010100209,6.811866671,47,481,718,739,215,168,,,
YPL078C,-1,-1,6.995685049,7.204945109,48,329,4559,89,258,461,,,
YGR231C,1,1,6.99214078,6.644836689,49,278,5278,17,13,42,,,
YLL006W,1,1,6.990396488,6.549811495,50,1557,2587,2212,150,19,,,
YKL192C,-1,-1,6.981615334,6.796501109,51,485,255,528,223,108,,,
YMR267W,-1,-1,6.975166807,6.578730316,52,385,4609,14,35,92,,,
YLR142W,0,0,6.965299207,6.961122237,53,1332,585,4480,3160,1736,,,
YNL122C,0,-1,6.953006899,6.281311916,54,617,4456,82,131,100,,,
YIL125W,-1,-1,6.945683942,7.064938392,55,409,231,981,958,564,,,
YML009C,-1,-1,6.943474308,6.97732496,56,204,4841,287,138,104,,,
YKL029C,0,0,6.943242414,6.641421585,57,4635,90,4853,344,236,,,
YGR243W,0,-1,6.936874969,7.117311181,58,33,4626,3343,371,109,,,
YBR268W,-1,-1,6.925583831,6.861532881,59,755,4729,464,162,140,,,
YBR037C,-1,1,6.921253687,6.942019538,60,257,5288,95,197,227,,,
YKL138C,-1,-1,6.909708947,6.236517634,61,388,6036,61,70,124,,,
YNR001C,-1,-1,6.884374467,6.396284589,62,156,4752,986,198,170,,,
YGL187C,-1,-1,6.861514931,6.459722168,63,435,2538,450,758,1051,,,
YKL016C,-1,-1,6.853707658,6.986823056,64,305,4866,178,351,501,,,
YLR295C,-1,1,6.850982781,5.965468962,65,363,4892,240,442,1120,,,
YKR016W,0,1,6.848301107,6.689868292,66,12,5496,40,90,90,,,
YMR307W,0,-1,6.848094035,7.267068437,67,3398,1414,4963,2889,1452,,,
YCR046C,-1,-1,6.847892828,6.728140755,68,972,4688,106,14,39,,,
YGR174C,1,1,6.846855311,6.150756332,69,463,4931,207,450,622,,,
YNL328C,1,1,6.833951028,6.666708543,70,2715,4854,3872,2033,872,,,
YBL090W,-1,-1,6.826583592,6.733707018,71,135,5820,150,39,75,,,
YPR155C,-1,-1,6.823597628,6.632639637,72,159,6097,202,280,215,,,
YPL118W,-1,-1,6.822387488,5.737408028,73,182,5944,1,31,137,,,
YIL136W,0,0,6.821259882,6.301562021,74,247,4659,3129,1779,1495,,,
YDR115W,-1,-1,6.788035129,6.82441866,75,196,5475,187,211,280,,,
YNL252C,-1,-1,6.787958602,6.756661308,76,116,5801,51,124,134,,,
YGR076C,-1,-1,6.78360572,6.547707895,77,190,4600,242,136,107,,,
YBL064C,-1,-1,6.78147431,5.579725853,78,1354,99,2846,2155,1670,,,
YDR175C,-1,-1,6.780086192,6.428018352,79,298,4797,57,130,126,,,
YBR122C,-1,-1,6.774614583,6.008012713,80,233,5062,44,135,138,,,
YKL120W,-1,-1,6.772439323,6.813964353,81,3153,240,3824,1802,759,,,
YOR004W,-1,-1,6.769116368,6.248091287,82,5535,454,5145,2124,920,,,
YGR220C,-1,-1,6.748681714,6.120561158,83,881,5666,39,9,59,,,
YNL081C,-1,-1,6.745559521,6.084366831,84,249,4398,23,83,117,,,
YNL177C,-1,-1,6.733830925,6.240854609,85,158,4474,78,119,120,,,
YMR286W,-1,-1,6.732781378,6.307587059,86,959,4716,1030,133,79,,,
YLR312W-A,-1,-1,6.732000631,6.253696944,87,220,5111,2376,231,89,,,
YDR204W,0,0,6.729830009,6.625916558,88,346,311,878,1392,820,,,
YMR072W,1,1,6.729582014,6.427220614,89,638,66,601,275,163,,,
YAL044C,0,0,6.716956401,7.135863423,90,2193,3174,3210,2154,1468,,,
YBR230C,0,1,6.716577258,5.76449075,91,913,5195,1951,1280,937,,,
YKL003C,-1,-1,6.702894555,6.646102156,92,283,5744,176,67,218,,,
YOL071W,-1,1,6.700268821,6.025369328,93,115,4696,206,311,320,,,
YHR024C,1,1,6.69213995,6.086812066,94,651,5407,113,180,159,,,
YKL195W,1,1,6.687011732,6.560351062,95,495,4791,84,23,86,,,
YDR296W,1,1,6.684027648,5.82299923,96,350,382,85,172,204,,,
YJR101W,-1,-1,6.682121302,6.18499982,97,471,5072,69,71,132,,,
YKR066C,-1,-1,6.675256174,5.917331574,98,890,702,2359,2170,1070,,,
YDR079W,1,1,6.6734921,6.59675933,99,537,4310,660,484,807,,,
YML120C,-1,-1,6.671413282,7.04660288,100,289,5757,503,816,575,,,
YIL070C,-1,-1,6.668282535,6.737508423,101,364,4930,656,213,357,,,
YKL167C,0,-1,6.662680082,6.165313453,102,152,5688,52,184,129,,,
YDL027C,0,0,6.662020738,6.010677472,103,29,4525,1110,555,292,,,
YJR121W,-1,-1,6.641139866,6.653836156,104,293,4623,279,499,439,,,
YBR238C,-1,-1,6.635705948,6.23286824,105,5518,3226,5147,3006,3023,,,
YKR006C,-1,-1,6.632985485,6.480997263,106,327,4883,18,30,98,,,
YFL016C,1,1,6.626957664,5.763399768,107,886,97,1730,532,288,,,
YIL077C,0,0,6.624495461,6.154012266,108,587,403,1767,1301,617,,,
YMR024W,-1,-1,6.619260263,5.932730594,109,470,5114,3,7,110,,,
YNL005C,-1,1,6.618400184,6.502012409,110,317,5574,36,77,118,,,
YMR089C,1,0,6.610150539,6.361716681,111,383,4419,13,49,64,,,
YMR302C,1,1,6.608820241,5.733641128,112,687,21,140,142,77,,,
YGL219C,1,1,6.603941194,6.542348953,113,582,26,304,279,175,,,
YNL052W,-1,-1,6.602863886,7.08767088,114,584,1435,432,858,951,,,
YKL170W,-1,-1,6.601144229,5.904442592,115,796,5772,12,38,116,,,
YOR228C,0,1,6.582145783,5.83659341,116,756,4545,1537,1162,547,,,
YBR039W,-1,-1,6.57960417,6.976424876,117,418,4720,259,355,407,,,
YDR178W,-1,-1,6.576723301,5.742402266,118,442,91,1092,873,633,,,
YGR046W,1,-1,6.576316341,5.83115007,119,700,5100,2268,949,460,,,
YHR038W,0,-1,6.575886832,6.131832003,120,3,5159,204,176,196,,,
YGR112W,1,1,6.56482805,5.892421047,121,514,305,315,494,511,,,
YMR225C,-1,-1,6.557688146,6.298446591,122,447,4601,205,179,177,,,
YJR113C,-1,-1,6.541344621,6.021304619,123,323,5345,288,175,114,,,
YOR150W,-1,-1,6.535887277,6.220087557,124,172,4326,6,85,142,,,
YGR165W,-1,-1,6.527242344,6.12477205,125,320,5469,34,40,94,,,
YJL131C,0,-1,6.508778209,6.804315027,126,18,5601,350,314,191,,,
YJL102W,-1,1,6.50673358,5.997819479,127,348,235,335,545,495,,,
YOR374W,0,0,6.500765543,6.193136078,128,197,170,1648,1521,751,,,
YPL059W,-1,-1,6.498775867,6.072769446,129,1431,4341,91,253,480,,,
YMR188C,-1,-1,6.494462965,6.196684378,130,368,6002,185,127,112,,,
YIL113W,-1,-1,6.491389149,6.425765931,131,221,2602,4489,1391,585,,,
YHL004W,-1,-1,6.482742484,6.021656241,132,312,5499,73,34,69,,,
YDR462W,-1,-1,6.479407066,6.104778875,133,827,5281,157,86,95,,,
YNL055C,1,1,6.476284623,6.006192485,134,903,61,2582,1804,833,,,
YPL135W,-1,-1,6.475360374,5.862300671,135,976,509,2260,519,145,,,
YDR298C,-1,-1,6.467216342,6.698154534,136,437,6011,154,535,1036,,,
YLR203C,-1,1,6.463039073,5.885720933,137,256,5419,32,177,287,,,
YJR051W,0,-1,6.448106262,6.316916467,138,1398,640,159,824,1124,,,
YJR080C,0,1,6.445978482,6.442124984,139,9,5066,4,43,84,,,
YBR179C,1,1,6.439075107,6.384229207,140,916,28,1801,50,15,,,
YOR271C,-1,-1,6.435391944,6.092946309,141,4466,5619,3444,747,265,,,
YDR493W,0,1,6.420796222,6.498196775,142,5,4578,343,256,274,,,
YLR370C,1,-1,6.417252471,5.804786836,143,198,56,195,55,16,,,
YOL023W,-1,-1,6.411957534,5.8004978,144,502,4978,291,61,203,,,
YPR020W,-1,1,6.397949942,5.948916445,145,773,5561,278,433,994,,,
YNL169C,-1,1,6.394741896,5.804755067,146,2314,1945,422,923,974,,,
YER141W,0,0,6.392509323,5.848179804,147,186,104,381,361,239,,,
YDL174C,-1,0,6.384736665,6.757679942,148,847,323,710,673,496,,,
YNL284C,-1,-1,6.382984338,5.471593299,149,538,6061,8,11,58,,,
YHL021C,0,1,6.380507283,5.447534764,150,512,5736,3418,788,309,,,
YML110C,-1,-1,6.378323449,5.891589849,151,2265,1097,93,592,868,,,
YDR219C,1,1,6.37476761,5.501307104,152,501,57,1775,644,302,,,
YMR256C,-1,-1,6.372713059,6.134552276,153,419,2490,2187,1003,935,,,
YBR104W,0,-1,6.368917978,5.731891291,154,1424,4342,4798,796,522,,,
YMR157C,0,0,6.364836212,6.530631893,155,10,5303,2,24,105,,,
YOR130C,0,-1,6.359759631,6.059763098,156,1870,5683,1923,897,667,,,
YOR136W,-1,-1,6.354461289,6.126562137,157,604,133,696,364,141,,,
YIL094C,0,0,6.351971316,6.277308051,158,3809,214,2866,1294,583,,,
YHR051W,-1,-1,6.34851393,5.767158679,159,561,313,273,627,1111,,,
