Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,ST Diff,SPELL Diff,MEFIT Diff,bioPIXIE Diff,,
YNL100W,0,1,5.391108917,3.301707292,1,4288,88,219,305,-4287,-87,-218,-304,,
YKL133C,0,-1,5.383609917,3.732963323,2,5437,2625,3542,2608,-5435,-2623,-3540,-2606,,0.410694354
YHR038W,0,-1,5.243634467,3.434512421,3,5159,204,176,196,-5156,-201,-173,-193,,0.555342369
YJL163C,0,-1,5.22584803,3.994840341,4,4331,4004,5349,4501,-4327,-4000,-5345,-4497,,0.300554341
YDR493W,0,1,5.168410923,3.5197296,5,4578,343,256,274,-4573,-338,-251,-269,,0.194248039
YKR076W,0,-1,5.155937175,3.543070461,6,740,3479,4306,1994,-734,-3473,-4300,-1988,,0.101666643
YGR127W,0,-1,5.155158298,3.748179418,7,5894,2763,4535,3147,-5887,-2756,-4528,-3140,,
YGR053C,0,-1,5.117959577,3.771058665,8,5934,4581,3536,2367,-5926,-4573,-3528,-2359,,
YJR080C,0,1,4.99744536,3.435045681,9,5066,4,43,84,-5057,5,-34,-75,,
YMR157C,0,-1,4.993072716,3.473558464,10,5303,2,24,105,-5293,8,-14,-95,,
YBR062C,0,-1,4.927833743,3.512506306,11,5016,1636,667,704,-5005,-1625,-656,-693,,
YKR016W,0,1,4.837789061,3.758115476,12,5496,40,90,90,-5484,-28,-78,-78,,
YBR262C,0,1,4.802776025,3.304497291,13,5065,239,307,614,-5052,-226,-294,-601,,
YHR087W,0,-1,4.704165106,3.332834974,14,262,4435,3533,2634,-248,-4421,-3519,-2620,,
YBR269C,0,1,4.649871326,3.09369712,15,5467,627,1149,855,-5452,-612,-1134,-840,,
YOL053W,0,-1,4.646050522,2.911811942,16,4957,180,493,1352,-4941,-164,-477,-1336,,
YOL048C,0,-1,4.64014291,3.04002106,17,5218,2480,3383,4439,-5201,-2463,-3366,-4422,,
YJL131C,0,-1,4.632497637,3.363191497,18,5601,350,314,191,-5583,-332,-296,-173,,
YML050W,0,-1,4.594366491,3.032504175,19,4627,465,348,1439,-4608,-446,-329,-1420,,
YGR149W,0,-1,4.528438061,3.29290665,20,5012,2469,5218,5480,-4992,-2449,-5198,-5460,,
YOL143C,0,-1,4.498563846,3.292788187,21,990,2053,771,645,-969,-2032,-750,-624,,
YNL200C,0,-1,4.49019019,2.899943644,22,5380,2298,3110,1698,-5358,-2276,-3088,-1676,,
YLR218C,0,1,4.426947307,3.109870815,23,4901,314,579,2318,-4878,-291,-556,-2295,,
YJL161W,0,-1,4.414984818,2.841966237,24,4499,3369,1923,1087,-4475,-3345,-1899,-1063,,
YHR071W,0,-1,4.408217217,3.642142504,25,1115,4115,4006,4127,-1090,-4090,-3981,-4102,,
YCR076C,0,-1,4.392462111,2.844025017,26,4405,711,1975,4018,-4379,-685,-1949,-3992,,
YLR168C,0,1,4.331104641,3.005670067,27,5428,238,292,553,-5401,-211,-265,-526,,
YOR042W,0,-1,4.320979523,2.876442209,28,4282,156,944,1637,-4254,-128,-916,-1609,,
YDL027C,0,-1,4.301552047,2.572852179,29,4525,1110,555,292,-4496,-1081,-526,-263,,
YMR196W,0,-1,4.277800667,3.022406433,30,4560,3597,3248,1853,-4530,-3567,-3218,-1823,,
YOL081W,0,-1,4.261706133,3.371228952,31,1463,2790,1885,1255,-1432,-2759,-1854,-1224,,
YJR085C,0,-1,4.256730155,2.729023088,32,5701,2080,1967,1594,-5669,-2048,-1935,-1562,,
YGR243W,0,-1,4.251150165,2.706241732,33,4626,3343,371,109,-4593,-3310,-338,-76,,
YBL015W,0,-1,4.250627066,3.233775099,34,331,2591,1343,600,-297,-2557,-1309,-566,,
