Go Term,Name,2007 Annos,2022 Annos,N,C,M,Mean NxN,Mean CxC,Mean MxM,Mean NxC,Mean NxM,Mean CxM,KS CxC CxM Statistic,KS CxC CxM P-Value,KS MxM CxM Statistic,KS MxM CxM P-Value,KS CxC CxN Statistic,KS CxC CxN P-Value,KS NxN CxN Statistic,KS NxN CxN P-Value,KS MxM NxM Statistic,KS MxM NxM P-Value,KS NxN NxM Statistic,KS NxN NxM P-Value
GO:0006811,ion transport,108,340,244,96,12,0.1287,0.2659,1.194,0.09796,0.0787,0.09686,0.0924,1.4822733710983373e-37,0.2892,1e-323,0.0806,1.1441559634099407e-28,0.051,1.0015995499568569e-11,0.2732,1e-323,0.0564,3.017551594928787e-14
GO:0048193,Golgi vesicle transport,161,210,61,149,12,0.34,0.291,1.2295,0.1561,0.1426,0.1707,0.1142,3.475359116533949e-57,0.1004,2.8301248939498755e-44,0.1455,1.0895995750776009e-92,0.0607,1.9518840091914736e-16,0.0898,1.7135055745556546e-35,0.0435,1.2047869053090544e-08
GO:0006997,nuclear organization and biogenesis,56,105,62,43,13,0.365,0.5303,1.264,0.1622,0.1516,0.26,0.0404,1.625827211267477e-07,0.3114,1e-323,0.1822,2.127433046037415e-145,0.0473,3.8147229939069957e-10,0.3354,0.0,0.0248,0.004263879566111113
GO:0032196,transposition,109,120,12,108,1,1.352,0.05197,4.066,0.02156,0.04733,0.032,0.2258,9.1940963288919e-224,1.0,0.0,0.3482,0.0,0.6879,0.0,1.0,0.0,0.696,0.0
GO:0051049,regulation of transport,10,102,97,5,5,0.2954,2.79,2.656,0.194,0.1866,0.2167,0.5266,0.0,0.2833,1e-323,0.4192,0.0,0.1009,1.0309205013969125e-44,0.2738,1e-323,0.1023,5.9364772884695e-46
GO:0016570,histone modification,88,139,59,80,8,0.2966,0.3694,1.874,0.1484,0.1141,0.1714,0.0701,8.776318950499625e-22,0.1922,7.490893058442336e-162,0.138,2.155914086507327e-83,0.0987,8.444485601896779e-43,0.2145,8.512757748196958e-202,0.036,4.695033861901312e-06
GO:0043543,protein amino acid acylation,62,86,29,57,5,0.6035,0.416,2.744,0.155,0.0948,0.08105,0.1987,4.971308563495993e-173,0.428,0.0,0.0386,6.744222195597755e-07,0.0442,6.518371677470047e-09,0.4037,0.0,0.2546,4.762092730402141e-285
GO:0006310,DNA recombination,109,254,165,89,20,0.1246,0.2998,0.8247,0.0908,0.11975,0.1409,0.0322,6.273904229741002e-05,0.3923,0.0,0.2212,1.1125823385135002e-214,0.0972,1.6098607121739107e-41,0.3168,1e-323,0.1664,3.1212053084933055e-121
GO:0006468,protein amino acid phosphorylation,96,218,128,90,6,0.2207,0.3022,2.318,0.1359,0.1459,0.1697,0.0307,0.00016121649523459045,0.1954,2.6252307622255116e-167,0.0854,3.8923770601823655e-32,0.0468,6.108566498480964e-10,0.1886,7.969640336112442e-156,0.0825,5.1253317121443994e-30
GO:0000910,cytokinesis,106,109,52,57,49,0.4321,0.386,0.4297,0.159,0.147,0.1622,0.0419,4.727828077144241e-08,0.0832,1.602698403145652e-30,0.0584,3.0301698817137215e-15,0.0459,1.4077089291987255e-09,0.0709,2.835559516233905e-22,0.0519,3.964228535997486e-12
