Began Loading Data
Finished Loading Data
Batch 0 Loss:	0.7134431600570679
Batch 0 Time:	0.17616712649663288 minutes
Batch 100 Loss:	63.670518189668655
Batch 100 Time:	4.639692755540212 minutes
Batch 200 Loss:	45.85749542713165
Batch 200 Time:	4.619401427110036 minutes
Batch 300 Loss:	36.87973111867905
Batch 300 Time:	4.579024883111318 minutes
Batch 400 Loss:	32.50149714946747
Batch 400 Time:	4.624620644251506 minutes
Batch 500 Loss:	27.23926667124033
Batch 500 Time:	4.66809370915095 minutes
Batch 600 Loss:	24.42307758331299
Batch 600 Time:	4.608813412984213 minutes
Batch 700 Loss:	21.936696864664555
Batch 700 Time:	4.649514253934225 minutes
Batch 800 Loss:	20.00872278213501
Batch 800 Time:	4.562902128696441 minutes
Batch 900 Loss:	17.91247107833624
Batch 900 Time:	4.593913249174753 minutes
Batch 1000 Loss:	18.68985152244568
Batch 1000 Time:	4.661225827534993 minutes
Batch 1100 Loss:	16.176281936466694
Batch 1100 Time:	4.627171039581299 minutes
Batch 1200 Loss:	13.591237302869558
Batch 1200 Time:	4.5664517998695375 minutes
Batch 1300 Loss:	13.27062039449811
Batch 1300 Time:	4.6002034664154055 minutes
Batch 1400 Loss:	12.540042322129011
Batch 1400 Time:	4.589439582824707 minutes
Batch 1500 Loss:	12.04911944270134
Batch 1500 Time:	4.604629969596862 minutes
Batch 1600 Loss:	11.347515752539039
Batch 1600 Time:	4.579280376434326 minutes
Batch 1700 Loss:	10.058180022984743
Batch 1700 Time:	4.643978250026703 minutes
Batch 1800 Loss:	9.44814975373447
Batch 1800 Time:	4.6256697416305546 minutes
Batch 1900 Loss:	8.57443173788488
Batch 1900 Time:	4.600708786646525 minutes
Batch 2000 Loss:	10.139395294710994
Batch 2000 Time:	4.619231716791789 minutes
Batch 2100 Loss:	9.39904423430562
Batch 2100 Time:	4.616730761528015 minutes
Batch 2200 Loss:	8.908730061724782
Batch 2200 Time:	4.612753017743429 minutes
Batch 2300 Loss:	8.800561932846904
Batch 2300 Time:	4.605216650168101 minutes
Batch 2400 Loss:	8.863831993192434
Batch 2400 Time:	4.614828844865163 minutes
Batch 2500 Loss:	6.941536793485284
Batch 2500 Time:	4.634731741746267 minutes
Batch 2600 Loss:	9.003892567940056
Batch 2600 Time:	4.610854748884837 minutes
Batch 2700 Loss:	6.909486334770918
Batch 2700 Time:	4.594047462940216 minutes
Batch 2800 Loss:	8.090255094692111
Batch 2800 Time:	4.577722752094269 minutes
Batch 2900 Loss:	7.657671455293894
Batch 2900 Time:	4.580519644419352 minutes
Batch 3000 Loss:	8.694834424182773
Batch 3000 Time:	4.61195510228475 minutes
Batch 3100 Loss:	6.852691730484366
Batch 3100 Time:	4.603622714678447 minutes
Batch 3200 Loss:	6.444608542136848
Batch 3200 Time:	4.637977357705434 minutes
Batch 3300 Loss:	6.370268766768277
Batch 3300 Time:	4.561023040612539 minutes
Batch 3400 Loss:	5.450642537325621
Batch 3400 Time:	4.5874528606732685 minutes
Batch 3500 Loss:	5.918880196288228
Batch 3500 Time:	4.632280619939168 minutes
Batch 3600 Loss:	5.058165140450001
Batch 3600 Time:	4.588470188776652 minutes
Batch 3700 Loss:	6.586747493362054
Batch 3700 Time:	4.6031970659891766 minutes
Batch 3800 Loss:	6.342470940202475
Batch 3800 Time:	4.621598259607951 minutes
Batch 3900 Loss:	6.37717573530972
Batch 3900 Time:	4.604111194610596 minutes
Batch 4000 Loss:	4.836963752284646
Batch 4000 Time:	4.585717860857645 minutes
Batch 4100 Loss:	6.003573091002181
Batch 4100 Time:	4.5353837490081785 minutes
Batch 4200 Loss:	5.455445846775547
Batch 4200 Time:	4.597549680868784 minutes
Batch 4300 Loss:	5.638480392517522
Batch 4300 Time:	4.6015680233637495 minutes
Batch 4400 Loss:	5.65172909013927
Batch 4400 Time:	4.645697327454885 minutes
Batch 4500 Loss:	5.750681235454977
Batch 4500 Time:	4.6092773874600725 minutes
Batch 4600 Loss:	5.833061687648296
Batch 4600 Time:	4.593437361717224 minutes
Batch 4700 Loss:	4.6491651276592165
Batch 4700 Time:	4.600431549549103 minutes
Batch 4800 Loss:	4.112711804104038
Batch 4800 Time:	4.620476671059927 minutes
Batch 4900 Loss:	4.425622405717149
Batch 4900 Time:	4.6461368521054585 minutes
