Gene,Anno,NN,SPELL,MEFIT,bioPIXIE
YKL166C,-/+,0.044798657718120805,0.27157712305025994,0.6326485531256903,0.22197270685783382
YKL011C,-/+,0.0476510067114094,0.8116117850953206,0.8383035122597747,0.9723613750215927
YDL059C,-/+,0.08976510067114093,0.2736568457538995,0.002208968411751712,0.6538262221454483
YOR297C,-/+,0.10067114093959731,0.8908145580589255,0.9352772255356748,0.9949904992226637
YPL240C,-/+,0.20620805369127518,0.7159445407279029,0.6527501656726309,0.8421143548108482
YLL042C,-/+,0.2209731543624161,0.4490467937608319,0.8458140048597305,0.45672827776818103
YLL018C-A,-/+,0.2459731543624161,0.03674176776429809,0.4250055224210294,0.8935912938331319
YPR185W,-/+,0.24630872483221478,0.8462738301559792,,0.6381067541889791
YOR043W,-/+,0.27181208053691275,0.8972270363951473,0.5462778882261984,0.8030747970288478
YPR049C,-/+,0.28557046979865774,0.30363951473136913,,0.7080670236655726
YHR171W,-/+,0.3145973154362416,0.6327556325823224,0.11486635741108903,0.7553981689410951
YBL103C,-/+,0.33674496644295304,0.5467937608318891,0.054119726087916945,0.2720677146311971
YAL015C,-/+,0.3859060402684564,0.7493934142114385,0.37154848685663794,0.5760925893936777
YKL084W,-/+,0.387248322147651,0.29341421143847485,0.357411089021427,0.6762826049404043
YNL328C,-/+,0.3971476510067114,0.3291161178509532,0.10823945217583389,0.8493694938676801
YIR021W,-/+,0.40302013422818794,0.9771230502599654,0.9438922023415065,0.9690792883054068
YLR008C,-/+,0.43087248322147653,0.9282495667244367,0.9602385685884692,0.7263776127137674
YBL078C,-/+,0.4313758389261745,0.4095320623916811,0.31411530815109345,0.32354465365348073
YNL064C,-/+,0.43456375838926176,0.5072790294627383,0.4515131433620499,0.4014510278113664
YBR279W,-/+,0.438255033557047,0.7826689774696707,0.8040645018776231,0.7218863361547763
YFR028C,-/+,0.43976510067114094,0.654419410745234,0.19063397393417275,0.37640352392468474
YCR065W,-/+,0.44395973154362417,0.4292894280762565,0.19173845814004858,0.2660217654171705
YFR021W,-/+,0.489261744966443,0.43050259965337956,,0.21005354983589566
YPL100W,-/+,0.512751677852349,0.5989601386481802,0.4570355643914292,0.09949904992226637
YER083C,-/+,0.5147651006711409,0.6519930675909879,0.7817539209189308,0.9892900328208671
YLR090W,-/+,0.5172818791946309,0.9823223570190641,0.8071570576540755,0.9371221281741233
YGR178C,-/+,0.5330536912751678,0.8861351819757366,0.24740446211619174,0.5942304370357575
YBL017C,-/+,0.560738255033557,0.5077989601386482,0.04042412193505633,0.8269131110727241
YDL149W,-/+,0.5880872483221476,0.3126516464471404,0.0636182902584493,0.3117982380376576
YDR065W,-/+,0.6062080536912752,0.4268630849220104,0.603931963772918,0.8258766626360339
YBR217W,-/+,0.6080536912751678,0.6045060658578856,0.0024298652529268832,0.8725168422870963
YML032C,-/+,0.6139261744966443,0.9506065857885615,0.2937927987629777,0.9678700984626015
YJL036W,-/+,0.6312080536912752,0.7512998266897747,0.5849348354318533,0.3539471411297288
YNR007C,-/+,0.6384228187919463,0.6400346620450607,0.6010603048376408,0.6958023838314044
YEL030W,-/+,0.6444630872483221,0.5168110918544194,0.1848906560636183,0.7403696666090862
YGL180W,-/+,0.6572147651006711,0.12512998266897746,,0.10157194679564692
YLL040C,-/+,0.6597315436241611,0.5105719237435009,0.04241219350563287,0.049231300742788045
YPL149W,-/+,0.6731543624161074,0.4535528596187175,0.7552462999779103,0.4175159785800656
YLR305C,-/+,0.6817114093959732,0.5253032928942808,0.37530373315661586,0.5835204698566246
YDL069C,-/+,0.6818791946308724,0.5353552859618718,0.8937486193947427,0.7405424080152012
