Go Term,Name,2007 Annos,2022 Annos,N,C,M,Mean NxN,Mean CxC,Mean MxM,Mean NxC,Mean NxM,Mean CxM,KS CxC CxM Statistic,KS CxC CxM P-Value,KS MxM CxM Statistic,KS MxM CxM P-Value,KS CxC CxN Statistic,KS CxC CxN P-Value,KS NxN CxN Statistic,KS NxN CxN P-Value,KS MxM NxM Statistic,KS MxM NxM P-Value,KS NxN NxM Statistic,KS NxN NxM P-Value
GO:0006979,response to oxidative stress,67,130,70,60,7,0.1721,0.4001,2.318,0.1201,0.11346,0.1693,0.103,4.872295384883887e-05,0.254,9.710257857878779e-29,0.128,1.4776675436423948e-07,0.086,0.0012207544622917959,0.257,2.0264232315663477e-29,0.077,0.005306868855560685
GO:0007124,pseudohyphal growth,65,77,31,46,19,0.4526,0.2888,0.7295,0.11505,0.143,0.1329,0.127,1.9092886474554655e-07,0.14,5.822752148022591e-09,0.072,0.01118990326412112,0.099,0.00010956387707040737,0.1,8.974277567313009e-05,0.041,0.37012017606173
GO:0006397,mRNA processing,149,210,82,128,21,0.3286,0.308,0.666,0.1664,0.1582,0.1954,0.072,0.01118990326412112,0.126,2.461977466455732e-07,0.112,6.990901300156074e-06,0.115,3.528972349889754e-06,0.114,4.441088228134397e-06,0.08,0.003311056963176061
GO:0006470,protein amino acid dephosphorylation,28,55,39,16,12,0.567,1.02,1.554,0.1231,0.158,0.144,0.077,0.005306868855560685,0.289,3.3470758389799365e-37,0.099,0.00010956387707040737,0.043,0.3136800387320582,0.218,3.202737354157636e-21,0.077,0.005306868855560685
GO:0008135,"translation factor activity, nucleic acid binding",45,57,14,43,2,0.881,0.816,6.6,0.2488,-0.01277,-0.135,0.658,5.201117642547093e-205,0.523,2.918596237847823e-125,0.33,1.3591194647620518e-48,0.157,3.6066664818887265e-11,0.717,3.1733429211806902e-248,0.222,5.356249099254043e-22
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,88,217,28,0.2537,0.2334,0.683,0.1553,0.1199,0.1483,0.107,2.0977827855404345e-05,0.114,4.441088228134397e-06,0.117,2.214758736930358e-06,0.059,0.06153429181321559,0.079,0.0038826726503625613,0.05,0.16411447756429137
GO:0000910,cytokinesis,106,109,52,57,49,0.2837,0.3752,0.5127,0.161,0.1475,0.167,0.06,0.05462666510701526,0.081,0.0028179208242694134,0.072,0.01118990326412112,0.035,0.5728904395829821,0.075,0.007195361443046065,0.062,0.042792013924212634
GO:0006366,transcription from RNA polymerase II promoter,333,553,242,311,22,0.2113,0.2078,0.5913,0.1396,0.1047,0.1262,0.074,0.008353146175741297,0.119,1.3787445928064639e-06,0.064,0.033253124816560224,0.074,0.008353146175741297,0.128,1.4776675436423948e-07,0.052,0.13385273551786803
GO:0006865,amino acid transport,37,58,23,35,2,0.7383,0.635,6.676,0.1304,0.1372,0.1179,0.138,1.0187003665032852e-08,0.51,8.22523681091035e-119,0.104,3.9587400002181794e-05,0.1,8.974277567313009e-05,0.51,8.22523681091035e-119,0.147,7.709181203220028e-10
GO:0006413,translational initiation,41,64,27,37,4,0.602,0.843,3.76,0.2605,0.2338,0.5415,0.182,6.954764781424622e-15,0.509,2.529553479526401e-118,0.263,8.329499266785476e-31,0.107,2.0977827855404345e-05,0.474,5.655555502136394e-102,0.169,6.977595468924532e-13
