Gene,Anno,NN,SPELL,MEFIT,bioPIXIE,NN_SPELL Diff,NN_MEFIT_Diff,NN_bioPIXIE_Diff
YIL042C,-/+,0.844295302,0.619237435,,0.922266367,0.225057867,0.844295302,-0.303028932
YLR423C,-/+,0.830704698,0.339861352,0.081952728,0.188633615,0.490843346,0.74875197,0.151227736
YNL242W,-/+,0.865268456,0.413864818,0.154406892,0.249956815,0.451403638,0.710861564,0.163908003
YDL126C,-/+,0.984060403,0.71559792,0.303070466,0.148730351,0.268462482,0.680989937,0.56686757
YER095W,-/+,0.834395973,0.631889081,0.157720345,0.877008119,0.202506892,0.676675629,-0.245119037
YGL180W,-/+,0.657214765,0.125129983,,0.101571947,0.532084782,0.657214765,0.023558036
YDL113C,-/+,0.765268456,0.321317158,0.115529048,0.062359648,0.443951299,0.649739408,0.25895751
YLL040C,-/+,0.659731544,0.510571924,0.042412194,0.049231301,0.14915962,0.61731935,0.461340623
YBR217W,-/+,0.608053691,0.604506066,0.002429865,0.872516842,0.003547625,0.605623826,-0.268010776
YNR032W,-/+,0.804865772,0.854592721,0.216699801,0.560027639,-0.049726949,0.588165971,0.294565082
YOR027W,-/+,0.762416107,0.59220104,0.214269936,0.759371221,0.170215068,0.548146171,-0.167170181
YDL149W,-/+,0.588087248,0.312651646,0.06361829,0.311798238,0.275435602,0.524468958,0.000853408
YBL017C,-/+,0.560738255,0.50779896,0.040424122,0.826913111,0.052939295,0.520314133,-0.319114151
YFR021W,-/+,0.489261745,0.4305026,,0.21005355,0.058759145,0.489261745,0.22044905
YEL030W,-/+,0.644463087,0.516811092,0.184890656,0.740369667,0.127651995,0.459572431,-0.223558575
YMR035W,-/+,0.925167785,0.919757366,0.489949194,0.742269822,0.00541042,0.435218592,0.177487544
YKL134C,-/+,0.91795302,0.655459272,0.495250718,0.945240974,0.262493748,0.422702302,-0.289781702
YAL005C,-/+,0.926006711,0.378162912,0.537442015,0.741233374,0.5478438,0.388564697,-0.363070462
YML032C,-/+,0.613926174,0.950606586,0.293792799,0.967870098,-0.336680411,0.320133376,-0.017263513
YLR305C,-/+,0.681711409,0.525303293,0.375303733,0.58352047,0.156408117,0.306407676,-0.058217177
YNL223W,-/+,0.697651007,0.296533795,0.392091893,0.60804975,0.401117211,0.305559114,-0.311515954
YKR087C,-/+,0.927852349,0.951126516,0.636403799,0.81326654,-0.023274167,0.29144855,0.137859976
YNL328C,-/+,0.397147651,0.329116118,0.108239452,0.849369494,0.068031533,0.288908199,-0.520253376
YML081C-A,-/+,0.998489933,0.043674177,0.711729622,0.841250648,0.954815756,0.286760311,-0.797576471
YGR178C,-/+,0.533053691,0.886135182,0.247404462,0.594230437,-0.353081491,0.285649229,0.291904745
YPR049C,-/+,0.28557047,0.303639515,,0.708067024,-0.018069045,0.28557047,-0.404427509
YBL103C,-/+,0.336744966,0.546793761,0.054119726,0.272067715,-0.210048794,0.28262524,0.274726046
YPR133W-A,-/+,0.973154362,0.044540728,0.691407113,0.987389877,0.928613635,0.28174725,-0.942849149
YBL045C,-/+,0.969966443,0.950433276,0.693836978,0.926757644,0.019533167,0.276129465,0.023675632
YER125W,-/+,0.919463087,0.8847487,0.649215816,0.946968388,0.034714387,0.270247271,-0.062219688
YCR065W,-/+,0.443959732,0.429289428,0.191738458,0.266021765,0.014670303,0.252221273,0.163267663
YFR028C,-/+,0.439765101,0.654419411,0.190633974,0.376403524,-0.21465431,0.249131127,0.278015887
YDR322C-A,-/+,0.999328859,0.051299827,0.750607466,0.907756089,0.948029032,0.248721393,-0.856456262
YPR185W,-/+,0.246308725,0.84627383,,0.638106754,-0.599965105,0.246308725,0.208167076
YLR059C,-/+,0.894463087,0.780242634,0.649878507,0.993781309,0.114220453,0.244584581,-0.213538675
YGR033C,-/+,0.758557047,0.757365685,0.526618069,0.8010019,0.001191362,0.231938978,-0.043636216
YNL138W,-/+,0.980369128,0.910398614,0.760768721,0.994299534,0.069970514,0.219600407,-0.08390092
YHR171W,-/+,0.314597315,0.632755633,0.114866357,0.755398169,-0.318158317,0.199730958,-0.122642536
YPL063W,-/+,0.905704698,0.945753899,0.710846035,0.98773536,-0.040049201,0.194858663,-0.041981461
YFR004W,-/+,0.947483221,0.847140381,0.767174729,0.34271895,0.10034284,0.180308492,0.504421432
YDR529C,-/+,0.984228188,0.700519931,0.812679479,0.838141302,0.283708257,0.171548709,-0.137621372
YKL141W,-/+,0.961241611,0.966897747,0.806936161,0.779581966,-0.005656136,0.15430545,0.187315781
YMR203W,-/+,0.996308725,0.987521664,0.859288712,0.963897046,0.008787061,0.137020013,0.023624618
YGL191W,-/+,0.979697987,0.849740035,0.860393196,0.7567801,0.129957952,0.11930479,0.092959934
YBL078C,-/+,0.431375839,0.409532062,0.314115308,0.323544654,0.021843777,0.117260531,0.085987409
YIL022W,-/+,0.964765101,0.966551127,0.84758118,0.961824149,-0.001786026,0.117183921,0.004726977
YER017C,-/+,0.818120805,0.944020797,0.703335542,0.991535671,-0.125899992,0.114785263,-0.047514874
YDR231C,-/+,0.86090604,0.906239168,0.749061188,0.903610295,-0.045333128,0.111844852,0.002628873
YLR163C,-/+,0.986409396,0.994800693,0.884250055,0.93124892,-0.008391297,0.102159341,0.063551773
YGR029W,-/+,0.972818792,0.916811092,0.876960459,0.387977198,0.0560077,0.095858332,0.528833894
YGR112W,-/+,0.985067114,0.945407279,0.895736691,0.912247366,0.039659835,0.089330423,0.033159913
YDL059C,-/+,0.089765101,0.273656846,0.002208968,0.653826222,-0.183891745,0.087556132,-0.380169376
YMR150C,-/+,0.978691275,0.974350087,0.893306826,0.72724132,0.004341189,0.085384449,0.247108767
YBR024W,-/+,0.944295302,0.852686308,0.871879832,0.864743479,0.091608994,0.07241547,-0.012057171
YOL026C,-/+,0.864765101,0.885788562,0.79301966,0.862152358,-0.021023461,0.071745441,0.023636204
YPL218W,-/+,0.972483221,0.812998267,0.906118843,0.149075833,0.159484955,0.066364379,0.663922433
YLL009C,-/+,0.989765101,0.949913345,0.931963773,0.819312489,0.039851756,0.057801328,0.130600856
YPL100W,-/+,0.512751678,0.598960139,0.457035564,0.09949905,-0.086208461,0.055716113,0.499461089
YJL036W,-/+,0.631208054,0.751299827,0.584934835,0.353947141,-0.120091773,0.046273218,0.397352686
YLR259C,-/+,0.983724832,0.898613518,0.938590678,0.972015892,0.085111314,0.045134154,-0.073402374
YKR065C,-/+,0.99647651,0.988561525,0.95383256,0.983416825,0.007914985,0.04264395,0.0051447
YBL022C,-/+,0.957718121,0.962564991,0.9160592,0.950077734,-0.004846871,0.04165892,0.012487258
