Gene,Original Label,Modern Label,Mito Localized,Confidence,Background Confidence,AG bioProcOnly Rank,AG AllTerm Rank,AG Local,AG bioPIXIE,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank
YLR355C,1,1,1,8.753981667364428,7.719838456295346,1,2106,518,476,33,4831.0,4360,1774
YEL026W,-1,-1,-1,8.649341849509828,6.956293634454872,2,3580,1024,918,328,4902.0,3422,4400
YJR145C,0,-1,-1,8.611489484410086,7.636844930974873,3,1521,1323,801,809,4823.0,4604,5444
YLR325C,0,-1,-1,8.498883195622952,7.764306110630214,4,2108,1149,926,639,5218.0,3732,5041
YLR061W,0,-1,-1,8.423180725224718,7.200277543451086,5,2460,1489,950,920,4973.0,3956,5564
YLR388W,0,-1,-1,8.386729105503973,7.2792772087959055,6,1324,1602,1056,1986,4351.0,2269,5233
YLR175W,-1,-1,-1,8.295469953628357,6.106990035188813,7,3928,2633,3173,1448,5295.0,5772,5744
YOL040C,0,-1,-1,8.18256717099401,7.194386369465521,8,1123,835,812,353,4765.0,4092,5398
YHL033C,0,-1,-1,8.181139888163813,7.026871378668637,9,2888,1803,1042,396,4590.0,5476,5729
YLL009C,1,1,1,8.106394877690756,8.003520519891223,10,215,1994,2160,6064,289.0,623,1042
YEL054C,-1,-1,-1,8.058373697325141,6.741618207895229,11,2153,2166,1096,842,4772.0,2857,5209
YIL052C,0,-1,-1,8.048864833609073,7.198061517335673,12,1433,1511,1131,983,5069.0,2740,5163
YOR293W,0,-1,-1,8.04449140918469,6.959559146937393,13,1575,4505,4679,221,4770.0,1947,4787
YNL162W,0,-1,-1,8.006138768738616,6.871530293286583,14,1551,1307,1039,1682,4535.0,3911,5563
YDL191W,0,-1,-1,7.988507267957678,6.912301210401856,15,1594,1518,1475,1520,5219.0,3517,5665
YLR367W,0,-1,-1,7.9613995337914565,6.484028535037737,16,1493,3417,2310,918,4034.0,2178,5204
YER074W,-1,-1,1,7.938982937150373,7.365187053651524,17,1153,1089,1079,790,4859.0,3684,5086
YGR027C,0,-1,-1,7.915480013735994,6.999930930001654,18,1670,1487,1181,940,4908.0,4562,5347
YPL131W,-1,-1,-1,7.86884468615412,7.073571333582354,19,1856,1433,945,878,4910.0,5009,5750
YML026C,-1,-1,1,7.853337982457555,7.419940095980556,20,2188,1359,1182,1766,5230.0,3132,5594
YGL068W,-1,-1,1,7.724479602482504,7.767675824029932,21,461,7,7,6069,168.0,121,127
YNL301C,0,-1,-1,7.714382284415696,6.980781449598503,22,2119,2104,1186,494,4562.0,4657,5049
YLR259C,1,1,1,7.7052881781926414,7.941425095827181,23,937,9,8,4411,585.0,264,162
YDR091C,-1,-1,-1,7.683080690974247,5.321488090322668,24,4174,2664,2743,196,4059.0,5592,5362
YGR085C,-1,-1,-1,7.638984990423311,6.814369353668998,25,2397,1923,1196,817,4567.0,2573,5234
YKL081W,-1,-1,1,7.625797641491461,6.691436120934303,26,2513,2934,1557,2845,4156.0,5033,4120
YMR194W,0,-1,-1,7.572430979705857,6.855286081159354,27,3606,1648,1287,218,5114.0,2454,4653
YHR005C-A,1,1,1,7.528433168719628,7.490694202397712,28,1209,613,444,797,4980.0,143,52
YMR242C,0,-1,-1,7.5058959479817355,6.570336755483408,29,1673,1192,1029,464,5058.0,3082,5369
YER056C-A,0,-1,-1,7.446375747997604,6.809613680849454,30,2957,1944,1681,861,5162.0,1672,5446
YNL302C,-1,-1,-1,7.436336892093727,7.362160329228913,31,1743,2038,1227,404,4496.0,2758,5470
YJR047C,-1,-1,-1,7.433517689298013,6.277411653211928,32,2983,2548,1651,1485,2396.0,608,512
YGL076C,0,-1,-1,7.418628572703834,6.818586666831754,33,3453,2390,1193,1768,4413.0,4779,5496
YGR082W,1,1,1,7.414725639862929,6.633832891316581,34,627,16,43,4788,728.0,8,18
YMR230W,0,-1,-1,7.399602918746229,6.889667788417232,35,3150,1377,1509,685,5259.0,4982,5476
