Term,Name,2007 Genes,2022 Genes,KS Stat 2007,KS P-value 2007,BM Stat 2007,BM P-value 2007,Energy Distance 2007,KS Stat 2022,KS P-value 2022,BM Stat 2022,BM P-value 2022,Energy Distance 2022
GO:0000054,ribosome export from nucleus,25,54,0.6029,0.0,-138.20594924054953,0.0,0.7380789497498961,0.5876,0.0,-118.70576389802919,0.0,0.6522521612280672
GO:0000278,mitotic cell cycle,248,386,0.1927,1.0671444051933122e-162,-29.62285686516555,1.2304719870092353e-188,0.14844962365646236,0.2167,5.555410244185559e-206,-34.4160109781333,4.112704174043049e-252,0.1669111069460397
GO:0000747,conjugation with cellular fusion,114,125,0.0777,1.1383638313332442e-26,-11.299513266116083,1.6216861563344254e-29,0.060823157248176093,0.1029,1.7256959317082706e-46,-16.31999915187218,1.7305017299373508e-59,0.08318805909084996
GO:0000902,cell morphogenesis,259,45,0.0865,5.848137049160979e-33,-11.495087805629913,1.7432586830784098e-30,0.059925239297305886,0.1158,8.625311118337288e-59,-13.77352049706529,5.786641115238147e-43,0.07017174936198793
GO:0000910,cytokinesis,106,109,0.1312,2.1469345627779069e-75,-21.579144559330782,4.14656475150649e-102,0.10989177623025345,0.2017,2.561955101531406e-178,-31.82847466012097,9.045932320708996e-217,0.15243412450262947
GO:0001403,invasive growth (sensu Saccharomyces),43,55,0.163,2.5276184472314907e-116,-23.697124855494547,1.926896100459699e-122,0.11894859980069357,0.1517,9.450808661104375e-101,-20.294264898303954,1.2153726084187952e-90,0.1121807475585818
GO:0003700,transcription factor activity,60,181,0.1478,1.2201987546301659e-95,-19.795525161397972,2.2336455854109823e-86,0.10278017803367305,0.1807,5.2274051049248315e-143,-24.48252585150135,2.2179668168023974e-130,0.11927271795717806
GO:0004518,nuclease activity,140,151,0.1855,9.948156061407968e-151,5.429094916178615,5.740488822265931e-08,0.12934721477984912,0.184,2.70805274589503e-148,-0.4807753785956104,0.6306823517690163,0.1181297289281964
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,0.1957,7.9981198411812205e-168,-31.151061610766313,4.509817494239613e-208,0.16136513125850885,0.16,4.446140841067589e-112,-26.42590188411272,2.724431498890808e-151,0.13369975563004605
GO:0006260,DNA replication,112,158,0.2923,1e-323,-50.60887734047835,0.0,0.24708447160752348,0.2646,4.000981138630042e-308,-44.24864240529437,0.0,0.21222610825932195
GO:0006281,DNA repair,185,314,0.1844,6.0999293970514945e-149,-26.335054467055304,3.224860363223095e-150,0.13319785993343142,0.197,4.537492320561081e-170,-30.860650627688894,2.9456717513242896e-204,0.15065324028621754
GO:0006310,DNA recombination,109,254,0.1524,1.10613634211554e-101,-18.311422919188395,3.007570278545981e-74,0.1017711145681532,0.1744,3.4484147821336328e-133,-6.281830836351018,3.426431668005957e-10,0.09988618565244117
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,0.2254,5.767683257695833e-223,-33.80478382679717,1.6010187706858724e-243,0.169772909303735,0.2539,1.8123881809899555e-283,-39.64447862992911,0.0,0.19103768622354916
GO:0006352,transcription initiation,56,87,0.3572,0.0,-60.98021284062856,0.0,0.28625164772951234,0.3171,1e-323,-53.81121038304294,0.0,0.253726183615375
GO:0006353,transcription termination,20,41,0.2175,1.6286788186486106e-207,-31.25824333921974,2.8509827914471747e-209,0.160550799828693,0.379,0.0,-68.8941169996947,0.0,0.3102676962932272
GO:0006360,transcription from RNA polymerase I promoter,30,72,0.5201,0.0,-125.51243731967901,0.0,0.5472625493400544,0.4006,0.0,-77.32816971160881,0.0,0.3708683346582144
GO:0006364,rRNA processing,171,296,0.726,0.0,-193.1369104173224,0.0,0.948386567341607,0.5893,0.0,-125.46337427781613,0.0,0.7154653492567605
GO:0006366,transcription from RNA polymerase II promoter,333,553,0.1664,3.1212053084933055e-121,-24.131104107785976,8.0866431289331e-127,0.12324573560982784,0.1689,6.596903274052526e-125,-25.28980435495664,6.672222998641972e-139,0.12448089224138183
GO:0006383,transcription from RNA polymerase III promoter,39,46,0.3021,1e-323,-55.23623512160601,0.0,0.3393889351817218,0.3303,1e-323,-55.45013154785838,0.0,0.3128912203682787
GO:0006397,mRNA processing,149,210,0.2527,9.057684509553072e-281,-40.68868801220443,0.0,0.20007956397334606,0.2476,1.8959535627316808e-269,-38.35428566994398,1.8124447880355e-310,0.18493126219634315
GO:0006401,RNA catabolic process,69,166,0.2525,2.5439723332520805e-280,-36.70155186827167,1.4021997889815795e-284,0.228916383846828,0.1486,1.1195510718685207e-96,-21.98588294482403,7.682276696907058e-106,0.1288957592590084
GO:0006413,translational initiation,41,64,0.422,0.0,-49.73962870519047,0.0,0.48356795275763054,0.2507,2.662413998220582e-276,-33.30530785795209,2.2547049127309923e-235,0.2898403502968893
GO:0006414,translational elongation,20,48,0.4493,0.0,-59.369357012200645,0.0,0.5115639155899298,0.1765,2.013969486125854e-136,-23.249407915887833,6.027628723860216e-118,0.1993540585335692
GO:0006418,tRNA aminoacylation for protein translation,31,37,0.3431,0.0,-32.3481068887983,5.173325503052817e-222,0.4130296420162234,0.3679,0.0,-34.99342521752834,1.19962590255583e-257,0.43716747959301744
GO:0006457,protein folding,83,123,0.0937,1.3099184610396216e-38,-13.701866912400217,1.5659806245646438e-42,0.10467100410406621,0.1234,1.0070222909693575e-66,-16.26806224019576,4.164922170866131e-59,0.11246433527208362
GO:0006468,protein amino acid phosphorylation,96,218,0.1868,7.432124019491962e-153,-26.75098190852072,6.881021181530229e-155,0.1343805179940297,0.1596,1.61419666550704e-111,-21.724619802877097,1.8843121286636812e-103,0.1096467730585909
GO:0006470,protein amino acid dephosphorylation,28,55,0.1475,2.9784163130059647e-95,-20.148765910181584,2.1850849147613446e-89,0.11375441082430228,0.1555,7.3366475427562e-106,-20.800800461956992,4.3222472194202035e-95,0.105917917512302
GO:0006486,protein amino acid glycosylation,73,81,0.3824,0.0,-66.83635071842264,0.0,0.34010911316305364,0.3401,0.0,-58.253188168353155,0.0,0.29849480820980057
GO:0006497,protein amino acid lipidation,46,49,0.2149,1.4872213991810722e-202,-33.84944913088225,2.8769558834054944e-244,0.17646949959496608,0.2826,1e-323,-48.53243864010246,0.0,0.2355053023070385
GO:0006605,protein targeting,244,255,0.1292,4.040383080185128e-73,-15.45557134804266,1.4577791630990497e-53,0.10446309597809773,0.1536,2.732368953909952e-103,-21.92963516476571,2.3645704297704815e-105,0.11327261275554429
GO:0006629,lipid metabolic process,233,349,0.0847,1.2839721721297518e-31,-10.776617329679526,5.2661634509727875e-27,0.05681512914694782,0.109,4.003460250060001e-52,-14.540125355118919,1.1812810529317015e-47,0.07411627139395768
GO:0006766,vitamin metabolic process,87,62,0.0828,3.1179832214721115e-30,-8.497989020469701,2.065583834578396e-17,0.06324269455919575,0.0834,1.147667453655116e-30,-8.243133481595496,1.7809704384353646e-16,0.05575621879310791
GO:0006811,ion transport,108,340,0.0805,1.34461656776594e-28,-9.481388798747235,2.781454751602643e-21,0.05448066441574732,0.0598,5.780879599143655e-16,-4.846989673848364,1.2629530641123253e-06,0.031981764029083926
