Gene,Original Label,Modern Label,NN Rank,Spell Rank,Difference
YNL026W,1,1,926,45.0,881.0
YJR133W,-1,-1,988,107.0,881.0
YEL052W,-1,-1,995,114.0,881.0
YGL115W,-1,-1,922,47.0,875.0
YCR046C,-1,-1,972,106.0,866.0
YPL104W,-1,-1,873,16.0,857.0
YGR220C,-1,-1,881,39.0,842.0
YDR047W,-1,-1,990,158.0,832.0
YGL107C,-1,-1,868,59.0,809.0
YKL170W,-1,-1,796,12.0,784.0
YPR067W,-1,-1,872,103.0,769.0
YLR069C,-1,-1,813,53.0,760.0
YDR316W,-1,-1,879,130.0,749.0
YPR108W,-1,-1,934,198.0,736.0
YOL033W,-1,-1,794,81.0,713.0
YIL022W,1,1,900,193.0,707.0
YJR125C,-1,-1,845,139.0,706.0
YDL007W,-1,-1,986,280.0,706.0
YKL194C,-1,-1,739,35.0,704.0
YMR152W,-1,-1,869,173.0,696.0
YJL112W,1,1,807,116.0,691.0
YLR204W,-1,-1,754,80.0,674.0
YML057W,-1,-1,957,283.0,674.0
YDR462W,-1,-1,827,157.0,670.0
YPL097W,-1,-1,784,120.0,664.0
YJL046W,-1,-1,761,112.0,649.0
YLR239C,-1,-1,661,27.0,634.0
YLR201C,-1,-1,767,138.0,629.0
YOL122C,-1,-1,744,118.0,626.0
YDR116C,-1,-1,614,5.0,609.0
YFL005W,-1,-1,974,367.0,607.0
YKR070W,0,-1,888,290.0,598.0
YMR092C,-1,-1,931,334.0,597.0
YGR084C,-1,-1,691,98.0,593.0
YKR065C,1,1,645,66.0,579.0
YFR052W,-1,-1,902,328.0,574.0
YNL213C,1,1,939,366.0,573.0
YMR282C,-1,-1,1000,435.0,565.0
YLR163C,1,1,592,30.0,562.0
YER143W,-1,-1,975,415.0,560.0
YMR302C,1,1,687,140.0,547.0
YHR024C,1,1,651,113.0,538.0
YNL122C,-1,-1,617,82.0,535.0
YBR173C,-1,-1,993,460.0,533.0
YNL284C,-1,-1,538,8.0,530.0
YBL022C,-1,1,741,216.0,525.0
YPL096W,-1,-1,799,284.0,515.0
YDR322W,-1,1,550,37.0,513.0
YJL003W,-1,1,656,144.0,512.0
YML092C,-1,-1,866,354.0,512.0
YBR044C,1,1,846,339.0,507.0
YOL049W,-1,-1,732,228.0,504.0
YLR382C,-1,-1,552,50.0,502.0
YNL073W,-1,-1,542,41.0,501.0
YLR439W,-1,-1,609,111.0,498.0
YMR067C,-1,-1,999,502.0,497.0
YPL040C,-1,-1,677,181.0,496.0
YPR020W,-1,1,773,278.0,495.0
YGR215W,-1,-1,603,109.0,494.0
YGL226W,-1,-1,788,308.0,480.0
YDR148C,-1,-1,636,166.0,470.0
YFL018C,-1,-1,800,330.0,470.0
YMR024W,-1,-1,470,3.0,467.0
YPR024W,1,1,629,163.0,466.0
YDL144C,-1,-1,805,341.0,464.0
YPL098C,1,1,595,135.0,460.0
YNL131W,1,1,519,71.0,448.0
YNL051W,-1,-1,511,68.0,443.0
YER087W,-1,-1,612,174.0,438.0
YGL160W,-1,-1,876,448.0,428.0
YKL195W,1,1,495,84.0,411.0
YNR022C,-1,-1,515,104.0,411.0
YGR132C,1,1,438,29.0,409.0
YHR059W,-1,-1,683,276.0,407.0
YMR099C,-1,-1,735,329.0,406.0
YJR101W,-1,-1,471,69.0,402.0
YNR036C,-1,-1,510,108.0,402.0
YJL180C,1,1,408,9.0,399.0
YBR251W,-1,-1,457,63.0,394.0
YML007W,-1,-1,991,599.0,392.0
YDR347W,-1,-1,492,101.0,391.0
