GO Term,Pos Pairs
GO:0051169,4095
GO:0000054,210
GO:0000278,18336
GO:0000747,3828
GO:0000902,19306
GO:0000910,3003
GO:0001403,595
GO:0003677,13695
GO:0003682,231
GO:0006354,1035
GO:0003700,820
GO:0003723,27261
GO:0003729,210
GO:0005198,8128
GO:0003735,1378
GO:0016787,99681
GO:0003924,666
GO:0004386,946
GO:0004518,5778
GO:0030234,5995
GO:0043167,120
GO:0005085,300
GO:0005576,28
GO:0005618,435
GO:0005634,730236
GO:0005694,14706
GO:0005730,10731
GO:0005737,1151403
GO:0005739,99681
GO:0005740,10011
GO:0005773,3570
GO:0005777,496
GO:0012505,18336
GO:0005783,18915
GO:0005794,5778
GO:0005856,10153
GO:0005815,666
GO:0005840,5356
GO:0016020,186355
GO:0005886,12246
GO:0005933,4753
GO:0005938,2485
GO:0005975,4186
GO:0006091,13861
GO:0006260,3655
GO:0006974,14028
GO:0006281,9180
GO:0006310,3828
GO:0006325,16653
GO:0006352,820
GO:0006353,120
GO:0006360,378
GO:0006364,7021
GO:0006366,34453
GO:0006383,435
GO:0006397,7140
GO:0006401,1326
GO:0006413,435
GO:0006414,120
GO:0006417,231
GO:0006520,1596
GO:0006418,210
GO:0006457,2211
GO:0006468,2701
GO:0006470,276
GO:0006486,1711
GO:0006497,465
GO:0015031,21321
GO:0006605,18721
GO:0006629,12561
GO:0006766,2145
GO:0006811,3240
GO:0006865,465
GO:0006869,253
GO:0006873,2701
GO:0006887,561
GO:0006897,1953
GO:0006970,1275
GO:0006979,1128
GO:0006997,1128
GO:0007005,3403
GO:0007010,16110
GO:0007031,406
GO:0007033,1378
GO:0007059,3655
GO:0007114,2211
GO:0007124,1431
GO:0008033,253
GO:0008092,903
GO:0008134,325
GO:0008135,561
GO:0016740,81406
GO:0008168,861
GO:0008213,120
GO:0008233,3003
GO:0008289,351
GO:0008380,4851
GO:0008643,351
GO:0009408,55
GO:0009451,946
GO:0010324,1953
GO:0015931,2145
GO:0016050,55
GO:0016197,465
GO:0016301,6441
GO:0016491,8128
GO:0016570,2016
GO:0016757,1540
GO:0016779,4278
GO:0016791,1225
GO:0016798,171
GO:0016829,496
GO:0016853,276
GO:0016874,3081
GO:0018193,210
GO:0019843,28
GO:0019899,15
GO:0030427,5886
GO:0030674,78
GO:0031410,1653
GO:0032196,3741
GO:0032200,22791
GO:0032787,3916
GO:0042221,37401
GO:0042255,1128
GO:0042273,990
GO:0042274,190
GO:0042393,136
GO:0042594,55
GO:0043543,1035
GO:0045333,1653
GO:0048193,6105
GO:0048284,120
GO:0048308,528
GO:0051049,36
GO:0051052,253
GO:0051082,703
GO:0051321,7021
GO:0051603,6441
GO:0051726,7381
