Gene,Occurances in pairs
YJL205C-A,8277
YGR232W,8277
YPR147C,8277
YHR202W,8277
YKR043C,8277
YML111W,8277
YBR045C,8277
YJR075W,8277
YOR385W,8277
YER132C,8277
YAR064W,8277
YJL155C,8277
YHR007C-A,8277
YDR074W,8277
YKR074W,8277
YGL031C,8277
YEL006W,8277
YDL159W-A,8277
YDR139C,8277
YKL219W,8277
YIL096C,8277
YLR157W-D,8277
YAL049C,8277
YER096W,8277
YEL047C,8277
YMR242W-A,8277
YDR430C,8277
YDR287W,8277
YBR085C-A,8277
YNR070W,8277
YIR030C,8277
YLR036C,8277
YER180C,8277
YKL174C,8277
YDR373W,8277
YMR002W,8277
YBL091C,8277
YKL023C-A,8277
YML037C,8277
YOR197W,8277
YEL025C,8277
YIL020C,8277
YIR014W,8277
YDL124W,8277
YCR097WB,8277
YNR065C,8277
YLR307W,8277
YOL131W,8277
YNL217W,8277
YIL078W,8277
YKR051W,8277
YER152C,8277
YBR033W,8277
YER087W,8277
YGR243W,8277
YBR005W,8277
YNL056W,8277
YLR042C,8277
YCR030C,8277
YNR040W,8277
YER074W,8277
YDR266C,8277
YBR047W,8277
YNL181W,8277
YFR049W,8277
YNL146W,8277
YHR136C,8277
YPL277C,8277
YJR030C,8277
YPR151C,8277
YLR083C,8277
YGR021W,8277
YJL062W-A,8277
YFL001W,8277
YPR022C,8277
YPL220W,8277
YMR152W,8277
YLR099C,8277
YKL183W,8277
YGR263C,8277
YBR028C,8277
YNL315C,8277
YAL061W,8277
YEL021W,8277
YDL136W,8277
YOL058W,8277
YOL137W,8277
YAL039C,8277
YEL017W,8277
YDR237W,8277
YCL057W,8277
YHR156C,8277
YHR175W-A,8277
YGL161C,8277
YFL044C,8277
YNL175C,8277
YKL183C-A,8277
YIL060W,8277
YLR373C,8277
YDR391C,8277
YJR123W,8277
YPL249C-A,8277
YIL089W,8277
YPR047W,8277
YOL166W-A,8277
YIL027C,8277
YNL162W-A,8277
YDL131W,8277
YKR080W,8277
YNL115C,8277
YML056C,8277
YDR051C,8277
YPR098C,8277
YPL219W,8277
YDR533C,8277
YGR100W,8277
YNL138W-A,8277
YGR295C,8277
YGR071C,8277
YDL012C,8277
YOR161C,8277
YDR232W,8277
YFL067W,8277
YKR094C,8277
YER076C,8277
YNL097C-A,8277
YLR408C,8277
YOR316C-A,8277
YBL037W,8277
YDR067C,8277
YNL162W,8277
YOR394C-A,8277
YJR124C,8277
YHR153C,8277
YDL085C-A,8277
YGR250C,8277
YDR262W,8277
YOR104W,8277
YMR294W,8277
YDR197W,8277
YML018C,8277
YJR142W,8277
YLR466C-B,8277
YKL072W,8277
YMR242C,8277
YLR188W,8277
YJL016W,8277
YJR061W,8277
YER098W,8277
YNR012W,8277
YLR057W,8277
YOR285W,8277
YGL041C-B,8277
YFR044C,8277
YHR054C,8277
YLL058W,8277
YBR016W,8277
YLR441C,8277
YKL096W-A,8277
YGR208W,8277
YCR024C,8277
YNL211C,8277
YOR357C,8277
YDR403W,8277
YHL021C,8277
YGR061C,8277
YBR255C-A,8277
YPL009C,8277
YLR050C,8277
YGL220W,8277
YHR086W-A,8277
YOR227W,8277
YNL067W,8277
YMR258C,8277
YLR241W,8277
YBR194W,8277
YMR315W,8277
YDR383C,8277
YPR079W,8277
YER011W,8277
YER077C,8277
YPL099C,8277
YDR319C,8277
YHR219W,8277
YIL145C,8277
YGL185C,8277
YFL051C,8277
YFR011C,8277
YKL100C,8277
YNR029C,8277
YPL236C,8277
YDR084C,8277
YJL103C,8277
YAL064C-A,8277
YHL049C,8277
YHL050C,8277
YNL097C-B,8277
YDL191W,8277
YKR030W,8277
YLR053C,8277
YAL014C,8277
YNL067W-A,8277
YER004W,8277
YDR444W,8277
YKR078W,8277
YMR118C,8277
YGR031W,8277
YDL168W,8277
YJL225C,8277
YOR128C,8277
YLR187W,8277
YMR030W-A,8277
YOR155C,8277
YJR094W-A,8277
YLL028W,8277
YBR056W,8277
YLL032C,8277
YOL153C,8277
YPR058W,8277
YIL099W,8277
YPL134C,8277
YOR391C,8277
YDR034C,8277
YGR146C,8277
YLL064C,8277
YBR111C,8277
YGL202W,8277
YJL028W,8277
YDR034W-B,8277
YLR344W,8277
YLR157C-C,8277
YLR108C,8277
YBR125C,8277
YIR042C,8277
YDL072C,8277
YLR120C,8277
YDR114C,8277
YBL100W-C,8277
YHR050W-A,8277
YER007C-A,8277
YCR043C,8277
YCR101C,8277
YJR129C,8277
YDL171C,8277
YOR051C,8277
YFR032C-B,8277
YCR011C,8277
YOR101W,8277
YJL088W,8277
YOR192C-C,8277
YBR013C,8277
YHL032C,8277
YGL146C,8277
YHR009C,8277
YMR107W,8277
YGR076C,8277
YLR174W,8277
YOR283W,8277
YKR058W,8277
YGR271W,8277
YHR207C,8277
YGL056C,8277
YGR106C,8277
YHR051W,8277
YBL066C,8277
YMR071C,8277
YNL058C,8277
YCR069W,8277
YGL050W,8277
YEL005C,8277
YPL279C,8277
YLR421C,8277
YDR100W,8277
YBR230C,8277
YLR345W,8277
YLR250W,8277
YDR466W,8277
YER137C,8277
YDL180W,8277
YDR031W,8277
YPL278C,8277
YGR198W,8277
YJR048W,8277
YCR096C,8277
YOR164C,8277
YPL068C,8277
YML007C-A,8277
YDR525W-A,8277
YJR032W,8277
YBL081W,8277
YDL206W,8277
YLR058C,8277
YMR315W-A,8277
YGL261C,8277
YPR061C,8277
YBR128C,8277
YER057C,8277
YDR316W,8277
YOL053W,8277
YML072C,8277
YKL067W,8277
YDR541C,8277
YJR079W,8277
YDR161W,8277
YNR062C,8277
YFR038W,8277
YPR196W,8277
YHR155W,8277
YKL155C,8277
YAR061W,8277
YLR093C,8277
YKL138C,8277
YDL139C,8277
YMR306W,8277
YHR029C,8277
YDL160C-A,8277
YMR180C,8277
YER078C,8277
YHR218W,8277
YGL128C,8277
YDR291W,8277
YHR212W-A,8277
YNR061C,8277
YNL306W,8277
YLL063C,8277
YML063W,8277
YGL184C,8277
YHR076W,8277
YOL141W,8277
YCL018W,8277
YMR169C,8277
YHR117W,8277
YGL154C,8277
YBR263W,8277
YOR042W,8277
YLR436C,8277
YMR191W,8277
YOR097C,8277
YBL113C,8277
YLR104W,8277
YKR017C,8277
YFR026C,8277
YLR287C-A,8277
YHR192W,8277
YJR098C,8277
YFL006W,8277
YBR001C,8277
YIL088C,8277
YMR265C,8277
YMR262W,8277
YKR099C-A,8277
YBR084C-A,8277
YBR302C,8277
YMR123W,8277
YCL048W,8277
YBR201C-A,8277
YDR047W,8277
YER069W,8277
YJR005C-A,8277
YNL052W,8277
YNL316C,8277
YLR012C,8277
YDR367W,8277
YFR023W,8277
YHR105W,8277
YIL057C,8277
YIR018C-A,8277
YOL155C,8277
YDR223W,8277
YKL217W,8277
YOR017W,8277
YOR220W,8277
YKR013W,8277
YMR170C,8277
YLR359W,8277
YML083C,8277
YMR300C,8277
YGR153W,8277
YNL019C,8277
YBR146W,8277
YEL048C,8277
YDR064W,8277
YGL258W,8277
YOL024W,8277
YBR094W,8277
YDR321W,8277
YHR132W-A,8277
YBR019C,8277
YPL005W,8277
YJR154W,8277
YML101C,8277
YDR519W,8277
YDR152W,8277
YBL021C,8277
YGL023C,8277
YER113C,8277
YBR296C-A,8277
YOL136C,8277
YNL022C,8277
YJL068C,8277
YFR043C,8277
YBR204C,8277
YDL027C,8277
YFR057W,8277
YBL028C,8277
YOL155W-A,8277
YMR124W,8277
YDR524W-C,8277
YDR493W,8277
YKR016W,8277
YLL010C,8277
YIL172C,8277
YBL068W,8277
YEL007W,8277
YJR112W-A,8277
YDR034C-A,8277
YNL176C,8277
YBR011C,8277
YPR013C,8277
YGR205W,8277
YFR010W,8277
YNR055C,8277
YCL012C,8277
YDL233W,8277
YHR182W,8277
YBL076C,8277
YJL044C,8277
YDR504C,8277
YCL021W-A,8277
YGR032W,8277
YJL213W,8277
YDR326C,8277
YOL047C,8277
YNL069C,8277
YJL151C,8277
YPR028W,8277
YHR010W,8277
YBL059C-A,8277
YJL078C,8277
YKL163W,8277
YKL071W,8277
YCL030C,8277
YBR166C,8277
YHL016C,8277
YKR104W,8277
YHL044W,8277
YJL079C,8277
YOL087C,8277
YGR294W,8277
YNL189W,8277
YLR159C-A,8277
YCR046C,8277
YGR271C-A,8277
YDL104C,8277
YAR028W,8277
YBR140C,8277
YBR071W,8277
YKL210W,8277
YJL206C,8277
YFL017C,8277
YPR127W,8277
YCL047C,8277
YDR500C,8277
YGR087C,8277
YPL113C,8277
YEL076C-A,8277
YKL068W-A,8277
YGL010W,8277
YAL027W,8277
YJL163C,8277
YOL019W-A,8277
YPR066W,8277
YLR146W-A,8277
YPL247C,8277
YHL046C,8277
YEL072W,8277
YGR203W,8277
YKL024C,8277
YPL150W,8277
YER048W-A,8277
YGL157W,8277
YBR189W,8277
YDL119C,8277
YNL187W,8277
YOR205C,8277
YNR004W,8277
YDR196C,8277
YKR096W,8277
YEL075C,8277
YMR147W,8277
YHR134W,8277
YNL277W,8277
YJL223C,8277
YJR085C,8277
YML081W,8277
YLR387C,8277
YML030W,8277
YIL174W,8277
YDR204W,8277
YCR075W-A,8277
YDL238C,8277
YPR116W,8277
YJL181W,8277
YLR414C,8277
YOL119C,8277
YKL168C,8277
YER176W,8277
YMR085W,8277
YLR312W-A,8277
YNL050C,8277
YHL015W-A,8277
YOR352W,8277
YAL028W,8277
YKL098W,8277
YER080W,8277
YGL015C,8277
YGL234W,8277
YFL040W,8277
YEL039C,8277
YGL141W,8277
YGR187C,8277
YOL019W,8277
YGL083W,8277
YHR209W,8277
YFR012W,8277
YHR184W,8277
YGR065C,8277
YNL224C,8277
YOR091W,8277
YPL067C,8277
YBL072C,8277
YML096W,8277
YIL107C,8277
YJR036C,8277
YKL222C,8277
YOR370C,8277
YDR050C,8277
YOR196C,8277
YGL076C,8277
YMR278W,8277
YOL025W,8277
YLR257W,8277
YEL076C,8277
YKR015C,8277
YEL073C,8277
YPR174C,8277
YOR177C,8277
YKR010C,8277
YHR112C,8277
YHR141C,8277
YGR174C,8277
YDR012W,8277
YDR304C,8277
YDR253C,8277
YIL102C,8277
YER014W,8277
YCR095W-A,8277
YML035C,8277
YPR117W,8277
YDR524W-A,8277
YHR201C,8277
YJL216C,8277
YIR036C,8277
YNL240C,8277
YJL051W,8277
YBR063C,8277
YDL075W,8277
YLR437C,8277
YHR159W,8277
YKL018C-A,8277
YJR034W,8277
YLL025W,8277
YCR050C,8277
YNL018C,8277
YCR023C,8277
YKR018C,8277
YOR124C,8277
YDL210W,8277
YDL086W,8277
YDL169C,8277
YDL183C,8277
YPL281C,8277
YOL154W,8277
YHR017W,8277
YLR341W,8277
YJL077W-B,8277
YBR282W,8277
YLR336C,8277
YDL176W,8277
YCR079W,8277
YPL173W,8277
YPL038W-A,8277
YLR168C,8277
YHL014C,8277
YGL188C-A,8277
YGR068C,8277
YGL260W,8277
YLR343W,8277
YBR007C,8277
YER091C,8277
YCL056C,8277
YGR126W,8277
YJL212C,8277
YPL038W,8277
YJR062C,8277
YOR289W,8277
YBL108C-A,8277
YBL067C,8277
YJR054W,8277
YDL007C-A,8277
YNR050C,8277
YGR292W,8277
YJR056C,8277
YLL039C,8277
YBR196C-B,8277
YJR138W,8277
YJL038C,8277
YNL208W,8277
YGL235W,8277
YBL036C,8277
YFR017C,8277
YLR258W,8277
YOR059C,8277
YJR067C,8277
YHL015W,8277
YOR086C,8277
