Timestamp,TAS2R38 (PTC) genotype,TAS2R38 (PTC) phenotype
10/17/2022 15:30,tt,non-taster
10/17/2022 15:55,tt,non-taster
10/17/2022 16:07,Tt,taster
10/17/2022 16:16,tt,non-taster
10/17/2022 18:08,tt,non-taster
10/17/2022 18:09,TT,taster
10/17/2022 18:14,tt,taster
10/17/2022 18:19,Tt,taster
10/17/2022 18:19,Tt,taster
10/17/2022 18:20,TT,taster
10/17/2022 18:21,tt,non-taster
10/17/2022 18:22,Tt,non-taster
10/17/2022 18:41,tt,non-taster
10/17/2022 18:41,tt,non-taster
10/17/2022 18:41,Tt,taster
10/17/2022 18:41,Tt,taster
10/17/2022 18:50,TT,taster
10/17/2022 19:43,Tt,taster
10/17/2022 20:03,Tt,taster
10/17/2022 21:23,tt,non-taster
10/17/2022 21:56,Tt,taster
10/17/2022 23:55,TT,taster
10/18/2022 12:25,Tt,taster
10/18/2022 12:38,Tt,taster
10/18/2022 15:20,Tt,taster
10/18/2022 15:25,tt,taster
10/18/2022 15:25,tt,taster
10/18/2022 15:28,Tt,taster
10/18/2022 15:34,tt,non-taster
10/18/2022 17:02,TT,taster
10/18/2022 19:04,Tt,taster
10/18/2022 19:04,Tt,taster
10/18/2022 19:05,Tt,taster
10/18/2022 19:07,tt,non-taster
10/18/2022 19:08,tt,non-taster
10/18/2022 19:08,Tt,taster
10/18/2022 19:09,tt,non-taster
10/18/2022 19:09,tt,non-taster
10/18/2022 19:09,Tt,taster
10/18/2022 19:12,tt,non-taster
10/18/2022 19:12,Tt,taster
10/18/2022 19:21,TT,taster
10/19/2022 1:18,tt,non-taster
10/19/2022 18:23,tt,non-taster
10/19/2022 18:39,TT,taster
10/19/2022 18:43,Tt,taster
10/19/2022 18:43,TT,taster
10/19/2022 18:44,TT,taster
10/19/2022 23:36,Tt,taster
10/20/2022 12:04,tt,non-taster
10/20/2022 13:02,Tt,taster
10/20/2022 13:02,Tt,taster
10/20/2022 15:45,Tt,taster
10/20/2022 17:37,tt,non-taster
10/20/2022 17:37,Tt,taster
10/20/2022 18:15,tt,non-taster
10/20/2022 18:49,Tt,taster
10/20/2022 18:49,Tt,taster
10/20/2022 18:52,Tt,taster
10/20/2022 18:53,TT,taster
10/20/2022 18:53,tt,non-taster
10/20/2022 18:53,tt,non-taster
10/20/2022 18:54,TT,taster
10/20/2022 18:54,tt,non-taster
10/20/2022 18:55,TT,taster
10/20/2022 18:55,TT,taster
10/20/2022 18:56,TT,taster
10/20/2022 18:57,TT,taster
10/20/2022 18:58,tt,non-taster
10/20/2022 19:58,Tt,taster
10/20/2022 23:21,tt,non-taster
10/20/2022 23:56,Tt,taster
10/21/2022 15:23,tt,non-taster
10/22/2022 11:41,tt,non-taster
10/22/2022 12:54,Tt,taster
10/23/2022 10:28,Tt,taster
10/23/2022 12:49,Tt,taster
10/24/2022 9:38,tt,non-taster
10/24/2022 10:12,TT,taster
10/24/2022 10:30,Tt,taster
10/24/2022 10:30,Tt,taster
10/24/2022 10:38,tt,non-taster
10/24/2022 11:40,TT,taster
10/24/2022 11:57,Tt,non-taster
10/24/2022 13:54,Tt,taster
10/24/2022 23:20,Tt,taster
10/25/2022 1:26,Tt,taster
10/25/2022 8:28,Tt,taster
10/25/2022 11:24,Tt,taster
10/25/2022 13:15,TT,taster
10/25/2022 13:23,TT,taster
10/25/2022 13:29,Tt,taster
10/25/2022 13:30,Tt,taster
10/25/2022 14:52,Tt,taster
10/25/2022 16:54,tt,non-taster
10/25/2022 19:43,Tt,taster
10/26/2022 10:31,TT,taster
10/26/2022 10:34,TT,taster
10/26/2022 10:41,Tt,taster
10/26/2022 12:55,tt,non-taster
10/26/2022 16:39,TT,taster
10/26/2022 17:51,Tt,taster
10/26/2022 19:38,tt,non-taster
10/26/2022 22:38,tt,non-taster
