Term,Description
GO:0000054,ribosomal subunit export from nucleus
GO:0000278,mitotic cell cycle
GO:0000747,conjugation with cellular fusion
GO:0001403,invasive growth in response to glucose limitation
GO:0002181,cytoplasmic translation
GO:0003677,DNA binding
GO:0003682,chromatin binding
GO:0003700,DNA-binding transcription factor activity
GO:0003735,structural constituent of ribosome
GO:0004386,helicase activity
GO:0004518,nuclease activity
GO:0005085,guanyl-nucleotide exchange factor activity
GO:0005576,extracellular region
GO:0005618,cell wall
GO:0005694,chromosome
GO:0005730,nucleolus
GO:0005740,mitochondrial envelope
GO:0005773,vacuole
GO:0005777,peroxisome
GO:0005783,endoplasmic reticulum
GO:0005794,Golgi apparatus
GO:0005840,ribosome
GO:0005886,plasma membrane
GO:0005933,cellular bud
GO:0005938,cell cortex
GO:0006260,DNA replication
GO:0006281,DNA repair
GO:0006310,DNA recombination
GO:0006325,chromatin organization
GO:0006352,DNA-templated transcription initiation
GO:0006353,DNA-templated transcription termination
GO:0006360,transcription by RNA polymerase I
GO:0006364,rRNA processing
GO:0006366,transcription by RNA polymerase II
GO:0006383,transcription by RNA polymerase III
GO:0006397,mRNA processing
GO:0006401,RNA catabolic process
GO:0006413,translational initiation
GO:0006414,translational elongation
GO:0006418,tRNA aminoacylation for protein translation
GO:0006457,protein folding
GO:0006468,protein phosphorylation
GO:0006470,protein dephosphorylation
GO:0006486,protein glycosylation
GO:0006629,lipid metabolic process
GO:0006811,ion transport
GO:0006865,amino acid transport
GO:0006869,lipid transport
GO:0006873,cellular ion homeostasis
GO:0006887,exocytosis
GO:0006897,endocytosis
GO:0006970,response to osmotic stress
GO:0006979,response to oxidative stress
GO:0007005,mitochondrion organization
GO:0007010,cytoskeleton organization
GO:0007031,peroxisome organization
GO:0007033,vacuole organization
GO:0007059,chromosome segregation
GO:0007124,pseudohyphal growth
GO:0008033,tRNA processing
GO:0008168,methyltransferase activity
GO:0008233,peptidase activity
GO:0008289,lipid binding
GO:0008380,RNA splicing
GO:0008643,carbohydrate transport
GO:0009408,response to heat
GO:0009451,RNA modification
GO:0016197,endosomal transport
GO:0016301,kinase activity
GO:0016491,oxidoreductase activity
GO:0016757,glycosyltransferase activity
GO:0016779,nucleotidyltransferase activity
GO:0016791,phosphatase activity
GO:0016798,"hydrolase activity, acting on glycosyl bonds"
GO:0016829,lyase activity
GO:0016853,isomerase activity
GO:0016874,ligase activity
GO:0019843,rRNA binding
GO:0022857,transmembrane transporter activity
GO:0030427,site of polarized growth
GO:0030674,protein-macromolecule adaptor activity
GO:0031410,cytoplasmic vesicle
GO:0032196,transposition
GO:0032543,mitochondrial translation
GO:0042273,ribosomal large subunit biogenesis
GO:0042274,ribosomal small subunit biogenesis
GO:0042393,histone binding
GO:0045333,cellular respiration
GO:0051082,unfolded protein binding
GO:0051321,meiotic cell cycle
GO:0051603,proteolysis involved in protein catabolic process
GO:0051726,regulation of cell cycle
