Go Term,Name,2007 Genes,2022 Genes,KS Statistic,KS P-Value
GO:0006401,RNA catabolic process,69,166,0.14833999999999997,0.0
GO:0043543,protein amino acid acylation,62,86,0.038449999999999984,1.1557464258131789e-64
GO:0006310,DNA recombination,109,254,0.21913999999999995,0.0
GO:0032200,telomere organization and biogenesis,274,137,0.12636,0.0
GO:0006979,response to oxidative stress,67,130,0.09555999999999998,0.0
GO:0006766,vitamin metabolic process,87,62,0.09240000000000004,0.0
GO:0006897,endocytosis,84,140,0.04373000000000005,1.5948045341114592e-83
GO:0006366,transcription from RNA polymerase II promoter,333,553,0.05366999999999994,1.2842812514434535e-125
GO:0051603,proteolysis involved in cellular protein catabolic process,148,270,0.14281,0.0
GO:0007005,mitochondrion organization and biogenesis,106,292,0.04227,4.577172168680511e-78
GO:0048284,organelle fusion,22,113,0.06477,8.311057320558753e-183
GO:0006468,protein amino acid phosphorylation,96,218,0.08631,0.0
GO:0042255,ribosome assembly,62,80,0.06824000000000008,6.831807018294748e-203
GO:0048308,organelle inheritance,41,57,0.05568000000000001,3.5472495682790896e-135
GO:0006383,transcription from RNA polymerase III promoter,39,46,0.06492999999999993,1.0391437943289353e-183
GO:0016050,vesicle organization and biogenesis,15,101,0.046609999999999985,7.802064313210664e-95
GO:0006997,nuclear organization and biogenesis,56,105,0.16369999999999996,0.0
GO:0000278,mitotic cell cycle,248,386,0.02315000000000006,1.0395337275643862e-23
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,0.03489000000000003,2.5683612762388357e-53
GO:0008380,RNA splicing,121,146,0.05826999999999999,5.167638350820803e-148
GO:0032196,transposition,109,120,0.05890999999999996,2.825775084967357e-151
GO:0006260,DNA replication,112,158,0.11131000000000008,0.0
GO:0001403,invasive growth (sensu Saccharomyces),43,55,0.07796999999999998,7.94681203509282e-265
GO:0006865,amino acid transport,37,58,0.04082999999999998,7.276583037348976e-73
GO:0051726,regulation of cell cycle,165,298,0.03410000000000002,5.999621236523356e-51
GO:0006605,protein targeting,244,255,0.058510000000000006,3.120128856957166e-149
GO:0045333,cellular respiration,80,107,0.11788999999999994,0.0
GO:0000054,ribosome export from nucleus,25,54,0.13317,0.0
GO:0042273,ribosomal large subunit biogenesis and assembly,64,129,0.11618999999999996,0.0
GO:0000747,conjugation with cellular fusion,114,125,0.03803999999999996,2.665927994114299e-63
GO:0007010,cytoskeleton organization and biogenesis,227,282,0.039080000000000004,8.709779619598295e-67
GO:0042274,ribosomal small subunit biogenesis and assembly,22,145,0.054779999999999995,7.47303452093869e-131
GO:0004518,nuclease activity,140,151,0.019350000000000034,1.0794024243382364e-16
GO:0006486,protein amino acid glycosylation,73,81,0.09463000000000005,0.0
GO:0006414,translational elongation,20,48,0.30009,0.0
GO:0003700,transcription factor activity,60,181,0.05956000000000006,1.2630692333812612e-154
GO:0006413,translational initiation,41,64,0.19166999999999995,0.0
GO:0006811,ion transport,108,340,0.09065999999999996,0.0
GO:0006470,protein amino acid dephosphorylation,28,55,0.09450999999999998,0.0
GO:0009408,response to heat,22,59,0.22022000000000003,0.0
GO:0042594,response to starvation,19,90,0.10063,0.0
GO:0008643,carbohydrate transport,33,48,0.10393999999999992,0.0
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,185,0.14271,0.0
GO:0007031,peroxisome organization and biogenesis,40,53,0.13083,0.0
GO:0018193,peptidyl-amino acid modification,27,229,0.37988000000000005,0.0
GO:0042221,response to chemical stimulus,371,525,0.026469999999999994,7.235087342586061e-31
GO:0006418,tRNA aminoacylation for protein translation,31,37,0.02481,3.613376599092829e-27
GO:0032787,monocarboxylic acid metabolic process,124,168,0.04742000000000002,3.8103086229347164e-98
GO:0051049,regulation of transport,10,102,0.29691999999999996,0.0
GO:0007033,vacuole organization and biogenesis,69,115,0.061450000000000005,1.419085589836564e-164
GO:0006970,response to osmotic stress,73,69,0.044889999999999985,5.419706178653741e-88
GO:0009451,RNA modification,65,116,0.24698000000000003,0.0
GO:0006397,mRNA processing,149,210,0.059089999999999976,3.366796203938676e-152
GO:0007114,cell budding,82,61,0.07391000000000003,5.6270959053458616e-238
GO:0048193,Golgi vesicle transport,161,210,0.05741999999999997,9.785620514246892e-144
GO:0006497,protein amino acid lipidation,46,49,0.0392,3.4020227857987426e-67
GO:0016197,endosome transport,46,114,0.20248,0.0
GO:0016570,histone modification,88,139,0.08859,0.0
GO:0006869,lipid transport,34,78,0.031459999999999995,1.9913775395802077e-43
GO:0006629,lipid metabolic process,233,349,0.02905000000000002,4.321989415330888e-37
GO:0006873,cell ion homeostasis,110,167,0.053590000000000027,3.032624130763921e-125
GO:0007124,pseudohyphal growth,65,77,0.015220000000000011,1.721026753619228e-10
GO:0006352,transcription initiation,56,87,0.09859000000000001,0.0
GO:0051321,meiotic cell cycle,144,330,0.04220999999999997,7.601926574017048e-78
GO:0051052,regulation of DNA metabolic process,31,126,0.07867000000000002,1.3335574709046281e-269
