0,1,2,3,4,5,6
transcription by RNA polymerase II,response to osmotic stress,,,,,
pseudohyphal growth,meiotic cell cycle,,,,,
invasive growth in response to glucose limitation,pseudohyphal growth,,,,,
transcription by RNA polymerase II,pseudohyphal growth,,,,,
invasive growth in response to glucose limitation,transcription by RNA polymerase II,pseudohyphal growth,,,,
invasive growth in response to glucose limitation,transcription by RNA polymerase II,,,,,
transcription by RNA polymerase II,meiotic cell cycle,,,,,
invasive growth in response to glucose limitation,meiotic cell cycle,,,,,
invasive growth in response to glucose limitation,transcription by RNA polymerase II,pseudohyphal growth,meiotic cell cycle,,,
mitotic cell cycle,regulation of cell cycle,,,,,
mitotic cell cycle,chromosome segregation,,,,,
mitotic cell cycle,chromosome segregation,regulation of cell cycle,,,,
chromosome segregation,regulation of cell cycle,,,,,
mitotic cell cycle,conjugation with cellular fusion,regulation of cell cycle,,,,
mitotic cell cycle,conjugation with cellular fusion,,,,,
mitotic cell cycle,proteolysis involved in protein catabolic process,regulation of cell cycle,,,,
mitotic cell cycle,proteolysis involved in protein catabolic process,,,,,
conjugation with cellular fusion,regulation of cell cycle,,,,,
proteolysis involved in protein catabolic process,regulation of cell cycle,,,,,
conjugation with cellular fusion,proteolysis involved in protein catabolic process,,,,,
tRNA aminoacylation for protein translation,mitochondrial translation,,,,,
cellular ion homeostasis,response to oxidative stress,,,,,
response to osmotic stress,response to oxidative stress,,,,,
response to oxidative stress,response to heat,,,,,
transcription by RNA polymerase I,ion transport,,,,,
transcription by RNA polymerase I,transcription by RNA polymerase III,,,,,
transcription by RNA polymerase III,ion transport,,,,,
meiotic cell cycle,regulation of cell cycle,,,,,
endocytosis,meiotic cell cycle,,,,,
endocytosis,regulation of cell cycle,,,,,
transcription by RNA polymerase II,RNA catabolic process,,,,,
mitotic cell cycle,protein phosphorylation,,,,,
protein glycosylation,lipid metabolic process,,,,,
mRNA processing,RNA splicing,,,,,
rRNA processing,mRNA processing,,,,,
rRNA processing,mRNA processing,RNA splicing,,,,
mitotic cell cycle,cytoskeleton organization,chromosome segregation,,,,
mitotic cell cycle,cytoskeleton organization,,,,,
