Term,Name,2007 Genes,KS Statistic,KS P-Value,BM Statistic,BM P-Value,Energy Distance
GO:0000054,ribosome export from nucleus,25,0.573,0.0,-139.91652296256046,0.0,0.7219558474021466
GO:0000278,mitotic cell cycle,248,0.1785,1.5406741347182014e-139,-28.1198355597343,1.3702969964615082e-170,0.14234556402967083
GO:0000747,conjugation with cellular fusion,114,0.1062,1.695741664881546e-49,-14.613284812631822,4.101143892704868e-48,0.0757832401557569
GO:0000902,cell morphogenesis,259,0.0664,1.380461331652342e-19,-9.0719998455205,1.2744170245922985e-19,0.0482687140938214
GO:0000910,cytokinesis,106,0.1098,6.906057371123849e-53,-17.323008439682013,9.718257400043754e-67,0.09005760281853419
GO:0001403,invasive growth (sensu Saccharomyces),43,0.1489,4.555735765315832e-97,-22.991487762402137,1.817415336429539e-115,0.11676464340766232
GO:0003700,transcription factor activity,60,0.1446,1.5106459946612078e-91,-20.79025515937352,5.394774778176557e-95,0.10863887312802271
GO:0004518,nuclease activity,140,0.2103,6.280096238657871e-194,7.945746808241108,2.0492096079158895e-15,0.1395156384713193
GO:0005085,guanyl-nucleotide exchange factor activity,38,0.1896,1.7338557221741492e-157,-31.670490593370026,8.371902638517385e-215,0.1614958097802793
GO:0006260,DNA replication,112,0.2966,1e-323,-49.61693632264004,0.0,0.24705920978696186
GO:0006281,DNA repair,185,0.1719,2.1656991950630626e-129,-25.76183782422045,5.951314677439147e-144,0.13211216398099493
GO:0006310,DNA recombination,109,0.1328,3.0667934135073556e-77,-17.415233245535543,2.1154538903107425e-67,0.0979368780611882
GO:0006325,establishment and/or maintenance of chromatin architecture,245,0.2202,9.891775891532483e-213,-33.40308652331183,5.4097140861239176e-238,0.16928956595272612
GO:0006352,transcription initiation,56,0.3668,0.0,-64.29299440799748,0.0,0.3028378439939272
GO:0006353,transcription termination,20,0.2484,3.295683071013933e-271,-36.4116750955764,1.109329456583713e-280,0.18062642000641382
GO:0006360,transcription from RNA polymerase I promoter,30,0.5255,0.0,-115.86584556998145,0.0,0.5335093126163017
