Term,Name,2007 Genes,2022 Genes,KS Stat 2007,KS P-value 2007,BM Stat 2007,BM P-value 2007,Energy Distance 2007,KS Stat 2022,KS P-value 2022,BM Stat 2022,BM P-value 2022,Energy Distance 2022
GO:0000054,ribosome export from nucleus,25,54,0.6041500000000001,0.0,-620.5120853137523,0.0,0.7314164495178702,0.587445,0.0,-538.0788854250394,0.0,0.6523300106043465
GO:0000278,mitotic cell cycle,248,386,0.19166,0.0,-134.7910811695416,0.0,0.15083205109305728,0.2172,0.0,-155.18489141027317,0.0,0.167640678780717
GO:0000747,conjugation with cellular fusion,114,125,0.08664499999999997,0.0,-57.19111114806639,0.0,0.06762170169615953,0.10215499999999994,0.0,-73.80433719522703,0.0,0.08335958780479828
GO:0000902,cell morphogenesis,259,45,0.08639000000000002,0.0,-52.038938337829514,0.0,0.060138319457445806,0.11177500000000001,0.0,-63.22892432055889,0.0,0.07117660037277974
GO:0000910,cytokinesis,106,109,0.13708500000000007,0.0,-102.40123644870023,0.0,0.11635965548344046,0.197125,0.0,-145.30599751010269,0.0,0.15561206556949295
GO:0001403,invasive growth (sensu Saccharomyces),43,55,0.16884,0.0,-110.60721763370844,0.0,0.1240732704818793,0.15651500000000007,0.0,-93.80518904464607,0.0,0.11618469619168106
GO:0003700,transcription factor activity,60,181,0.153405,0.0,-94.90829690463937,0.0,0.1095610609919167,0.17824,0.0,-113.20466835288697,0.0,0.12273992769703829
GO:0004518,nuclease activity,140,151,0.18271500000000007,0.0,20.005362276947373,5.555455546300618e-89,0.12820630008600234,0.18051,0.0,0.2175193312659205,0.8278037728239335,0.11602540119409398
GO:0005085,guanyl-nucleotide exchange factor activity,38,59,0.20181000000000004,0.0,-140.69127199416974,0.0,0.16375446933785867,0.14908500000000002,0.0,-113.6743917895297,0.0,0.12766827999790994
GO:0006260,DNA replication,112,158,0.30484000000000006,0.0,-234.47334054070092,0.0,0.25593900252134755,0.25578999999999996,0.0,-191.90612547793603,0.0,0.20652231283623587
GO:0006281,DNA repair,185,314,0.18664999999999998,0.0,-121.74978842578116,0.0,0.13759156872494335,0.19407499999999994,0.0,-136.23527607771322,0.0,0.14812473300813367
GO:0006310,DNA recombination,109,254,0.152175,0.0,-83.6707641557957,0.0,0.10456632721931221,0.17588000000000004,0.0,-29.964521196884448,5.107649832593215e-197,0.09988528178937549
GO:0006325,establishment and/or maintenance of chromatin architecture,245,305,0.22952000000000006,0.0,-156.802277031378,0.0,0.17556192311133678,0.247705,0.0,-175.58946735515738,0.0,0.18825006861597768
GO:0006352,transcription initiation,56,87,0.36046999999999996,0.0,-275.41416204369426,0.0,0.2886909176562776,0.31323499999999993,0.0,-238.01297683556416,0.0,0.25120952937718943
GO:0006353,transcription termination,20,41,0.22999000000000003,0.0,-148.21398577392947,0.0,0.16838934074158368,0.3823,0.0,-311.8472617792921,0.0,0.313321234178349
GO:0006360,transcription from RNA polymerase I promoter,30,72,0.51958,0.0,-563.6556077446165,0.0,0.5505424817250576,0.40027999999999997,0.0,-346.2326577707059,0.0,0.3699610578358262
GO:0006364,rRNA processing,171,296,0.723905,0.0,-855.44900366024,0.0,0.9495905897438355,0.5888,0.0,-573.8082326802703,0.0,0.7216634680278957
GO:0006366,transcription from RNA polymerase II promoter,333,553,0.16175500000000004,0.0,-108.36168193479239,0.0,0.12362500575791123,0.16066000000000003,0.0,-109.59663367208435,0.0,0.1205521457108956
GO:0006383,transcription from RNA polymerase III promoter,39,46,0.3016,0.0,-250.8015982042546,0.0,0.34297045837724205,0.334825,0.0,-256.06324330416044,0.0,0.32161132747565724
GO:0006397,mRNA processing,149,210,0.25362,0.0,-184.87449051465447,0.0,0.20293253280301993,0.24847500000000006,0.0,-175.8797789631969,0.0,0.1895540808269314
GO:0006401,RNA catabolic process,69,166,0.26099,0.0,-175.66338764327605,0.0,0.23904983879583122,0.15569500000000003,0.0,-101.67186553128035,0.0,0.13306901888287395
GO:0006413,translational initiation,41,64,0.43074999999999997,0.0,-239.18857417608677,0.0,0.5006257935594535,0.265405,0.0,-161.02414068511885,0.0,0.3041743907092801
GO:0006414,translational elongation,20,48,0.447005,0.0,-266.95684379792186,0.0,0.5099510187221191,0.17686500000000005,0.0,-101.10551162733204,0.0,0.19790085986635955
GO:0006418,tRNA aminoacylation for protein translation,31,37,0.3496600000000001,0.0,-147.6218957750457,0.0,0.4194954300790257,0.367015,0.0,-155.03242720971534,0.0,0.4381406579143935
GO:0006457,protein folding,83,123,0.09632000000000002,0.0,-62.83424965830124,0.0,0.10337607826946582,0.12120999999999993,0.0,-70.14909044911495,0.0,0.11110200846706249
GO:0006468,protein amino acid phosphorylation,96,218,0.18894,0.0,-124.74394544646499,0.0,0.13952913221437258,0.14991500000000002,0.0,-94.44063336658469,0.0,0.10657005114097878
GO:0006470,protein amino acid dephosphorylation,28,55,0.14995000000000003,0.0,-93.35041915890746,0.0,0.11793879923855928,0.16040499999999996,0.0,-94.60254460640105,0.0,0.10873940468550923
GO:0006486,protein amino acid glycosylation,73,81,0.38277000000000005,0.0,-300.1436440629003,0.0,0.341188821373161,0.33244,0.0,-258.07782491941725,0.0,0.29570252228986155
GO:0006497,protein amino acid lipidation,46,49,0.22282500000000005,0.0,-157.26434701362223,0.0,0.18208794331334135,0.285535,0.0,-217.3921286979887,0.0,0.23596216399065628
GO:0006605,protein targeting,244,255,0.11477499999999996,0.0,-61.27733562303404,0.0,0.09645558338785493,0.15131000000000006,0.0,-97.33374167995939,0.0,0.11339039429139948
GO:0006629,lipid metabolic process,233,349,0.08426,0.0,-49.38186937910983,0.0,0.059177263755953474,0.10391,0.0,-67.88309204815872,0.0,0.07736325847656564
GO:0006766,vitamin metabolic process,87,62,0.09231499999999992,0.0,-45.192854218374976,0.0,0.0702859954020135,0.08836499999999997,0.0,-41.094264149721916,0.0,0.06047875876595039
GO:0006811,ion transport,108,340,0.075855,0.0,-40.15902875021855,0.0,0.051739634634042374,0.05367500000000003,7.666660992686372e-251,-23.41177534464237,3.9197120239862005e-121,0.03413264625587317
GO:0006865,amino acid transport,37,58,0.12009999999999998,0.0,-76.67022846866796,0.0,0.09420131723798797,0.13767499999999994,0.0,-92.19297998441847,0.0,0.10491719220560743
GO:0006869,lipid transport,34,78,0.053125000000000006,9.847529391601176e-246,-12.279927056259927,1.1782171530170816e-34,0.038667923999969434,0.09010500000000005,0.0,-50.89440794285428,0.0,0.06147400400685251
GO:0006873,cell ion homeostasis,110,167,0.08850999999999998,0.0,-53.10815355645816,0.0,0.06334323393375547,0.08249999999999996,0.0,-49.25382962774136,0.0,0.056207124020356374
GO:0006887,exocytosis,45,55,0.23591999999999996,0.0,-167.3394040660087,0.0,0.18504039481840165,0.2696200000000001,0.0,-195.61210494739322,0.0,0.20744689456871013
