Gene,Original Label,Modern Label,Confidence,Background Confidence,AG Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,ST Diff,SPELL Diff,MEFIT Diff,bioPIXIE Diff
YNL100W,0,1,5.391108916882804,3.3017072923210926,1,4288,88.0,219,305,-4287,-87.0,-218,-304
YKL133C,0,-1,5.38360991699253,3.7329633231720916,2,5437,2625.0,3542,2608,-5435,-2623.0,-3540,-2606
YHR038W,0,-1,5.243634467174907,3.434512421031515,3,5159,204.0,176,196,-5156,-201.0,-173,-193
YJL163C,0,-1,5.22584803036587,3.9948403414474094,4,4331,4004.0,5349,4501,-4327,-4000.0,-5345,-4497
YDR493W,0,1,5.168410922863527,3.5197296000971368,5,4578,343.0,256,274,-4573,-338.0,-251,-269
YKR076W,0,-1,5.155937174837033,3.5430704610021526,6,740,3479.0,4306,1994,-734,-3473.0,-4300,-1988
YGR127W,0,-1,5.155158297922797,3.7481794178678296,7,5894,2763.0,4535,3147,-5887,-2756.0,-4528,-3140
YGR053C,0,-1,5.117959576987935,3.771058665213492,8,5934,4581.0,3536,2367,-5926,-4573.0,-3528,-2359
YJR080C,0,1,4.997445360004545,3.435045681340049,9,5066,4.0,43,84,-5057,5.0,-34,-75
YMR157C,0,-1,4.993072716396547,3.4735584644203206,10,5303,2.0,24,105,-5293,8.0,-14,-95
YBR062C,0,-1,4.927833743081122,3.5125063062425452,11,5016,1636.0,667,704,-5005,-1625.0,-656,-693
YKR016W,0,1,4.8377890612840835,3.758115476268184,12,5496,40.0,90,90,-5484,-28.0,-78,-78
YBR262C,0,1,4.80277602503935,3.3044972907671775,13,5065,239.0,307,614,-5052,-226.0,-294,-601
YHR087W,0,-1,4.70416510586967,3.332834973782073,14,262,4435.0,3533,2634,-248,-4421.0,-3519,-2620
YBR269C,0,1,4.649871325599933,3.0936971201437236,15,5467,627.0,1149,855,-5452,-612.0,-1134,-840
YOL053W,0,-1,4.646050522048138,2.9118119422378106,16,4957,180.0,493,1352,-4941,-164.0,-477,-1336
YOL048C,0,-1,4.6401429101155545,3.040021060426785,17,5218,2480.0,3383,4439,-5201,-2463.0,-3366,-4422
YJL131C,0,-1,4.632497636768632,3.3631914973181494,18,5601,350.0,314,191,-5583,-332.0,-296,-173
YML050W,0,-1,4.5943664911978255,3.032504175152049,19,4627,465.0,348,1439,-4608,-446.0,-329,-1420
YGR149W,0,-1,4.528438061475754,3.2929066499610085,20,5012,2469.0,5218,5480,-4992,-2449.0,-5198,-5460
YOL143C,0,-1,4.498563846428238,3.2927881866128925,21,990,2053.0,771,645,-969,-2032.0,-750,-624
YNL200C,0,-1,4.490190190447127,2.8999436438716173,22,5380,2298.0,3110,1698,-5358,-2276.0,-3088,-1676
YLR218C,0,1,4.426947306551619,3.109870815384489,23,4901,314.0,579,2318,-4878,-291.0,-556,-2295
YJL161W,0,-1,4.414984817945672,2.8419662372590486,24,4499,3369.0,1923,1087,-4475,-3345.0,-1899,-1063
YHR071W,0,-1,4.4082172170370635,3.642142503924015,25,1115,4115.0,4006,4127,-1090,-4090.0,-3981,-4102
YCR076C,0,-1,4.39246211096109,2.844025016990622,26,4405,711.0,1975,4018,-4379,-685.0,-1949,-3992
YLR168C,0,1,4.331104640988354,3.0056700670753185,27,5428,238.0,292,553,-5401,-211.0,-265,-526
YOR042W,0,-1,4.320979523310761,2.876442208730238,28,4282,156.0,944,1637,-4254,-128.0,-916,-1609
YDL027C,0,-1,4.301552047272642,2.572852179035926,29,4525,1110.0,555,292,-4496,-1081.0,-526,-263
YMR196W,0,-1,4.277800666804085,3.022406432522982,30,4560,3597.0,3248,1853,-4530,-3567.0,-3218,-1823
YOL081W,0,-1,4.261706133378659,3.371228951981759,31,1463,2790.0,1885,1255,-1432,-2759.0,-1854,-1224
YJR085C,0,-1,4.256730155294348,2.7290230879602664,32,5701,2080.0,1967,1594,-5669,-2048.0,-1935,-1562
YGR243W,0,-1,4.251150164775506,2.7062417322441434,33,4626,3343.0,371,109,-4593,-3310.0,-338,-76
YBL015W,0,-1,4.250627065947402,3.2337750988023943,34,331,2591.0,1343,600,-297,-2557.0,-1309,-566
YPL250C,0,1,4.249262939803971,3.5127929101078594,35,6024,4393.0,4151,4128,-5989,-4358.0,-4116,-4093
YGR236C,0,-1,4.217000469119249,3.1752998005386672,36,4253,5367.0,4776,3834,-4217,-5331.0,-4740,-3798
YJR074W,0,-1,4.189136202731532,3.331349775025877,37,644,950.0,2741,5334,-607,-913.0,-2704,-5297
YHL048W,0,-1,4.1771099603104735,2.975958621462485,38,843,2671.0,3617,2370,-805,-2633.0,-3579,-2332
YBL033C,0,-1,4.160433467856781,3.051402442816148,39,875,989.0,1698,2022,-836,-950.0,-1659,-1983
YGR136W,0,-1,4.146339325680437,3.198633118785671,40,5869,2253.0,3157,2148,-5829,-2213.0,-3117,-2108
YGL143C,0,-1,4.115990155069771,2.670256431126555,41,5733,258.0,158,121,-5692,-217.0,-117,-80
YGR043C,0,-1,4.108957252950368,3.129197086550503,42,4666,4891.0,5543,4910,-4624,-4849.0,-5501,-4868
YPL219W,0,-1,4.083960978035441,2.849620710837693,43,778,2381.0,4490,3144,-735,-2338.0,-4447,-3101
YDL199C,0,-1,4.075831498939566,2.6205487984740343,44,4739,4693.0,1264,1284,-4695,-4649.0,-1220,-1240
YBR147W,0,-1,4.064552584361887,2.9482080898264487,45,5109,5205.0,4323,2989,-5064,-5160.0,-4278,-2944
YPR158W,0,-1,4.054384159381518,3.223662275364359,46,5809,3578.0,1734,1238,-5763,-3532.0,-1688,-1192
YNL155W,0,-1,4.037673078165083,2.8362567099560647,47,6006,1684.0,1637,2117,-5959,-1637.0,-1590,-2070
YKL187C,0,-1,4.034109486791188,2.8864125881659706,48,5979,4316.0,4612,2997,-5931,-4268.0,-4564,-2949
YLR312C,0,-1,4.008380904057604,2.5889544979492287,49,5629,4932.0,4906,2078,-5580,-4883.0,-4857,-2029
YHR097C,0,-1,3.976537215183238,2.8906732461946465,50,5263,4634.0,4356,2380,-5213,-4584.0,-4306,-2330
YKR091W,0,-1,3.9564499337516144,3.052335889764229,51,949,3802.0,1757,1302,-898,-3751.0,-1706,-1251
YGR141W,0,-1,3.9549070322094204,3.0399547115624324,52,934,1242.0,3419,3931,-882,-1190.0,-3367,-3879
YOL073C,0,-1,3.9546683091603354,2.954323285747989,53,5702,1468.0,3895,2972,-5649,-1415.0,-3842,-2919
YER037W,0,-1,3.9435391761585623,2.987848865480803,54,4344,5105.0,3947,2163,-4290,-5051.0,-3893,-2109
YAL034C,0,-1,3.925568689843138,2.888802209782341,55,5853,3240.0,4366,3427,-5798,-3185.0,-4311,-3372
YFR011C,0,1,3.9072857193961115,2.630982571364369,56,4871,229.0,338,674,-4815,-173.0,-282,-618
YIL165C,0,1,3.8962507788649576,3.0074555547695203,57,5138,4405.0,4630,2838,-5081,-4348.0,-4573,-2781
YBL059W,0,-1,3.892765935131176,2.8954475877515686,58,4546,396.0,293,325,-4488,-338.0,-235,-267
YNL234W,0,-1,3.87955914428848,3.4997611091320744,59,3356,4407.0,5092,3190,-3297,-4348.0,-5033,-3131
YLR253W,0,1,3.873211174199503,2.7899140804265223,60,5620,99.0,66,188,-5560,-39.0,-6,-128
YNL215W,0,-1,3.8347193151712418,2.6139935131105054,61,5602,949.0,3333,5197,-5541,-888.0,-3272,-5136
YMR031C,0,-1,3.8334836625678097,2.4474208048086625,62,4845,451.0,1314,1741,-4783,-389.0,-1252,-1679
YFL030W,0,-1,3.816878415175719,2.5408609531530226,63,808,2422.0,1379,1192,-745,-2359.0,-1316,-1129
YDR319C,0,-1,3.8105807791793063,2.755106792464202,64,4369,1281.0,3298,4795,-4305,-1217.0,-3234,-4731
YOR185C,0,-1,3.7933078945396903,2.9309359668927732,65,568,2757.0,3645,2804,-503,-2692.0,-3580,-2739
YPR109W,0,-1,3.793188321911646,3.046716123871744,66,5925,115.0,583,3327,-5859,-49.0,-517,-3261
YGR110W,0,-1,3.792239249444115,2.38676105379173,67,5819,2486.0,3650,3791,-5752,-2419.0,-3583,-3724
YER134C,0,-1,3.784895114377587,2.685084381362089,68,5217,886.0,1259,2015,-5149,-818.0,-1191,-1947
YGL057C,0,-1,3.771125113357327,2.6819060233871252,69,6004,251.0,717,1123,-5935,-182.0,-648,-1054
YJR100C,0,1,3.766915962992314,2.546967374456191,70,4672,25.0,309,1476,-4602,45.0,-239,-1406
YIL098C,1,1,3.760873380691527,2.169166761429195,71,4703,86.0,173,212,-4632,-15.0,-102,-141
YAL027W,0,-1,3.7604241165036925,2.665586924208014,72,5537,1420.0,1586,3333,-5465,-1348.0,-1514,-3261
YHR147C,-1,-1,3.7592083693978315,2.303979269506717,73,5211,20.0,116,988,-5138,53.0,-43,-915
