Gene,Original Label,Modern Label,Mito Localized,Confidence,Background Confidence,AG Rank,CellCompOutput Rank,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank
YJL066C,0,0,1,8.9050195431281,8.53781369348834,1,222,5570,383.0,404,281
YIL098C,1,1,1,7.890735817526629,7.437099885294345,2,71,4703,86.0,173,212
YLL001W,1,1,1,7.785222577477644,7.561318893767922,3,307,390,227.0,53,13
YJL166W,-1,-1,1,7.7074917419228015,7.9345849547492815,4,145,1993,1485.0,799,1163
YIL051C,1,-1,1,7.700911706079266,7.6029326523837035,5,536,27,2731.0,1127,1331
YNL121C,1,1,1,7.649386026902113,6.646991980542415,6,330,29,26.0,10,76
YGL068W,-1,-1,1,7.601919927282961,6.949578347553056,7,461,6069,168.0,121,127
YDR231C,1,1,1,7.588541430627514,6.834443049032278,8,242,5126,541.0,724,559
YLR259C,1,1,1,7.531406467546246,7.273571372261642,9,937,4411,585.0,264,162
YOR045W,1,1,1,7.521628775282534,7.12997483114138,10,328,4596,1803.0,132,66
YNL315C,1,1,1,7.495668998735393,7.41757898450666,11,79,5252,10.0,20,130
YLR193C,1,-1,1,7.455927836680841,6.70933607959353,12,551,6041,378.0,452,396
YOR187W,-1,-1,1,7.450692483764922,7.649557790079968,13,154,5508,21.0,79,252
YDR258C,1,1,1,7.428796374155376,6.983524913291664,14,679,64,3311.0,1889,938
YGR028W,1,1,1,7.415294266746428,6.5845175521381885,15,377,6071,556.0,310,228
YGR082W,1,1,1,7.396322558026114,6.598594068588408,16,627,4788,728.0,8,18
YDR337W,-1,-1,1,7.348571590320793,7.113734568784845,17,76,5156,49.0,126,119
YGR132C,1,1,1,7.337595364290797,6.992980868499826,18,438,5443,29.0,12,45
YBR269C,0,1,1,7.315417825818776,5.792121235241688,19,15,5467,627.0,1149,855
YJL063C,1,-1,1,7.295119115692413,6.817491273815836,20,133,37,171.0,115,290
YPR100W,-1,1,1,7.2926047148104916,6.889784432478797,21,144,5425,83.0,171,146
YNL100W,0,1,1,7.281514748841703,7.174634113659273,22,1,4288,88.0,219,305
YBR282W,-1,-1,1,7.279906589827852,6.643005669263839,23,168,4928,281.0,118,128
YOR158W,-1,-1,1,7.278742015004872,6.4292432109742705,24,129,5222,31.0,72,131
YBR185C,1,1,1,7.262758430606592,7.18955155072834,25,130,16,19.0,36,82
YKL085W,-1,-1,1,7.212017017924143,7.797601740996527,26,241,1160,438.0,634,574
YOR215C,0,0,1,7.210022955597519,6.63546205236604,27,325,4473,640.0,549,370
YER053C,-1,-1,1,7.198904689914452,7.271685859463809,28,223,87,2941.0,2118,1368
YBR120C,-1,1,1,7.198589423459447,7.166112758484729,29,97,5174,316.0,221,235
YLR356W,0,1,1,7.189747534826129,7.007193427185519,30,504,5097,2068.0,838,322
YJL096W,-1,-1,1,7.173798441173072,6.930419035826423,31,175,5235,28.0,32,115
YBL038W,-1,-1,1,7.138841606185822,6.800747069989849,32,162,4501,11.0,41,60
YDL142C,1,1,1,7.118165689314197,5.807762373484518,33,1183,69,781.0,1376,1232
