Go Term,Name,2007 Genes,2022 Genes,KS Statistic,KS P-Value
GO:0006605,protein targeting,244,255,0.0653,5.889343713569345e-19
GO:0008033,tRNA processing,31,136,0.0782,5.212875919599818e-27
GO:0008380,RNA splicing,121,146,0.0595,8.271892217121402e-16
GO:0042273,ribosomal large subunit biogenesis and assembly,64,129,0.1231,2.11750643807456e-66
GO:0006414,translational elongation,20,48,0.298,1e-323
GO:0042594,response to starvation,19,90,0.1006,1.8907611080918637e-44
GO:0006353,transcription termination,20,41,0.1586,3.996236777046849e-110
GO:0051049,regulation of transport,10,102,0.2958,1e-323
GO:0006887,exocytosis,45,55,0.025,0.0038596010962783566
GO:0008135,"translation factor activity, nucleic acid binding",45,57,0.1032,9.278909710743305e-47
GO:0000910,cytokinesis,106,109,0.0445,4.994629616943177e-09
GO:0051726,regulation of cell cycle,165,298,0.0338,2.1816203846959704e-05
GO:0042255,ribosome assembly,62,80,0.0691,3.538335430928925e-21
GO:0045333,cellular respiration,80,107,0.1173,2.572814252127888e-60
GO:0006629,lipid metabolic process,233,349,0.0335,2.6698813920069608e-05
GO:0006970,response to osmotic stress,73,69,0.0364,3.5141343397984066e-06
GO:0006383,transcription from RNA polymerase III promoter,39,46,0.0665,1.208437598903541e-19
GO:0006366,transcription from RNA polymerase II promoter,333,553,0.05,2.7522193691639167e-11
GO:0006497,protein amino acid lipidation,46,49,0.0393,3.90843657285403e-07
GO:0051321,meiotic cell cycle,144,330,0.0496,4.100535218416419e-11
GO:0016570,histone modification,88,139,0.0963,9.235219819092776e-41
GO:0032787,monocarboxylic acid metabolic process,124,168,0.0478,2.3703390753039754e-10
GO:0000054,ribosome export from nucleus,25,54,0.1281,6.956540769830762e-72
GO:0006310,DNA recombination,109,254,0.2223,7.797366240239085e-217
GO:0006486,protein amino acid glycosylation,73,81,0.1044,7.615985304848878e-48
GO:0048308,organelle inheritance,41,57,0.0588,1.895162290674394e-15
GO:0051603,proteolysis involved in cellular protein catabolic process,148,270,0.1382,1.236507036415844e-83
GO:0007124,pseudohyphal growth,65,77,0.016,0.15454104632436025
GO:0032200,telomere organization and biogenesis,274,137,0.1315,9.718063814704159e-76
GO:0007031,peroxisome organization and biogenesis,40,53,0.1336,3.5944320484723584e-78
GO:0008643,carbohydrate transport,33,48,0.1042,1.157619770243162e-47
GO:0006397,mRNA processing,149,210,0.0617,5.731113844788313e-17
GO:0006401,RNA catabolic process,69,166,0.1407,1.1075676450752907e-86
GO:0008213,protein amino acid alkylation,22,60,0.2944,1e-323
GO:0048284,organelle fusion,22,113,0.0623,2.7209788942117734e-17
GO:0006457,protein folding,83,123,0.0303,0.0002057808252916309
GO:0048193,Golgi vesicle transport,161,210,0.0619,4.4745548760346034e-17
GO:0006811,ion transport,108,340,0.1032,9.278909710743305e-47
GO:0006766,vitamin metabolic process,87,62,0.0942,5.105500188303281e-39
