Term,Name,Genes,Mean,Std
GO:0000054,ribosome export from nucleus,25,0.734,inf
GO:0000278,mitotic cell cycle,248,0.1761,0.2056
GO:0000747,conjugation with cellular fusion,114,0.1313,0.236
GO:0000902,cell morphogenesis,259,0.1223,0.2361
GO:0000910,cytokinesis,106,0.1685,0.2491
GO:0001403,invasive growth (sensu Saccharomyces),43,0.1635,0.2328
GO:0003700,transcription factor activity,60,0.1552,0.2161
GO:0004518,nuclease activity,140,0.0923,0.2139
GO:0005085,guanyl-nucleotide exchange factor activity,38,0.1962,0.2485
GO:0006260,DNA replication,112,0.2487,0.2306
GO:0006281,DNA repair,185,0.1674,0.2074
GO:0006310,DNA recombination,109,0.1414,0.2009
GO:0006325,establishment and/or maintenance of chromatin architecture,245,0.1895,0.2126
GO:0006352,transcription initiation,56,0.2546,0.1876
GO:0006353,transcription termination,20,0.183,0.191
GO:0006360,transcription from RNA polymerase I promoter,30,0.5483,0.4377
GO:0006364,rRNA processing,171,0.93,inf
GO:0006366,transcription from RNA polymerase II promoter,333,0.1588,0.2126
GO:0006383,transcription from RNA polymerase III promoter,39,0.37,0.4153
GO:0006397,mRNA processing,149,0.2058,0.2034
GO:0006401,RNA catabolic process,69,0.24,0.368
GO:0006413,translational initiation,41,0.4827,0.537
GO:0006414,translational elongation,20,0.5103,0.601
GO:0006418,tRNA aminoacylation for protein translation,31,0.4302,0.5635
GO:0006457,protein folding,83,0.1619,0.353
GO:0006468,protein amino acid phosphorylation,96,0.1759,0.2297
GO:0006470,protein amino acid dephosphorylation,28,0.1493,0.2798
GO:0006486,protein amino acid glycosylation,73,0.3171,0.2776
GO:0006497,protein amino acid lipidation,46,0.1996,0.252
GO:0006605,protein targeting,244,0.136,0.3047
GO:0006629,lipid metabolic process,233,0.1237,0.2487
GO:0006766,vitamin metabolic process,87,0.12384,0.2917
GO:0006811,ion transport,108,0.1311,0.2817
GO:0006865,amino acid transport,37,0.1543,0.2556
GO:0006869,lipid transport,34,0.0952,0.2174
GO:0006873,cell ion homeostasis,110,0.1299,0.2244
GO:0006887,exocytosis,45,0.1979,0.211
GO:0006897,endocytosis,84,0.2041,0.2644
GO:0006970,response to osmotic stress,73,0.146,0.2544
GO:0006979,response to oxidative stress,67,0.1626,0.3796
GO:0006997,nuclear organization and biogenesis,56,0.2595,0.2471
GO:0007005,mitochondrion organization and biogenesis,106,0.1443,0.2362
GO:0007010,cytoskeleton organization and biogenesis,227,0.157,0.2268
GO:0007031,peroxisome organization and biogenesis,40,0.24,0.2032
GO:0007033,vacuole organization and biogenesis,69,0.1455,0.2443
GO:0007059,chromosome segregation,117,0.1956,0.1979
GO:0007114,cell budding,82,0.1744,0.227
GO:0007124,pseudohyphal growth,65,0.11725,0.2341
GO:0008033,tRNA processing,31,0.2074,0.2944
GO:0008135,"translation factor activity, nucleic acid binding",45,0.5005,0.5034
GO:0008213,protein amino acid alkylation,22,0.2808,0.248
GO:0008380,RNA splicing,121,0.2006,0.2024
GO:0008643,carbohydrate transport,33,0.1783,0.325
GO:0009408,response to heat,22,0.255,0.247
GO:0009451,RNA modification,65,0.587,0.4924
GO:0010324,membrane invagination,84,0.2041,0.2646
GO:0015931,"nucleobase, nucleoside, nucleotide and nucleic acid transport",87,0.2277,0.2593
GO:0016050,vesicle organization and biogenesis,15,0.1758,0.236
GO:0016197,endosome transport,46,0.3013,0.2358
GO:0016570,histone modification,88,0.197,0.2103
GO:0018193,peptidyl-amino acid modification,27,0.3362,0.355
GO:0032196,transposition,109,0.03867,0.0923
GO:0032200,telomere organization and biogenesis,274,0.1102,0.2822
GO:0032787,monocarboxylic acid metabolic process,124,0.1301,0.32
GO:0042221,response to chemical stimulus,371,0.0889,0.2382
GO:0042255,ribosome assembly,62,0.876,inf
GO:0042273,ribosomal large subunit biogenesis and assembly,64,1.03,inf
GO:0042274,ribosomal small subunit biogenesis and assembly,22,0.8384,inf
GO:0042594,response to starvation,19,0.2278,0.4304
GO:0043543,protein amino acid acylation,62,0.1454,0.2283
GO:0045333,cellular respiration,80,0.3577,0.3772
GO:0048193,Golgi vesicle transport,161,0.2178,0.2195
GO:0048284,organelle fusion,22,0.174,0.2399
GO:0048308,organelle inheritance,41,0.197,0.2642
GO:0051049,regulation of transport,10,0.2163,0.1576
GO:0051052,regulation of DNA metabolic process,31,0.1895,0.2563
GO:0051321,meiotic cell cycle,144,0.12427,0.1973
GO:0051603,proteolysis involved in cellular protein catabolic process,148,0.3088,0.312
GO:0051726,regulation of cell cycle,165,0.1533,0.198
