Gene,Original Label,Modern Label,Mito Localized,Confidence,Background Confidence,AG bioProcOnly Rank,AG AllTerm Rank,AG Local,AG bioPIXIE,ST Rank,SPELL Rank,MEFIT Rank,bioPIXIE Rank,,
YLL001W,1,1,1,4.910542456,3.680911339,630,307,3,1,390,227,53,13,,0.879981208
YNL121C,1,1,1,4.770281605,2.749203085,723,330,6,2,29,26,10,76,,0.192136111
YIL098C,1,1,1,5.642189639,3.927404672,289,71,2,3,4703,86,173,212,,
YJL066C,0,0,1,5.001155397,3.462587384,578,222,1,4,5570,383,404,281,,
YNL315C,1,1,1,6.510791445,5.403156532,101,79,11,5,5252,10,20,130,,
YOR045W,1,1,1,5.364600614,3.715965255,393,328,10,6,4596,1803,132,66,,
YGL068W,-1,-1,1,7.724479602,7.767675824,21,461,7,7,6069,168,121,127,,
YLR259C,1,1,1,7.705288178,7.941425096,23,937,9,8,4411,585,264,162,,
YKR085C,-1,-1,1,4.549664187,2.888262858,902,421,45,9,18,60,65,266,,
YDR337W,-1,-1,1,5.411887715,4.031316297,366,76,17,10,5156,49,126,119,,
YGR174C,1,1,1,4.470892513,2.517167663,984,463,69,11,4931,207,450,622,,
YCR003W,-1,-1,1,5.348905895,3.988551278,402,110,40,12,4831,119,81,88,,
YOR158W,-1,-1,1,4.119510793,2.249417367,1324,129,24,13,5222,31,72,131,,
YOR187W,-1,-1,1,5.647468488,4.581457833,285,154,13,14,5508,21,79,252,,
YIL062C,1,1,1,4.232729635,1.838739041,1211,576,196,15,60,598,51,10,,
YBR282W,-1,-1,1,4.133973563,2.395598786,1301,168,23,16,4928,281,118,128,,
YGR028W,1,1,1,4.625348933,2.58178712,832,377,15,17,6071,556,310,228,,
YJL166W,-1,-1,1,4.617668334,3.576776888,837,145,4,18,1993,1485,799,1163,,
YPL118W,-1,-1,1,4.482102516,1.983902394,969,182,73,19,5944,1,31,137,,
YBR185C,1,1,1,5.666200727,4.678726144,276,130,25,20,16,19,36,82,,
YDR529C,1,1,1,3.935517203,2.331287881,1498,326,46,21,4427,1729,1267,936,,
YLR356W,0,1,1,4.074609297,3.445751964,1367,504,30,22,5097,2068,838,322,,
YBL038W,-1,-1,1,5.021939034,3.479718981,563,162,32,23,4501,11,41,60,,
YDR178W,-1,-1,1,3.486398861,1.173998826,1871,442,118,24,91,1092,873,633,,
YER053C,-1,-1,1,4.694636166,3.304902587,774,223,28,25,87,2941,2118,1368,,
YBL090W,-1,-1,1,4.989230173,4.111531536,587,135,71,26,5820,150,39,75,,
YDR231C,1,1,1,5.104586278,3.476356605,523,242,8,27,5126,541,724,559,,
YBR120C,-1,1,1,5.304258749,4.373882428,418,97,29,28,5174,316,221,235,,
YMR024W,-1,-1,1,3.976720669,2.156752707,1461,470,109,29,5114,3,7,110,,
YJR077C,-1,-1,1,4.90046809,4.557579011,639,371,41,30,239,807,598,425,,
YNL100W,0,1,1,4.799668405,3.548077136,710,1,22,31,4288,88,219,305,,
YGR231C,1,1,1,4.75711946,3.355093468,731,278,49,32,5278,17,13,42,,
YGR132C,1,1,1,4.408562581,2.79023856,1043,438,18,33,5443,29,12,45,,
YNL081C,-1,-1,1,4.064408913,2.36296456,1379,249,84,34,4398,23,83,117,,
YLR312W-A,-1,-1,1,4.571405379,3.204163785,882,220,87,35,5111,2376,231,89,,
YGR243W,0,-1,1,3.757565467,3.03996893,1650,33,58,36,4626,3343,371,109,,
YBR122C,-1,-1,1,4.123776656,2.071182344,1314,233,80,37,5062,44,135,138,,
YOR136W,-1,-1,1,2.972908046,1.334359072,2369,604,157,38,133,696,364,141,,
YOR215C,0,0,1,4.433738064,2.507571407,1029,325,27,39,4473,640,549,370,,
YKL013C,1,-1,-1,4.118913905,1.571979662,1326,503,234,40,160,780,54,11,,
YDR296W,1,1,1,4.834070099,2.891589284,683,350,96,41,382,85,172,204,,
YJR113C,-1,-1,1,4.014374903,2.678579534,1432,323,123,42,5345,288,175,114,,
YGR082W,1,1,1,7.41472564,6.633832891,34,627,16,43,4788,728,8,18,,
YPR155C,-1,-1,1,4.354613887,2.95846979,1115,159,72,44,6097,202,280,215,,
YNL252C,-1,-1,1,5.157537955,3.873487819,495,116,76,45,5801,51,124,134,,
YMR307W,0,-1,1,2.915837233,1.701488831,2448,3398,67,46,1414,4963,2889,1452,,
YHR024C,1,1,1,3.713769804,2.248091766,1686,651,94,47,5407,113,180,159,,
YML009C,-1,-1,1,5.294626355,4.741454296,425,204,56,48,4841,287,138,104,,
YLR295C,-1,1,1,4.240450653,1.909093769,1201,363,65,49,4892,240,442,1120,,
YBR037C,-1,1,1,4.809827653,4.017421103,702,257,60,50,5288,95,197,227,,
YDL142C,1,1,1,6.891413209,5.303357088,67,1183,33,51,69,781,1376,1232,,
YIL051C,1,-1,1,4.894982662,4.256841048,643,536,5,52,27,2731,1127,1331,,
YGL187C,-1,-1,1,3.652313997,2.194035058,1718,435,63,53,2538,450,758,1051,,
YDR258C,1,1,1,4.753997493,3.288939592,734,679,14,54,64,3311,1889,938,,
YLL006W,1,1,1,2.905089538,1.392760201,2457,1557,50,55,2587,2212,150,19,,
YJL161W,0,0,1,4.176642926,2.700724268,1266,24,43,56,4499,3369,1923,1087,,
YKL085W,-1,-1,1,4.654092083,4.383543447,806,241,26,57,1160,438,634,574,,
YML120C,-1,-1,1,4.594984614,3.915716865,859,289,100,58,5757,503,816,575,,
YPL078C,-1,-1,1,4.746045682,3.934912122,740,329,48,59,4559,89,258,461,,
YDR493W,0,1,1,5.076267569,4.787850407,537,5,142,60,4578,343,256,274,,
YJL102W,-1,1,1,3.836340103,2.067426936,1578,348,127,61,235,335,545,495,,
YGR084C,-1,-1,1,6.304343354,6.338514224,133,691,38,62,4401,98,78,103,,
YDR204W,0,0,1,3.740217643,2.561647684,1663,346,88,63,311,878,1392,820,,
YKL016C,-1,-1,1,4.389289583,3.834266985,1067,305,64,64,4866,178,351,501,,
YMR267W,-1,-1,1,6.912793411,7.078523392,63,385,52,65,4609,14,35,92,,
YHR008C,0,-1,1,6.822310321,6.690806541,74,217,42,66,714,2851,1031,507,,
YHR038W,0,-1,1,4.01895557,2.462080761,1428,3,120,67,5159,204,176,196,,
YHL021C,0,1,1,3.260442821,0.495201509,2098,512,150,68,5736,3418,788,309,,
YBR268W,-1,-1,1,3.903538275,2.950988509,1528,755,59,69,4729,464,162,140,,
YNL122C,0,-1,1,6.660171397,6.431756276,88,617,54,70,4456,82,131,100,,
YKL195W,1,1,1,4.648002291,3.69055471,813,495,95,71,4791,84,23,86,,
YKL138C,-1,-1,1,6.543791646,6.888940916,98,388,61,72,6036,61,70,124,,
YDR175C,-1,-1,1,4.661303948,3.475055732,799,298,79,73,4797,57,130,126,,
YGR046W,1,-1,1,3.307371618,1.718313323,2054,700,119,74,5100,2268,949,460,,
YDR511W,0,1,1,3.692045324,1.476236245,1702,304,171,75,115,452,434,708,,
YKL029C,0,0,1,4.765200177,3.323150637,725,4635,57,76,90,4853,344,236,,
YLR193C,1,-1,1,6.505958005,6.039527824,102,551,12,77,6041,378,452,396,,
YIL087C,0,0,1,3.320274845,1.331803309,2041,396,176,78,5481,1944,1431,679,,
YCR046C,-1,-1,1,6.573369,7.007503526,93,972,68,79,4688,106,14,39,,
YPR011C,0,-1,1,3.481879379,2.304988988,1875,489,207,80,106,127,354,451,,
YJL063C,1,-1,1,6.131700327,4.367007133,158,133,20,81,37,171,115,290,,
YJR051W,0,-1,1,2.252062258,1.15657081,3447,1398,138,82,640,159,824,1124,,
YBR251W,-1,-1,1,3.425633024,1.66597006,1932,457,188,83,5991,63,76,154,,
YPR191W,-1,-1,1,2.953465479,1.926557043,2403,560,231,84,94,373,1016,1024,,
YNL284C,-1,-1,1,3.88267695,2.065622748,1544,538,149,85,6061,8,11,58,,
YNL185C,-1,-1,1,6.789408611,6.943402275,75,530,37,86,5332,167,37,74,,
YDL027C,0,0,1,4.265552633,2.514237573,1182,29,103,87,4525,1110,555,292,,
YKR065C,1,1,1,3.47243088,1.577468401,1882,645,201,88,6023,66,88,96,,
YIL022W,1,1,1,6.237009314,6.301671786,142,900,44,89,4880,193,278,222,,
YNL005C,-1,1,1,4.503959265,3.655056431,953,317,110,90,5574,36,77,118,,
YMR072W,1,1,1,4.029611383,2.942592827,1421,638,89,91,66,601,275,163,,
YBR179C,1,1,1,3.892060592,3.254871671,1535,916,140,92,28,1801,50,15,,
YBL045C,-1,1,1,3.383367693,1.960712316,1973,444,179,93,199,286,504,424,,
YJR121W,-1,-1,1,4.584063968,3.778234581,871,293,104,94,4623,279,499,439,,
YMR157C,0,0,1,4.834542493,4.000727883,682,10,155,95,5303,2,24,105,,
