Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YIL042C,YDR511W,1,9.583938,1.0,1026.0,9973.0,0.0,0.9067272543907166,1.0,0.0009737098589539528,0.0,1.0
YML091C,YBR262C,1,9.163659,2.0,1025.0,9973.0,0.0,0.9068182110786438,1.0,0.0019474197179079056,0.0,1.0
YBR037C,YGR174C,1,9.014995,3.0,1024.0,9973.0,0.0,0.9069091081619263,1.0,0.0029211295768618584,0.0,1.0
YDR493W,YKL065C,0,8.764538,3.0,1024.0,9972.0,1.0,0.9068182110786438,0.75,0.0029211295768618584,0.00010027072858065367,0.9998997449874878
YBR185C,YHL021C,1,8.68604,4.0,1023.0,9972.0,1.0,0.9069091081619263,0.800000011920929,0.003894839435815811,0.00010027072858065367,0.9998997449874878
YGR112W,YLL009C,1,8.61464,5.0,1022.0,9972.0,1.0,0.9070000052452087,0.8333333134651184,0.004868549294769764,0.00010027072858065367,0.9998997449874878
YKL195W,YDR231C,1,8.538262,6.0,1021.0,9972.0,1.0,0.9070909023284912,0.8571428656578064,0.005842259153723717,0.00010027072858065367,0.9998997449874878
YIL042C,YNL315C,1,8.533041,7.0,1020.0,9972.0,1.0,0.9071817994117737,0.875,0.0068159690126776695,0.00010027072858065367,0.9998997449874878
YDR322W,YBR024W,1,8.485587,8.0,1019.0,9972.0,1.0,0.9072727560997009,0.8888888955116272,0.007789678871631622,0.00010027072858065367,0.9998997449874878
YLL009C,YDL107W,1,8.377747,9.0,1018.0,9972.0,1.0,0.9073636531829834,0.8999999761581421,0.008763388730585575,0.00010027072858065367,0.9998997449874878
YPL215W,YDR493W,1,8.340817,10.0,1017.0,9972.0,1.0,0.9074545502662659,0.9090909361839294,0.009737098589539528,0.00010027072858065367,0.9998997449874878
YDR022C,YJR080C,1,8.337121,11.0,1016.0,9972.0,1.0,0.9075454473495483,0.9166666865348816,0.01071080844849348,0.00010027072858065367,0.9998997449874878
YKL134C,YDR512C,1,8.32931,12.0,1015.0,9972.0,1.0,0.9076363444328308,0.9230769276618958,0.011684518307447433,0.00010027072858065367,0.9998997449874878
YBL022C,YPR020W,1,8.323176,13.0,1014.0,9972.0,1.0,0.9077273011207581,0.9285714030265808,0.012658228166401386,0.00010027072858065367,0.9998997449874878
YLR203C,YEL020W-A,1,8.287967,14.0,1013.0,9972.0,1.0,0.9078181982040405,0.9333333373069763,0.013631938025355339,0.00010027072858065367,0.9998997449874878
YLR163C,YGR183C,1,8.280625,15.0,1012.0,9972.0,1.0,0.907909095287323,0.9375,0.014605647884309292,0.00010027072858065367,0.9998997449874878
YJL180C,YMR002W,1,8.254401,16.0,1011.0,9972.0,1.0,0.9079999923706055,0.9411764740943909,0.015579357743263245,0.00010027072858065367,0.9998997449874878
YOR266W,YBR120C,1,8.227606,17.0,1010.0,9972.0,1.0,0.9080908894538879,0.9444444179534912,0.016553066670894623,0.00010027072858065367,0.9998997449874878
YPR140W,YEL020W-A,1,8.208765,18.0,1009.0,9972.0,1.0,0.9081818461418152,0.9473684430122375,0.01752677746117115,0.00010027072858065367,0.9998997449874878
YIL098C,YIL157C,1,8.158905,19.0,1008.0,9972.0,1.0,0.9082727432250977,0.949999988079071,0.01850048638880253,0.00010027072858065367,0.9998997449874878
YEL020W-A,YML129C,1,8.120515,20.0,1007.0,9972.0,1.0,0.9083636403083801,0.9523809552192688,0.019474197179079056,0.00010027072858065367,0.9998997449874878
YDR322W,YML118W,0,8.074516,20.0,1007.0,9971.0,2.0,0.9082727432250977,0.9090909361839294,0.019474197179079056,0.00020054145716130733,0.9997994303703308
YIL065C,YJR080C,1,8.071779,21.0,1006.0,9971.0,2.0,0.9083636403083801,0.9130434989929199,0.020447906106710434,0.00020054145716130733,0.9997994303703308
YGL191W,YER058W,1,7.971397,22.0,1005.0,9971.0,2.0,0.9084545373916626,0.9166666865348816,0.02142161689698696,0.00020054145716130733,0.9997994303703308
YDR322C-A,YIL157C,1,7.9705815,23.0,1004.0,9971.0,2.0,0.9085454344749451,0.9200000166893005,0.02239532582461834,0.00020054145716130733,0.9997994303703308
YJL155C,YML009C,0,7.9672213,23.0,1004.0,9970.0,3.0,0.9084545373916626,0.8846153616905212,0.02239532582461834,0.000300812185741961,0.9996991753578186
YNL131W,YGR231C,1,7.9172115,24.0,1003.0,9970.0,3.0,0.9085454344749451,0.8888888955116272,0.023369036614894867,0.000300812185741961,0.9996991753578186
YKL067W,YNL083W,0,7.916567,24.0,1003.0,9969.0,4.0,0.9084545373916626,0.8571428656578064,0.023369036614894867,0.00040108291432261467,0.9995989203453064
YMR174C,YGR165W,0,7.8944774,24.0,1003.0,9968.0,5.0,0.9083636403083801,0.8275862336158752,0.023369036614894867,0.0005013536429032683,0.9994986653327942
YKL053C-A,YDR511W,1,7.8672695,25.0,1002.0,9968.0,5.0,0.9084545373916626,0.8333333134651184,0.024342745542526245,0.0005013536429032683,0.9994986653327942
YMR060C,YDR493W,1,7.8531694,26.0,1001.0,9968.0,5.0,0.9085454344749451,0.8387096524238586,0.025316456332802773,0.0005013536429032683,0.9994986653327942
YJR080C,YIL157C,1,7.8491797,27.0,1000.0,9968.0,5.0,0.9086363911628723,0.84375,0.02629016526043415,0.0005013536429032683,0.9994986653327942
YJL003W,YJR080C,1,7.8308096,28.0,999.0,9968.0,5.0,0.9087272882461548,0.8484848737716675,0.027263876050710678,0.0005013536429032683,0.9994986653327942
YBR037C,YNL242W,1,7.8307805,29.0,998.0,9968.0,5.0,0.9088181853294373,0.8529411554336548,0.028237584978342056,0.0005013536429032683,0.9994986653327942
YAR027W,YLR304C,0,7.7302,29.0,998.0,9967.0,6.0,0.9087272882461548,0.8285714387893677,0.028237584978342056,0.000601624371483922,0.9993983507156372
YGR174C,YDR511W,1,7.72591,30.0,997.0,9967.0,6.0,0.9088181853294373,0.8333333134651184,0.029211295768618584,0.000601624371483922,0.9993983507156372
YBR185C,YHR016C,0,7.70874,30.0,997.0,9966.0,7.0,0.9087272882461548,0.8108108043670654,0.029211295768618584,0.0007018951000645757,0.999298095703125
YBR170C,YML009C,0,7.6750565,30.0,997.0,9965.0,8.0,0.9086363911628723,0.7894737124443054,0.029211295768618584,0.0008021658286452293,0.9991978406906128
YIL136W,YJL063C,0,7.6332965,30.0,997.0,9964.0,9.0,0.9085454344749451,0.7692307829856873,0.029211295768618584,0.000902436557225883,0.9990975856781006
YCR024C,YPR100W,0,7.6082735,30.0,997.0,9963.0,10.0,0.9084545373916626,0.75,0.029211295768618584,0.0010027072858065367,0.9989972710609436
YHR194W,YEL020W-A,1,7.5625825,31.0,996.0,9963.0,10.0,0.9085454344749451,0.7560975551605225,0.030185004696249962,0.0010027072858065367,0.9989972710609436
YKL195W,YHR024C,1,7.514756,32.0,995.0,9963.0,10.0,0.9086363911628723,0.761904776096344,0.03115871548652649,0.0010027072858065367,0.9989972710609436
YNL185C,YOR132W,0,7.3746533,32.0,995.0,9962.0,11.0,0.9085454344749451,0.7441860437393188,0.03115871548652649,0.0011029780143871903,0.9988970160484314
YEL020W-A,YOL060C,1,7.3362074,33.0,994.0,9962.0,11.0,0.9086363911628723,0.75,0.03213242441415787,0.0011029780143871903,0.9988970160484314
YGR220C,YGR243W,0,7.3251495,33.0,994.0,9961.0,12.0,0.9085454344749451,0.7333333492279053,0.03213242441415787,0.001203248742967844,0.9987967610359192
YIL042C,YBR262C,1,7.3038096,34.0,993.0,9961.0,12.0,0.9086363911628723,0.739130437374115,0.033106133341789246,0.001203248742967844,0.9987967610359192
YKR016W,YHR116W,1,7.3017845,35.0,992.0,9961.0,12.0,0.9087272882461548,0.7446808218955994,0.03407984599471092,0.001203248742967844,0.9987967610359192
YOR211C,YCL035C,0,7.292308,35.0,992.0,9960.0,13.0,0.9086363911628723,0.7291666865348816,0.03407984599471092,0.0013035194715484977,0.998696506023407
