Gene,Correlation
RNP1,-3.9565003
YFL002W-A,-3.7001605
YLR410W-B,-3.345811
YCL019W,-3.3368354
YDR034C-D,-3.2202036
YDR210C-D,-3.088717
YGR161C-D,-2.8619552
YJL114W,-2.8521636
YDR316W-B,-2.8319857
YER160C,-2.8244185
YAR009C,-2.7916768
YMR050C,-2.7875335
POP6,-2.7807791
YOL103W-B,-2.7385068
YDR261C-D,-2.7228806
YOR192C-B,-2.6047826
HSH49,-2.5976534
YGR109W-B,-2.5922005
YLR227W-B,-2.569764
YIL082W-A,-2.4875312
REF2,-2.4635983
YLR157C-B,-2.4047046
YML039W,-2.3603106
YDR098C-B,-2.3533578
YJR029W,-2.3196685
RSM18,-2.3094668
YOR142W-B,-2.298228
YHR214C-B,-2.2653503
YNL284C-B,-2.2651138
LSM4,-2.2448332
SMD2,-2.228967
YJR027W,-2.1975865
RPL35B,-2.1841955
YMR045C,-2.1829932
RPS10A,-2.1774192
LSM7,-2.1725311
NHP2,-2.1581628
RNA15,-2.1503875
PBP2,-2.122305
YPL060C-A,-2.1151981
KAR4,-2.1149502
UTP30,-2.1090195
YJL113W,-2.0713818
MOT2,-2.061566
RPL35A,-2.0450273
YML045W,-2.0205612
YNL054W-B,-2.0153105
PTI1,-1.9703019
PES4,-1.9691198
DCP1,-1.9668384
YBL100W-B,-1.9666358
FAL1,-1.9656217
PRP31,-1.9618751
LSM12,-1.9218141
PIN4,-1.8556254
YLL032C,-1.8425134
SLU7,-1.8306305
YDR261W-B,-1.8194734
PRP24,-1.799779
PHO92,-1.7949388
YPR158C-D,-1.79327
GCD10,-1.7848577
DBP9,-1.7823881
RPL24A,-1.780862
MRT4,-1.7541444
RPS26B,-1.7364893
MIP6,-1.7295444
HRP1,-1.7141539
YDR170W-A,-1.696992
MAK5,-1.6883591
YHC1,-1.6786274
IST3,-1.666119
JSN1,-1.6615711
YHL009W-B,-1.6457127
PAP2,-1.6375514
IMP3,-1.6359695
YER138C,-1.6317736
ARF3,-1.6297712
RIE1,-1.595997
YLR035C-A,-1.5907772
GIS2,-1.5728034
PRP28,-1.5662783
PRP11,-1.5648817
YGR161W-B,-1.5641829
EDC1,-1.5619444
RPL36A,-1.5584056
MTF2,-1.5548977
SWS2,-1.5532665
RRT5,-1.5519307
