GO Term,Name,Test AUC,Train AUC,Test Average Precision,Train Average Precision,SG AUC,SG Avg Prec,Annos2007,Annos2022,FracAnnos,Overfitting,KS Statistic,
GO:0032196,transposition,0.949932628,0.951525025,0.305821234,0.306757994,0.935195241,0.125413695,109,120,0.908333333,0.001592397,0.46462,1
GO:0042273,ribosomal large subunit biogenesis and assembly,0.940598775,0.950837143,0.295716592,0.305340176,0.948919425,0.063939013,64,129,0.496124031,0.010238368,0.77852,1
GO:0000054,ribosome export from nucleus,0.930538265,0.918636271,0.273481706,0.281978623,0.908629497,0.022295944,25,54,0.462962963,-0.011901994,0.561495,1
GO:0042274,ribosomal small subunit biogenesis and assembly,0.925546278,0.920226695,0.286204253,0.291962645,0.926443784,0.022439865,22,145,0.151724138,-0.005319583,0.68568,1
GO:0042255,ribosome assembly,0.924789233,0.946883386,0.288699514,0.303295317,0.933113909,0.059149915,62,80,0.775,0.022094153,0.701155,
GO:0006364,rRNA processing,0.917457157,0.947052936,0.287914261,0.304013836,0.925920037,0.158761899,171,296,0.577702703,0.029595779,0.709285,
GO:0006418,tRNA aminoacylation for protein translation,0.896218479,0.88189432,0.264344028,0.263612285,0.896891141,0.027529627,31,37,0.837837838,-0.014324159,0.32068,
GO:0008135,"translation factor activity, nucleic acid binding",0.874072881,0.902045825,0.263175164,0.280386037,0.877475663,0.040792944,45,57,0.789473684,0.027972944,0.44956,
GO:0006413,translational initiation,0.870828253,0.875506112,0.259608503,0.267105406,0.848996188,0.036272354,41,64,0.640625,0.004677859,0.417075,
GO:0006414,translational elongation,0.868624642,0.914684653,0.253461844,0.283744324,0.885828069,0.019413039,20,48,0.416666667,0.046060011,0.456145,
GO:0016197,endosome transport,0.856998351,0.881758784,0.241042318,0.258261423,0.836750534,0.033514349,46,114,0.403508772,0.024760433,0.387375,
GO:0009451,RNA modification,0.849744069,0.893343914,0.250455405,0.27261593,0.860490567,0.051955845,65,116,0.560344828,0.043599845,0.492605,
GO:0006360,transcription from RNA polymerase I promoter,0.829497641,0.875504784,0.227147308,0.251410696,0.85336446,0.022129888,30,72,0.416666667,0.046007143,0.512235,
GO:0045333,cellular respiration,0.825552437,0.865634137,0.247190721,0.263726839,0.879943697,0.074005821,80,107,0.747663551,0.0400817,0.339425,
GO:0004518,nuclease activity,0.813779497,0.860260681,0.231567317,0.249071406,0.752542473,0.095044412,140,151,0.927152318,0.046481184,0.208855,
GO:0006352,transcription initiation,0.812825595,0.863509883,0.21338046,0.243813195,0.809250795,0.037675535,56,87,0.643678161,0.050684288,0.362745,
GO:0018193,peptidyl-amino acid modification,0.80904564,0.818256707,0.21104896,0.218401196,0.744341705,0.014849133,27,229,0.11790393,0.009211067,0.407195,
GO:0006486,protein amino acid glycosylation,0.808718192,0.848884273,0.228083722,0.250988561,0.851843352,0.059564821,73,81,0.901234568,0.040166081,0.36235,
GO:0008213,protein amino acid alkylation,0.797777782,0.831388827,0.221051393,0.235231988,0.876482485,0.021943601,22,60,0.366666667,0.033611045,0.377305,
GO:0048193,Golgi vesicle transport,0.797647844,0.848070841,0.209127815,0.237275485,0.796769368,0.104964175,161,210,0.766666667,0.050422997,0.25693,
GO:0051603,proteolysis involved in cellular protein catabolic process,0.795333153,0.861447227,0.223414755,0.253792029,0.811837036,0.113199109,148,270,0.548148148,0.066114074,0.280625,
GO:0006260,DNA replication,0.785158522,0.848548978,0.21204535,0.244227391,0.817085671,0.083555855,112,158,0.708860759,0.063390456,0.2812,
GO:0006811,ion transport,0.768768091,0.829670273,0.197159592,0.231212445,0.832567874,0.074214315,108,340,0.317647059,0.060902182,0.100905,
GO:0006997,nuclear organization and biogenesis,0.768674285,0.804866607,0.198333007,0.222399544,0.786430337,0.04093138,56,105,0.533333333,0.036192322,0.28157,
GO:0042594,response to starvation,0.767323231,0.762901368,0.198724895,0.188715208,0.919195131,0.01907605,19,90,0.211111111,-0.004421863,0.17346,
GO:0007059,chromosome segregation,0.765576869,0.830886046,0.199598306,0.228012288,0.787289582,0.078646668,117,224,0.522321429,0.065309177,0.221285,
GO:0006979,response to oxidative stress,0.764904526,0.849273182,0.19840201,0.244535433,0.764219277,0.042262621,67,130,0.515384615,0.084368656,0.16893,
GO:0007031,peroxisome organization and biogenesis,0.762037838,0.824156,0.191387404,0.21767457,0.809695139,0.024631228,40,53,0.754716981,0.062118162,0.298155,
GO:0006397,mRNA processing,0.758861592,0.818639228,0.19272328,0.225819387,0.782792544,0.090466897,149,210,0.70952381,0.059777636,0.244575,
GO:0016050,vesicle organization and biogenesis,0.756388889,0.749790662,0.184648868,0.180775027,0.913045867,0.015174603,15,101,0.148514851,-0.006598227,0.20678,
GO:0008380,RNA splicing,0.75476004,0.831502479,0.189971598,0.231194925,0.776764171,0.073848975,121,146,0.828767123,0.076742439,0.233735,
GO:0032787,monocarboxylic acid metabolic process,0.753341549,0.831509954,0.202109609,0.239905474,0.79262831,0.08616243,124,168,0.738095238,0.078168405,0.07566,
GO:0003700,transcription factor activity,0.747060491,0.797296475,0.17685611,0.206130509,0.69195276,0.03019578,60,181,0.331491713,0.050235984,0.13604,
GO:0016570,histone modification,0.744138556,0.829165022,0.177044222,0.226144818,0.742119423,0.048283924,88,139,0.633093525,0.085026466,0.23846,
GO:0006281,DNA repair,0.743462911,0.808286137,0.175860781,0.212437583,0.744142165,0.098163204,185,314,0.589171975,0.064823226,0.170435,
GO:0006325,establishment and/or maintenance of chromatin architecture,0.743320955,0.812245774,0.179878139,0.21690935,0.742581372,0.131287587,245,305,0.803278689,0.068924819,0.211645,
