Gene,+/-,Fold
YLR320W,1,0
YOR290C,1,0
YBR098W,1,0
YER147C,1,0
YBR275C,1,0
YOL087C,1,0
YDR363W-A,1,0
YOR141C,1,0
YLR399C,1,0
YBL023C,1,0
YDR075W,1,0
YMR106C,1,0
YPR135W,1,0
YJL164C,1,0
YLR357W,1,0
YML061C,1,0
YGR042W,1,0
YAL019W,1,0
YDL003W,1,0
YBR289W,1,0
YDL059C,1,0
YNL246W,1,0
YDR217C,1,0
YLR265C,1,0
YDR180W,1,0
YLR376C,1,0
YKL045W,1,0
YOL146W,1,0
YDR363W,1,0
YPL121C,1,0
YJR046W,1,0
YDR263C,1,0
YGL092W,1,0
YPR019W,1,0
YGL090W,1,0
YNL133C,1,0
YHR083W,0,0
YDL153C,0,0
YBR110W,0,0
YBL089W,0,0
YGR179C,0,0
GRD17,0,0
YLR431C,0,0
YER173W,0,0
YGL063W,0,0
YCR008W,0,0
YML076C,0,0
YGL025C,0,0
YLR436C,0,0
YHR132C,0,0
YOL136C,0,0
YDR091C,0,0
YCL008C,0,0
snR82,0,0
YER132C,0,0
YER088C,0,0
YDR532C,0,0
YDR398W,0,0
YIL160C,0,0
YJR053W,0,0
YOR188W,0,0
YLR035C,0,0
YER074W,0,0
YKL217W,0,0
YOR272W,0,0
YML058W,0,0
YMR162C,0,0
YLL042C,0,0
YJR001W,0,0
YLR121C,0,0
YGL075C,0,0
YPL112C,0,0
YGL145W,0,0
YBL009W,0,0
YKL018W,0,0
YLR426W,0,0
YLR026C,0,0
YPL052W,0,0
YDR435C,0,0
YCR093W,0,0
YBR284W,0,0
YGL189C,0,0
YBR081C,0,0
YJL141C,0,0
YLR005W,0,0
YNL216W,0,0
YNL002C,0,0
YKL052C,0,0
YMR136W,0,0
YDR300C,0,0
YGR145W,0,0
YOR113W,0,0
YDR007W,0,0
YHL009W-B,0,0
YNR049C,0,0
YIL010W,0,0
YOR270C,0,0
YNL052W,0,0
YOL108C,0,0
YDR390C,0,0
YGR217W,0,0
YDL028C,0,0
YJL019W,0,0
YDR184C,0,0
YIL083C,0,0
YGL244W,0,0
YLR291C,0,0
YDR093W,0,0
YMR239C,0,0
YML043C,0,0
YGR283C,0,0
YNL263C,0,0
YMR251W-A,0,0
YBR043C,0,0
YMR087W,0,0
YMR152W,0,0
YDR226W,0,0
YIR012W,0,0
YMR177W,0,0
YER044C,0,0
YIL046W,0,0
YLR455W,0,0
YDL154W,0,0
YPR055W,0,0
YOL111C,0,0
tK(CUU)G1,0,0
YNL253W,0,0
YNL173C,0,0
YOL135C,0,0
YDL198C,0,0
YMR092C,0,0
YMR218C,0,0
tK(CUU)M,0,0
YAL054C,0,0
YAL040C,0,0
YPL110C,0,0
YPR009W,0,0
YKL174C,0,0
YDR122W,0,0
YDR213W,0,0
YNR032W,0,0
YIL072W,0,0
YDL054C,0,0
YDR456W,0,0
YOR356W,0,0
tG(GCC)C,0,0
YLR044C,0,0
YIR009W,0,0
YGL009C,0,0
YMR313C,0,0
YDR501W,0,0
YAL003W,0,0
tI(AAU)I1,0,0
YOR075W,0,0
YBR200W,0,0
tW(CCA)M,0,0
YER020W,0,0
YNL304W,0,0
YNL117W,0,0
SUC3,0,0
YMR011W,0,0
snR52,0,0
YLR449W,0,0
YML106W,0,0
YKL009W,0,0
YFL016C,0,0
YBL082C,0,0
YNL281W,0,0
YIR030C,0,0
YOL163W,0,0
YAR050W,0,0
YBR217W,0,0
YDL038C,0,0
YFL058W,0,0
YMR113W,0,0
YOR210W,0,0
YOR257W,0,0
YDR028C,0,0
YJR094W-A,0,0
YBR295W,0,0
YPR029C,0,0
YHL003C,0,0
YJR003C,0,0
YAR031W,0,0
YPL151C,0,0
YCR012W,0,0
tK(CUU)G2,0,0
YJR091C,0,0
YBL098W,0,0
YOR070C,0,0
YLR047C,0,0
YOR237W,0,0
YDR261C,0,0
YHR195W,0,0
YGL191W,0,0
YER120W,0,0
tM(CAU)C,0,0
YGL004C,0,0
YPR191W,0,0
YDR035W,0,0
YOL145C,0,0
YPL138C,0,0
YLR139C,0,0
YJL031C,0,0
YKR026C,0,0
YPL270W,0,0
YPR149W,0,0
tK(UUU)D,0,0
YKL081W,0,0
YKR078W,0,0
YCR048W,0,0
YDL215C,0,0
YDR023W,0,0
YML014W,0,0
YPR049C,0,0
YPL094C,0,0
YGR138C,0,0
YOR127W,0,0
YCL074W,0,0
YLR306W,0,0
YKR029C,0,0
YOR108W,0,0
tR(ACG)Q2,0,0
YNL121C,0,0
YOL017W,0,0
YDR334W,0,0
tQ(UUG)C,0,0
YLR369W,0,0
YFL049W,0,0
YOR351C,0,0
YFR031C,0,0
YPR141C,0,0
YMR275C,0,0
YER078C,0,0
YNR026C,0,0
YHR041C,0,0
YEL059C-A,0,0
YKL192C,0,0
tM(CAU)M,0,0
tG(UCC)N,0,0
YPR137W,0,0
YKR061W,0,0
YNL097C,0,0
YGR184C,0,0
YKR007W,0,0
YHR092C,0,0
YGL238W,0,0
YKR054C,0,0
tM(CAU)O2,0,0
YOL052C-A,0,0
YLL021W,0,0
YEL069C,0,0
YJL140W,0,0
YNL267W,0,0
YPR080W,0,0
YPL276W,0,0
YJL085W,0,0
YJR109C,0,0
YNL239W,0,0
YGR191W,0,0
YIL131C,0,0
YKL089W,0,0
YGR264C,0,0
YFL005W,0,0
YKR085C,0,0
YAL024C,0,0
YOR147W,0,0
snR24,0,0
YHR006W,0,0
snR68,0,0
YOR021C,0,0
YFR047C,0,0
YGL137W,0,0
YNL065W,0,0
YDR074W,0,0
YKR056W,0,0
YLR148W,0,0
YKR036C,0,0
