,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Training,34.79991089,15.03659736,14.23594562,15.06790925,13.10154415,13.58083409,14.5128528,19.87820469,15.50624765,14.52424948,13.87944502,14.6684963,12.14350413,14.28257181,13.74326181,15.75350227,11.6809226,12.53162394,14.31732611,13.4225065,11.86402066,11.67088464,11.71776616,11.50839578,13.47032969,11.6729528,11.54635264,13.64549827,12.45205516,14.24372772,13.70689832,11.81219149,12.79305588,12.53087783,13.05064965,11.6133164,11.23069196,11.19589352,11.46477818,11.28749197,14.39915882,10.99078562,13.92301392,11.4531396,12.48258532,12.48540278,13.99626559,11.25420434,11.97080891,12.75189988,15.06595805
Validation,30.24056319,13.92882177,13.18612042,13.52555232,12.91976521,13.00123861,14.08976496,17.85473822,16.73611157,13.40185725,13.2734727,13.34314958,12.32741494,14.22291843,12.70361333,17.69152833,12.14779324,13.49850069,15.68245719,12.9592106,12.78186682,13.00667273,12.38960525,12.48025331,14.9092811,12.09978763,12.45365032,13.50290933,12.77083522,13.51059118,14.59964552,12.29268602,13.66953725,12.91624528,13.03765948,13.77835158,12.29073467,13.07452846,12.08651912,13.81533105,13.71240497,12.19697561,14.753622,14.13156365,13.51513731,13.30594095,14.51384486,12.5504309,12.4533453,12.77694336,15.05318016
Testing,30.96908253,15.74352915,14.17398033,15.43505354,14.03185647,15.04857066,15.12919577,17.53530579,17.42910876,16.33338325,15.8731611,15.90761401,14.03986315,16.25334592,15.22928328,17.27364121,13.42712069,14.79562878,15.76695391,15.40941993,13.363935,13.30355105,14.16450168,13.69964021,14.56104621,13.13087651,12.45109132,15.93923381,14.63746697,16.734848,15.44514554,12.96293625,15.31793496,15.21130788,15.39328593,13.71499625,13.96024439,13.63999173,13.42935843,13.63183205,17.4939722,12.86331404,15.01214812,13.94282202,14.19151026,14.90820934,13.97926293,13.97680378,14.27517213,14.55323492,18.20510395
Training,28.37173058,18.30105424,21.01737512,13.47644582,14.80019179,12.87635492,13.25224259,12.39232581,16.89906564,12.40400817,11.86899573,12.82427424,13.00666086,13.18901469,14.13220184,12.73536609,16.25743112,11.03738686,13.29755481,12.03375908,11.26540728,11.39363682,10.94330781,14.39117039,10.87214923,12.13755411,11.61834516,11.36007437,13.75893835,11.00784646,10.83329466,12.24431978,10.76974979,11.29947364,11.15736977,13.13565313,11.50612863,10.49875556,11.14652786,11.0158794,14.33363922,11.23940519,11.52703188,10.89294293,13.32412275,11.41811427,11.54395747,10.64182314,11.41872957,11.86033018,11.12307782
Validation,32.98143786,21.667701,25.8467493,17.48491145,20.27427237,14.71680614,14.61969124,15.00474856,21.86586118,14.48105806,15.45038964,17.13478723,17.30119373,16.68884291,19.2150594,16.88077552,21.69836807,13.5252006,16.90474295,15.18459693,14.24797497,14.25306449,13.79952554,19.92485587,13.49716789,15.71748204,15.72715715,14.86354341,14.7182657,14.56049688,13.8212473,15.75310732,14.1203636,14.58143909,13.47959101,17.48303855,14.92404647,13.61492183,15.45606128,14.07076731,19.6461627,15.25335368,14.85088043,13.39511013,17.32804681,15.73457831,15.73331651,14.02294443,15.14404003,16.25015248,15.77036504
Testing,25.74962332,17.47100675,23.35773087,16.06400364,15.94202895,14.49547552,14.71655636,14.08322431,21.06784582,14.56218819,14.80628273,14.73012126,15.03713894,15.60927496,17.18011898,15.4108168,21.54117978,12.8246163,15.78180257,13.80605757,13.25802173,13.63996112,13.23987291,17.50267224,13.01777866,14.87904308,13.49023118,13.54287945,14.5249552,13.07102093,13.47684075,14.21533974,13.17845736,13.7707397,13.75190908,15.06088812,13.785703,12.80429561,13.5596541,13.46784124,18.6285962,13.83855875,13.66683765,13.42167147,14.64737128,14.37699162,14.80263376,13.05439568,14.09233316,14.11788648,14.00128402
Training,57.97460842,18.70752423,15.53088463,14.54443103,14.76440279,16.88673737,15.42395232,14.77997188,16.39895025,16.31445511,14.12978963,16.24398516,13.50298614,13.83324341,14.54127815,14.10320983,15.21871174,20.95025043,14.46419216,13.45832333,12.9493369,14.74023721,13.49592591,14.90285596,13.46001947,14.7303538,13.86092028,12.94489637,14.15679875,13.17988784,13.34538103,16.36801304,13.76023332,15.04256383,15.90979024,12.6576173,12.50261836,14.30001937,12.45112704,16.03754248,14.06328219,15.25646975,14.5624028,12.1863449,14.1630121,12.34490796,14.16377629,13.50973141,12.62593327,12.62861066,11.54138379
Validation,47.63696817,18.60601645,14.79874798,13.98408683,15.19831269,15.92825411,15.23079696,15.14027158,14.1363905,16.88969251,13.1625586,16.65137983,13.38441657,12.54968664,14.15664284,13.27392625,13.98354903,21.29996548,14.34743529,13.51417122,12.44669731,14.50822924,13.65323227,15.80347464,13.07730828,14.01677551,13.56909315,12.23639052,14.41714385,12.40629993,12.70495426,16.98745461,15.00941215,16.3014364,17.0133361,12.72109353,12.86565567,14.60305293,13.2607166,15.44899604,15.15644584,15.30321201,14.58312488,12.40624216,14.29129995,13.03280878,15.67107673,14.78530329,13.97317607,12.54808185,11.87631213
Testing,43.91777422,19.01695405,16.34046515,16.02656008,16.01009858,16.88139473,16.58727951,15.64535375,15.39621205,17.65376659,14.13714213,16.8653056,14.51962269,14.17217935,14.2163449,14.67359173,14.23780046,20.97252635,15.35275914,13.86785688,13.30605118,14.41789778,14.46734794,16.84097634,13.71266319,13.54352824,13.99011593,12.97934318,15.57676024,12.84798401,12.87331613,16.81336162,15.51564515,17.08699188,17.832926,12.53646335,13.41950538,14.66861492,13.50584628,14.6737225,16.62140233,13.32592964,13.35478168,12.08415458,12.38097206,13.67811486,14.59601946,13.99271355,14.5856511,12.05688416,12.00592752
Training,43.40866612,17.5905397,13.54974746,14.99969848,14.16192921,16.98638716,14.18606715,12.62937486,13.69114518,13.44390486,12.35394637,13.71117461,15.66184983,12.08654965,12.28763542,12.25008109,11.67673515,13.55552913,13.72439792,13.96170604,11.50093681,12.18315387,15.43390711,12.57808043,12.06782133,12.25185277,13.44739572,12.38043156,11.66778357,11.17064557,13.04784102,14.40547706,13.00985327,12.12466401,12.20246234,14.8191646,14.19141574,11.08870717,11.88230059,11.9524403,12.04483281,13.96310272,13.85910259,11.99287658,13.83045493,11.43624307,14.69510313,13.12015232,11.61593817,11.21519114,10.81710577
Validation,38.19773227,18.64050472,14.77498238,12.7439129,17.95170598,16.98133058,16.76003697,14.50432141,12.71032405,14.56585963,13.02470976,12.96640624,13.2127735,11.95969121,11.99977836,13.63280306,12.59807592,10.87198442,14.74673077,11.49061685,12.8492467,15.90290976,12.85752521,14.93922144,12.15432271,14.82328692,11.07179779,11.06558337,12.20640879,14.19209772,12.06466553,16.78135245,14.64797207,11.72793816,11.23858985,18.40322724,18.26094589,12.90055398,14.69197211,13.25863609,12.34941617,11.94176947,11.14506945,11.6673539,15.24829178,14.94356597,18.91391978,10.5033752,12.38382416,12.20393208,12.51078482
Testing,35.02711792,16.1753932,14.31382104,14.66799528,14.94511682,18.41220159,15.46627424,13.85929046,14.31449531,14.37763488,14.36887827,14.89183724,15.53585448,12.87367802,13.32312271,13.93979379,12.97656996,13.91866191,15.51002347,14.08308967,12.70773444,14.2247133,15.39856052,14.06854289,13.77870212,14.44563599,14.85848903,12.92276624,12.79622883,12.41906144,14.27826291,16.6366556,15.31106692,13.85125386,13.03137791,18.033421,15.66591054,12.37601775,13.66528877,13.25828474,13.36107599,14.12008871,14.45558474,13.45536129,16.84721687,13.68748864,17.82125231,13.14432111,12.51061178,12.82149694,12.37911538
