Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YNL185C,YKL065C,0,9.933222,0.0,1024.0,9975.0,1.0,0.9068182110786438,0.0,0.0,0.00010024057701230049,0.9998997449874878
YBR262C,YJR045C,1,8.862181,1.0,1023.0,9975.0,1.0,0.9069091081619263,0.5,0.0009765625,0.00010024057701230049,0.9998997449874878
YBR120C,YBR262C,1,8.651425,2.0,1022.0,9975.0,1.0,0.9070000052452087,0.6666666865348816,0.001953125,0.00010024057701230049,0.9998997449874878
YIL146C,YLL009C,1,8.531917,3.0,1021.0,9975.0,1.0,0.9070909023284912,0.75,0.0029296875,0.00010024057701230049,0.9998997449874878
YKL053C-A,YPL215W,1,8.419237,4.0,1020.0,9975.0,1.0,0.9071817994117737,0.800000011920929,0.00390625,0.00010024057701230049,0.9998997449874878
YBR046C,YKL137W,0,8.349459,4.0,1020.0,9974.0,2.0,0.9070909023284912,0.6666666865348816,0.00390625,0.00020048115402460098,0.9997994899749756
YKL053C-A,YEL020W-A,1,8.288537,5.0,1019.0,9974.0,2.0,0.9071817994117737,0.7142857313156128,0.0048828125,0.00020048115402460098,0.9997994899749756
YKL053C-A,YBR262C,1,8.28808,6.0,1018.0,9974.0,2.0,0.9072727560997009,0.75,0.005859375,0.00020048115402460098,0.9997994899749756
YJL180C,YGR174C,1,8.190874,7.0,1017.0,9974.0,2.0,0.9073636531829834,0.7777777910232544,0.0068359375,0.00020048115402460098,0.9997994899749756
YLR203C,YNL315C,1,8.151589,8.0,1016.0,9974.0,2.0,0.9074545502662659,0.800000011920929,0.0078125,0.00020048115402460098,0.9997994899749756
YKL053C-A,YIL042C,1,8.052858,9.0,1015.0,9974.0,2.0,0.9075454473495483,0.8181818127632141,0.0087890625,0.00020048115402460098,0.9997994899749756
YBR185C,YEL020W-A,1,8.05188,10.0,1014.0,9974.0,2.0,0.9076363444328308,0.8333333134651184,0.009765625,0.00020048115402460098,0.9997994899749756
YHR116W,YNL131W,1,7.9339476,11.0,1013.0,9974.0,2.0,0.9077273011207581,0.8461538553237915,0.0107421875,0.00020048115402460098,0.9997994899749756
YIL042C,YNL070W,1,7.760493,12.0,1012.0,9974.0,2.0,0.9078181982040405,0.8571428656578064,0.01171875,0.00020048115402460098,0.9997994899749756
YBR185C,YKR065C,1,7.753346,13.0,1011.0,9974.0,2.0,0.907909095287323,0.8666666746139526,0.0126953125,0.00020048115402460098,0.9997994899749756
YNL185C,YGL187C,0,7.7385793,13.0,1011.0,9973.0,3.0,0.9078181982040405,0.8125,0.0126953125,0.0003007217310369015,0.9996992945671082
YLR203C,YKL195W,1,7.711283,14.0,1010.0,9973.0,3.0,0.907909095287323,0.8235294222831726,0.013671875,0.0003007217310369015,0.9996992945671082
