Batch,Avg Loss,GO:0000054,GO:0000278,GO:0000747,GO:0000902,GO:0000910,GO:0001403,GO:0003700,GO:0004518,GO:0005085,GO:0006260,GO:0006281,GO:0006310,GO:0006325,GO:0006352,GO:0006353,GO:0006360,GO:0006364,GO:0006366,GO:0006383,GO:0006397,GO:0006401,GO:0006413,GO:0006414,GO:0006418,GO:0006457,GO:0006468,GO:0006470,GO:0006486,GO:0006497,GO:0006605,GO:0006629,GO:0006766,GO:0006811,GO:0006865,GO:0006869,GO:0006873,GO:0006887,GO:0006897,GO:0006970,GO:0006979,GO:0006997,GO:0007005,GO:0007010,GO:0007031,GO:0007033,GO:0007059,GO:0007114,GO:0007124,GO:0008033,GO:0008135,GO:0008213,GO:0008380,GO:0008643,GO:0009408,GO:0009451,GO:0010324,GO:0015931,GO:0016050,GO:0016197,GO:0016570,GO:0018193,GO:0032196,GO:0032200,GO:0032787,GO:0042221,GO:0042255,GO:0042273,GO:0042274,GO:0042594,GO:0043543,GO:0045333,GO:0048193,GO:0048284,GO:0048308,GO:0051049,GO:0051052,GO:0051321,GO:0051603,GO:0051726
0,811.3245010375977,66.94572448730469,64.12335205078125,71.42874908447266,69.99339294433594,72.5940170288086,68.99707794189453,75.09527587890625,68.53559112548828,77.30054473876953,66.67927551269531,63.817867279052734,85.67031860351562,69.97602844238281,90.94119262695312,91.07149505615234,60.99565505981445,65.66999816894531,80.4599380493164,66.62651824951172,79.1170883178711,64.6081314086914,64.96722412109375,83.6990737915039,75.11661529541016,72.47496795654297,60.046485900878906,71.79757690429688,67.91468048095703,69.0198745727539,97.34967803955078,81.0209732055664,76.6043930053711,77.7635726928711,64.34724426269531,74.50759887695312,72.86673736572266,89.72156524658203,69.39464569091797,56.52592849731445,71.20653533935547,85.58731079101562,60.49346160888672,61.69136047363281,61.996063232421875,60.34483337402344,57.86772155761719,89.4184341430664,62.930091857910156,72.00355529785156,67.6175765991211,76.49735260009766,72.44371795654297,83.04167938232422,56.24137878417969,70.7434310913086,67.98033905029297,61.22352600097656,69.29273223876953,63.6641845703125,61.033145904541016,71.19754028320312,68.8315658569336,74.73902893066406,74.57617950439453,74.03594970703125,82.04400634765625,58.89712905883789,61.9431037902832,62.16694641113281,90.8436508178711,56.287593841552734,68.18749237060547,69.14823913574219,79.91449737548828,80.98052978515625,65.91646575927734,74.6275634765625,68.27700805664062,76.6431655883789
100,589.9733273983002,999.0867309570312,177.51451110839844,145.56747436523438,179.2077178955078,196.93807983398438,328.5038146972656,235.71238708496094,145.80575561523438,344.4604797363281,202.7668914794922,194.20513916015625,240.77182006835938,186.13421630859375,83.51484680175781,73.65943145751953,1067.759765625,125.90420532226562,181.10003662109375,171.65414428710938,185.9878692626953,189.3231964111328,289.2328186035156,64.50833892822266,63.81419372558594,189.91510009765625,210.93922424316406,1186.005126953125,215.86753845214844,289.828125,186.4833984375,186.15701293945312,224.53097534179688,214.03402709960938,672.28271484375,102.20130157470703,200.87347412109375,496.8998718261719,202.95947265625,391.83673095703125,290.5138244628906,211.4552764892578,193.40585327148438,182.3988800048828,304.1206359863281,459.4867248535156,194.55096435546875,161.86033630371094,209.1757354736328,54.34779357910156,241.80670166015625,720.9198608398438,215.1208953857422,416.0533142089844,516.02734375,251.40362548828125,199.81851196289062,207.33050537109375,50.08977508544922,163.35560607910156,203.0299835205078,1050.4090576171875,106.96720886230469,187.4530029296875,194.80015563964844,179.5290985107422,170.5760498046875,516.4974365234375,45.432491302490234,1304.4700927734375,221.75852966308594,183.65457153320312,163.59072875976562,656.277099609375,268.6094055175781,60.81926727294922,269.6368713378906,196.98214721679688,184.18618774414062,212.67306518554688
200,648.7914338111877,411.2879333496094,204.92530822753906,224.1552276611328,217.7440643310547,254.3074951171875,297.28717041015625,280.9687194824219,196.91880798339844,266.704345703125,277.4459228515625,234.88304138183594,234.05429077148438,236.09967041015625,288.4549865722656,37.35285568237305,674.636962890625,141.24322509765625,224.08267211914062,265.2944641113281,255.58567810058594,216.43785095214844,219.37667846679688,1882.35986328125,874.513427734375,260.8983459472656,256.692626953125,1030.64013671875,272.1666259765625,337.6182861328125,226.16098022460938,245.3662872314453,202.37025451660156,211.59414672851562,481.3985290527344,383.2352294921875,245.2746124267578,467.210693359375,294.8478698730469,458.1172790527344,245.65472412109375,294.222900390625,230.9531707763672,223.7734375,298.3349304199219,327.954345703125,214.2064666748047,248.6178741455078,258.1292724609375,33.059120178222656,213.63800048828125,1321.078125,233.2547607421875,585.62255859375,549.8135375976562,153.21517944335938,288.1722106933594,260.283935546875,1525.3720703125,224.68043518066406,242.56781005859375,462.1981201171875,110.03620147705078,222.07949829101562,224.18971252441406,219.56639099121094,194.4405059814453,205.55686950683594,3795.058349609375,2656.991943359375,260.4730529785156,213.72030639648438,237.82394409179688,741.2802124023438,400.1921081542969,45.53782272338867,209.3384552001953,237.75611877441406,224.4552001953125,231.74697875976562
300,811.3000147342682,1578.0635986328125,218.11013793945312,224.2479705810547,247.95196533203125,221.2364501953125,326.2775573730469,193.46826171875,258.4412536621094,410.4885559082031,231.9083251953125,226.7366180419922,233.31716918945312,228.962890625,256.49554443359375,1152.4571533203125,305.2149353027344,150.4539794921875,246.0813446044922,695.7481079101562,268.617919921875,220.61619567871094,850.736572265625,903.3903198242188,722.5343627929688,238.18328857421875,299.0516357421875,515.8367919921875,268.935791015625,311.69464111328125,230.3123779296875,240.25848388671875,272.6348571777344,238.40878295898438,442.1518859863281,279.79473876953125,287.3783874511719,421.67596435546875,259.49627685546875,345.684814453125,286.5126037597656,967.9522705078125,235.5361328125,247.6230926513672,202.3981475830078,298.6104736328125,238.88079833984375,258.380615234375,315.6401672363281,4325.89990234375,159.63156127929688,1405.55810546875,297.79376220703125,674.4014892578125,709.4188842773438,423.8001708984375,271.4420471191406,266.82977294921875,2390.903076171875,217.83486938476562,237.69036865234375,314.25469970703125,126.51349639892578,237.8856964111328,221.61248779296875,207.35040283203125,203.20558166503906,210.5688934326172,2414.347412109375,1904.0152587890625,261.3428039550781,217.83212280273438,248.09205627441406,448.44122314453125,434.73419189453125,29.462465286254883,230.48046875,207.79037475585938,257.7266845703125,234.64210510253906
400,18757.811546325684,102042.390625,617.233642578125,2063.496337890625,366.0966491699219,1091.9718017578125,13312.76953125,832.5276489257812,2492.451171875,5110.17333984375,2867.04150390625,718.548828125,3838.901611328125,569.4585571289062,26202.65234375,120526.140625,23265.529296875,5425.7763671875,486.08050537109375,11087.767578125,1151.8699951171875,16973.3203125,1397.24072265625,606.9261474609375,29635.046875,1857.124267578125,8223.501953125,1392.530517578125,24308.341796875,3907.809326171875,531.0446166992188,594.8204345703125,4204.236328125,3644.393798828125,305.3661193847656,13196.634765625,3273.022216796875,3705.206298828125,1972.4764404296875,5118.98828125,9997.8662109375,22423.92578125,3612.236572265625,971.1539916992188,5475.833984375,9120.2734375,1972.600341796875,2547.512451171875,3675.762451171875,32682.41796875,75854.3984375,2116.4150390625,5302.578125,737.30322265625,614.131103515625,17417.73828125,6289.330078125,7547.29638671875,87817.296875,19277.48828125,2183.6455078125,35936.296875,1618.6646728515625,441.1076965332031,681.4906005859375,470.9373474121094,11183.072265625,73220.1875,5582.98583984375,3236.561767578125,10536.8125,14476.4072265625,1214.2337646484375,25969.716796875,23519.79296875,7.642909526824951,10652.8525390625,546.760986328125,1453.02783203125,938.8233642578125
500,447685.8070373535,885319.375,17358.59765625,97531.953125,5280.4716796875,129684.8984375,86966.9296875,14417.36328125,69357.3984375,207286.078125,76167.9375,29480.505859375,15225.3076171875,10028.49609375,184358.375,355163.46875,501350.46875,183473.640625,15816.7138671875,1399815.875,43667.41015625,209713.65625,147285.140625,8888612.0,632775.5,12570.4462890625,126308.0234375,492.5538330078125,172783.78125,488445.28125,22597.171875,30696.3359375,24377.80078125,51156.4609375,583701.375,29934.470703125,106070.140625,5355.7470703125,39025.17578125,266507.125,255425.359375,203274.046875,35948.9375,19630.029296875,55245.921875,144882.03125,40094.54296875,218087.34375,6887.57373046875,314686.59375,86274.359375,93398.1328125,53989.31640625,4355.71728515625,866.5250244140625,719814.375,37222.85546875,119427.1484375,80503.8984375,289336.375,48605.96484375,49790.59375,7963.00732421875,23608.94921875,28248.9140625,7895.603515625,307339.25,695250.625,4015951.25,5080055.5,38864.73046875,689999.25,20785.69921875,40862.7890625,128413.75,8.743331909179688,481633.15625,21739.9375,35599.61328125,38054.48828125
600,28217.942302703857,56528.828125,1044.518798828125,3669.658447265625,830.0742797851562,3384.692138671875,13860.0400390625,2991.3076171875,2375.8857421875,9422.0068359375,3505.7998046875,1265.5137939453125,2807.784423828125,398.38311767578125,23313.525390625,48763.23828125,37204.2265625,9236.349609375,574.32275390625,32219.412109375,5144.3935546875,12448.6259765625,103645.21875,651821.5,45186.03125,6595.44482421875,8329.7041015625,7623.806640625,11014.5654296875,24781.4609375,1872.490966796875,1941.5059814453125,5659.71484375,2571.323486328125,7020.0205078125,2900.000244140625,6855.38134765625,9228.4716796875,6886.10791015625,22163.83984375,12582.9453125,25298.64453125,4418.4912109375,1295.6005859375,11906.896484375,18382.787109375,3066.271240234375,6395.328125,4708.35986328125,104091.0625,36192.0234375,9164.126953125,1522.4854736328125,18282.14453125,3125.605224609375,56163.23828125,6863.064453125,6865.45751953125,11025.3828125,7492.44384765625,4216.4443359375,18973.611328125,1325.5345458984375,878.4801635742188,3090.9921875,362.55438232421875,22668.1875,35592.3359375,114445.9921875,77917.8984375,10206.7548828125,20641.876953125,1844.160888671875,5892.228515625,23151.623046875,132455.828125,40045.75,2940.013671875,5311.5400390625,1734.749267578125
700,81784.97205924988,32896.40625,2077.010986328125,10607.2509765625,15920.66015625,155096.375,308400.8125,114987.1796875,70126.0078125,5994.12451171875,42291.76953125,16780.564453125,100362.1015625,6976.974609375,42502.46484375,22740.564453125,164889.671875,52060.078125,3716.157470703125,96196.96875,21127.119140625,29715.88671875,474026.875,295929.65625,230278.625,20546.38671875,30626.5078125,105620.4375,11984.9677734375,42045.90625,5795.70947265625,4879.7724609375,22729.34765625,32154.439453125,35426.41015625,18393.79296875,123798.796875,11502.06640625,27157.48828125,10641.24609375,25022.95703125,142606.5625,101364.578125,5911.06884765625,29704.470703125,37622.59765625,63049.390625,33649.80859375,7561.607421875,43439.8359375,69333.90625,123886.7890625,32864.42578125,10913.84375,82514.5,32126.4140625,26763.7109375,77287.0625,5255.4716796875,83318.2734375,12582.4814453125,312025.625,7612.126953125,6122.46923828125,44176.26953125,2132.0576171875,238013.796875,53734.55859375,61769.7265625,48252.859375,14806.7412109375,31684.9609375,15064.5166015625,2976.362548828125,20702.85546875,65330.62109375,32904.33984375,11417.0537109375,29856.98046875,7245.45947265625
800,359060.9348754883,109676.0703125,36301.28125,33263.1171875,17004.357421875,243895.71875,258449.71875,495956.90625,187230.40625,13174.5576171875,85253.5234375,65793.640625,66908.59375,10616.8251953125,199790.5625,236883.578125,54838.015625,86978.5703125,12081.3095703125,248223.125,37598.18359375,403748.71875,2192935.0,1388081.5,195477.40625,242018.3125,160383.34375,347597.3125,311372.75,72709.0,18947.404296875,10773.9951171875,94077.4609375,92341.0625,23528.76953125,127181.71875,211561.015625,280978.9375,359809.84375,238723.703125,88799.8515625,231807.375,143256.90625,34126.30078125,207409.140625,415872.875,116679.2734375,151761.90625,247022.59375,75734.3203125,1315989.375,905387.375,17530.564453125,250843.6875,75981.046875,787960.1875,329820.9375,70271.4921875,4509.78076171875,124758.6328125,63076.6953125,106286.8828125,4934.97802734375,14007.861328125,66880.4453125,13071.3037109375,760909.1875,648574.375,35142.9375,3567457.5,80499.0859375,99878.34375,97579.6875,3789.926025390625,124356.7109375,32122.455078125,582517.25,63458.19140625,95619.6796875,17997.404296875
900,22526239.83642578,8798.107421875,3107109.5,1581188.375,4058103.75,11711973.0,53464408.0,131573904.0,706667.6875,106473.96875,18054878.0,2758293.5,1067722.125,165040.046875,49909268.0,1657651.375,5852.62109375,5183260.5,3077197.5,182276336.0,8270779.5,4930354.5,8837748.0,80436744.0,8667657.0,21110334.0,13176332.0,1100634.125,45779800.0,6455090.5,2324238.0,1602251.875,24866954.0,1488556.75,64834164.0,1080351.0,19016510.0,2879812.5,44793832.0,19313644.0,199210.8125,1411713.5,14345934.0,2716847.75,37579540.0,3279579.75,9455490.0,11135155.0,46189088.0,22329.259765625,18892462.0,2163396.75,14958493.0,183600.203125,128495.75,37660352.0,44884656.0,5254652.0,932.8743896484375,159357424.0,663806.625,15639.0537109375,6963481.5,1145509.625,18586444.0,758759.0625,58521128.0,29159852.0,19070244.0,35939240.0,28646744.0,13273093.0,5426363.5,14379.2529296875,24235714.0,49556828.0,35056368.0,2857433.5,4492287.5,1258704.75
