Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YNR001C,YLR029C,0,4.6037865,0.0,1014.0,9985.0,1.0,0.9077273011207581,0.0,0.0,0.00010014019790105522,0.9998998641967773
YER141W,YLR203C,0,4.3969927,0.0,1014.0,9984.0,2.0,0.9076363444328308,0.0,0.0,0.00020028039580211043,0.9997997283935547
YEL065W,YLL041C,0,4.260954,0.0,1014.0,9983.0,3.0,0.9075454473495483,0.0,0.0,0.00030042059370316565,0.999699592590332
YKL016C,YGL040C,0,4.2146587,0.0,1014.0,9982.0,4.0,0.9074545502662659,0.0,0.0,0.00040056079160422087,0.9995994567871094
YGR028W,YBR185C,1,4.1792774,1.0,1013.0,9982.0,4.0,0.9075454473495483,0.20000000298023224,0.0009861933067440987,0.00040056079160422087,0.9995994567871094
YIL098C,YLL009C,1,4.1375885,2.0,1012.0,9982.0,4.0,0.9076363444328308,0.3333333432674408,0.0019723866134881973,0.00040056079160422087,0.9995994567871094
YDR262W,YNL016W,0,4.0911355,2.0,1012.0,9981.0,5.0,0.9075454473495483,0.2857142984867096,0.0019723866134881973,0.0005007009604014456,0.9994993209838867
YOR285W,YAL003W,0,4.0692825,2.0,1012.0,9980.0,6.0,0.9074545502662659,0.25,0.0019723866134881973,0.0006008411874063313,0.9993991851806641
YJL063C,YHR024C,1,4.0373178,3.0,1011.0,9980.0,6.0,0.9075454473495483,0.3333333432674408,0.002958579920232296,0.0006008411874063313,0.9993991851806641
YHR010W,YLL001W,0,3.9884727,3.0,1011.0,9979.0,7.0,0.9074545502662659,0.30000001192092896,0.002958579920232296,0.0007009813562035561,0.9992989897727966
YGR132C,YLR193C,1,3.9646974,4.0,1010.0,9979.0,7.0,0.9075454473495483,0.3636363744735718,0.003944773226976395,0.0007009813562035561,0.9992989897727966
YNL134C,YOR358W,0,3.9321668,4.0,1010.0,9978.0,8.0,0.9074545502662659,0.3333333432674408,0.003944773226976395,0.0008011215832084417,0.999198853969574
YBR290W,YBR031W,0,3.9315197,4.0,1010.0,9977.0,9.0,0.9073636531829834,0.3076923191547394,0.003944773226976395,0.0009012617520056665,0.9990987181663513
YNL131W,YIL098C,1,3.9011824,5.0,1009.0,9977.0,9.0,0.9074545502662659,0.3571428656578064,0.004930966533720493,0.0009012617520056665,0.9990987181663513
YDR174W,YGL185C,0,3.8900988,5.0,1009.0,9976.0,10.0,0.9073636531829834,0.3333333432674408,0.004930966533720493,0.0010014019208028913,0.9989985823631287
YOR285W,YHL004W,0,3.8755734,5.0,1009.0,9975.0,11.0,0.9072727560997009,0.3125,0.004930966533720493,0.001101542147807777,0.998898446559906
YKR065C,YGR062C,1,3.8481796,6.0,1008.0,9975.0,11.0,0.9073636531829834,0.3529411852359772,0.005917159840464592,0.001101542147807777,0.998898446559906
