Gene A,Gene B,Score
YDR470C,YDR470C,0.0
YDR470C,YOL095C,0.0493728145956993
YDR470C,YLL006W,0.8192251324653625
YDR470C,YJR135W-A,0.993316650390625
YDR470C,YBL080C,0.0003521707549225
YDR470C,YGL020C,0.0234834365546703
YDR470C,YOR037W,0.0079888869076967
YDR470C,YDR296W,0.4429742097854614
YDR470C,YMR134W,0.3163259327411651
YDR470C,YBR185C,0.6804795265197754
YDR470C,YNL304W,0.0041762231849133
YDR470C,YJR065C,0.0156110068783164
YDR470C,YCR020C,0.4501926898956299
YDR470C,YNR035C,0.0066008875146508
YDR470C,YDL198C,0.0009226715192198
YDR470C,YIL051C,0.0530523136258125
YDR470C,YMR211W,0.0005754642188549
YDR470C,YJL112W,0.2528749406337738
YDR470C,YKL013C,0.0026228800415992
YDR470C,YHR005C-A,0.0006362530402839
YDR470C,YBR091C,0.0190367102622985
YDR470C,YNL213C,0.6346806287765503
YDR470C,YNL079C,0.707558810710907
YDR470C,YGL055W,0.0238635540008544
YDR470C,YLL001W,0.8085725903511047
YDR470C,YDR393W,0.0422657579183578
YDR470C,YKR085C,0.6174865365028381
YDR470C,YPR083W,0.9933754801750184
YDR470C,YLR368W,0.786690890789032
YDR470C,YMR241W,0.9955143332481384
YDR470C,YNL121C,0.9972127079963684
YDR470C,YOL027C,0.0366172604262828
YDR470C,YHR120W,0.3665984272956848
YDR470C,YGR181W,0.0561087168753147
YDR470C,YKL053C-A,0.9664539694786072
YDR470C,YPR024W,0.5973713994026184
YDR470C,YDL142C,0.4662077128887176
YDR470C,YJL054W,0.959762156009674
YDR470C,YGR101W,0.1093773320317268
YDR470C,YPR125W,0.7789662480354309
YDR470C,YCL044C,0.0051732743158936
YDR470C,YDR150W,0.9981654286384584
YDR470C,YCR028C-A,0.9309400916099548
YDR470C,YNL055C,0.0288149081170558
YDR470C,YNL026W,0.0247493591159582
YDR470C,YMR012W,0.5684203505516052
YDR470C,YHR083W,0.9977720379829408
YDR470C,YNL310C,0.9945441484451294
YDR470C,YNL149C,0.2412710934877395
YDR470C,YKR042W,0.0038409305270761
YDR470C,YBR212W,0.0950899198651313
YDR470C,YLR370C,0.204243004322052
YDR470C,YNL066W,0.004925113171339
YDR470C,YBR179C,0.7298374772071838
YDR470C,YMR060C,0.981162428855896
YDR470C,YGL219C,0.2387912273406982
YDR470C,YOR266W,0.7496996521949768
YDR470C,YDR219C,0.9684661626815796
YDR470C,YML061C,0.7748104929924011
YDR470C,YMR072W,0.5395050644874573
YDR470C,YJR144W,0.9195374250411988
YDR470C,YNL070W,0.7586925625801086
YDR470C,YMR275C,0.9520636200904846
YDR470C,YER154W,0.0086067225784063
YDR470C,YJL116C,0.7678321599960327
YDR470C,YOR060C,0.6877385973930359
YDR470C,YIL065C,0.5253749489784241
YDR470C,YJR118C,0.7824176549911499
YDR470C,YFL036W,0.9974371194839478
YDR470C,YDL029W,0.9305283427238464
YDR470C,YDL006W,0.015718663111329
YDR470C,YBR192W,0.248196005821228
YDR470C,YML091C,0.1779959946870803
YDR470C,YOL076W,0.3876665532588959
YDR470C,YLL013C,0.1066521033644676
YDR470C,YPL098C,0.1447246670722961
YDR470C,YIL138C,0.5617155432701111
YDR470C,YDL217C,0.1702617853879928
YDR470C,YHR031C,0.6355277895927429
YDR470C,YLR190W,0.9882411360740662
YDR470C,YML058W,0.072142094373703
YDR470C,YPR131C,0.431385725736618
YDR470C,YDR077W,0.3029591143131256
YDR470C,YJR120W,0.2805905342102051
YDR470C,YPR140W,0.0058865854516625
YDR470C,YOL009C,0.117297425866127
YDR470C,YBR234C,0.2033098638057708
YDR470C,YOL060C,0.4855121970176697
YDR470C,YIL062C,0.0475465357303619
YDR470C,YOR330C,0.5331266522407532
YDR470C,YOR211C,0.8535305857658386
YDR470C,YKR036C,0.1612467020750045
YDR470C,YEL020W-A,0.9259909987449646
YDR470C,YDR339C,0.0006007871124893
YDR470C,YML104C,0.0240186918526887
YDR470C,YMR302C,0.1400101333856582
YDR470C,YLR355C,0.1133906543254852
YDR470C,YDR258C,0.8080991506576538
YDR470C,YJL063C,0.1301451176404953
YDR470C,YOR147W,0.02030442468822
YDR470C,YGR144W,0.0012085140915587
YDR470C,YFL039C,0.0131202340126037
YDR470C,YOR326W,0.1427201628684997
YDR470C,YLR304C,0.6527101993560791
YDR470C,YHR194W,0.1935173869132995
YOL095C,YDR470C,0.0493728145956993
YOL095C,YOL095C,1.7622418944130225e-20
YOL095C,YLL006W,0.0062861717306077
YOL095C,YJR135W-A,0.4992810189723968
YOL095C,YBL080C,0.0603703930974006
YOL095C,YGL020C,0.3434223234653473
YOL095C,YOR037W,5.322794822859578e-05
YOL095C,YDR296W,0.2578584849834442
YOL095C,YMR134W,0.000285849411739
YOL095C,YBR185C,0.7856924533843994
YOL095C,YNL304W,0.0021225379314273
YOL095C,YJR065C,0.0002671181282494
YOL095C,YCR020C,0.0059905205853283
YOL095C,YNR035C,0.0046496870927512
YOL095C,YDL198C,0.0003118353488389
YOL095C,YIL051C,0.7647348046302795
YOL095C,YMR211W,0.0056535089388489
YOL095C,YJL112W,0.0024947049096226
YOL095C,YKL013C,0.9936581254005432
YOL095C,YHR005C-A,0.7776998281478882
YOL095C,YBR091C,0.0003616531612351
YOL095C,YNL213C,0.1019908785820007
YOL095C,YNL079C,0.1605549901723861
YOL095C,YGL055W,0.0080852778628468
YOL095C,YLL001W,4.500054637901485e-05
YOL095C,YDR393W,0.0009024488390423
YOL095C,YKR085C,0.0099661471322178
YOL095C,YPR083W,0.7524126768112183
YOL095C,YLR368W,0.0434469766914844
YOL095C,YMR241W,0.0011473901104182
YOL095C,YNL121C,0.1312428563833236
YOL095C,YOL027C,2.7844618671224453e-05
YOL095C,YHR120W,0.9929621815681458
YOL095C,YGR181W,0.007580243051052
YOL095C,YKL053C-A,0.9983689188957214
YOL095C,YPR024W,0.1000543758273124
YOL095C,YDL142C,0.8846204280853271
YOL095C,YJL054W,0.9862951636314392
YOL095C,YGR101W,0.0008108183392323
YOL095C,YPR125W,0.0006045736954547
YOL095C,YCL044C,0.0065255621448159
YOL095C,YDR150W,0.2754731774330139
YOL095C,YCR028C-A,0.1578567028045654
YOL095C,YNL055C,0.0128365652635693
YOL095C,YNL026W,0.0244028978049755
YOL095C,YMR012W,0.9277185201644896
YOL095C,YHR083W,0.1554862856864929
YOL095C,YNL310C,0.0067792255431413
YOL095C,YNL149C,0.0032937384676188
YOL095C,YKR042W,0.2788598537445068
YOL095C,YBR212W,0.020126074552536
YOL095C,YLR370C,0.2018634527921676
YOL095C,YNL066W,0.1504719704389572
YOL095C,YBR179C,0.099354438483715
YOL095C,YMR060C,0.1816688030958175
YOL095C,YGL219C,0.1395937353372573
