,"Run 1, Fold 1","Run 1, Fold 2","Run 1, Fold 3","Run 1, Fold 4","Run 2, Fold 1","Run 2, Fold 2","Run 2, Fold 3","Run 2, Fold 4","Run 3, Fold 1","Run 3, Fold 2","Run 3, Fold 3","Run 3, Fold 4","Run 4, Fold 1","Run 4, Fold 2","Run 4, Fold 3","Run 4, Fold 4","Run 5, Fold 1","Run 5, Fold 2","Run 5, Fold 3","Run 5, Fold 4","Run 6, Fold 1","Run 6, Fold 2","Run 6, Fold 3","Run 6, Fold 4","Run 7, Fold 1","Run 7, Fold 2","Run 7, Fold 3","Run 7, Fold 4","Run 8, Fold 1","Run 8, Fold 2","Run 8, Fold 3","Run 8, Fold 4","Run 9, Fold 1","Run 9, Fold 2","Run 9, Fold 3","Run 9, Fold 4","Run 10, Fold 1","Run 10, Fold 2","Run 10, Fold 3","Run 10, Fold 4"
"Run 1, Fold 1",0.0,1.0,1.0,1.0,0.7241190619016802,0.14570429401572482,0.9189509530523835,0.27496141381979355,0.879526277716527,0.33012788241797975,0.16447095135321954,0.4137149169531812,0.25445102919987084,0.5713106759110729,0.5527529218104317,0.9165079424897441,0.7797605600510767,0.9573778270703799,0.2695174932438874,0.7936523980615525,0.6910919631607619,0.09550734159651575,0.632774075310471,0.9928918250437936,0.45781780869892585,0.9325124220878593,0.6741917240306444,0.8027558659313947,0.6741917240306444,0.29627967124508237,0.9911126518631417,0.521151452340747,0.1927497507106548,0.4513507692265899,0.9863621469911673,0.6086083317321449,0.7131760977183821,0.2018777325607699,0.4264834626715285,0.9511628893904723
"Run 1, Fold 2",1.0,0.0,1.0,1.0,0.8729375384653748,0.037673757503361216,0.9787771584354069,0.9787771584354069,0.45135076922706774,0.13830738324067204,0.9642233463224736,0.501664303006995,0.1250211111390419,0.3471524552419236,0.9303892984572933,0.8858484810073999,0.798235904088685,0.02550208503068918,0.5649203645227094,0.31836122267479783,0.9366564692787971,0.9034356408743369,0.4384587322629746,0.043029375773841805,0.24921884367147273,0.840324443554169,0.7502039354758978,0.45135076922706774,0.906159223928396,0.11836658737952388,0.26952195182682115,0.5146584758884081,0.46346994670825237,0.7700547381421691,0.5081639593060857,0.13830738324067204,0.8978112550258148,0.7450339605344991,0.3019689673644367,0.18039983330189746
"Run 1, Fold 3",1.0,1.0,0.0,1.0,0.2641344742638835,0.9386263466487141,0.024531605516050714,0.9460935562155259,0.29627967124442633,0.9938162278276491,0.9282141376913353,0.6204791501637323,0.718674504169472,0.7601131482237097,0.9478266119168802,0.37068750873792267,0.6910919631604654,0.7131851041175009,0.7601131482237097,0.10055542862992917,0.5269117384061901,0.7651121091214903,0.8978135844657931,0.9006531729139613,0.9629440197734638,0.2440420429404604,0.6624096398144852,0.0803544732568019,0.5713106759107209,0.25880431188534736,0.8858484810072107,0.4448936563639738,0.9213807141063919,0.6564631096739516,0.3471524552408215,0.7131851041175009,0.9088528048545829,0.46995529260004576,0.8363681004958468,0.3830930440370701
"Run 1, Fold 4",1.0,1.0,1.0,0.0,0.9616291087800752,0.9559023253737986,0.5333861064981731,0.11836658737792571,0.6327740753102031,0.19275717596926445,0.6327740753102031,0.5585101219052745,0.7936523980613753,0.8661015229126825,0.09273661690638602,0.5269117384061901,0.3830930440370701,0.5016643030061201,0.9602757992580943,0.9237122905223744,0.5585101219052745,0.626644128588148,0.6204791501637323,0.5649203645220356,0.9742912627947371,0.1564500137178767,0.4448936563639738,0.9690433442347646,0.6910919631604654,0.9443144332681633,0.11836658737792571,0.9690433442347646,0.5204272833822917,0.9922378612442394,0.5960698453543343,0.05748283861386627,0.48866711026041043,0.7651121091214903,0.29627967124442633,0.6023486080343564
"Run 2, Fold 1",0.7241190619019093,0.8729375384653748,0.2641344742651892,0.9616291087801546,0.0,1.0,1.0,1.0,0.6086083317325073,0.29628433079047267,0.5146584758884081,0.8517236367364898,0.24921884367147273,0.789013250879169,0.8590620925090016,0.8114421073643672,0.9303892984572933,0.8157752810066135,0.4073698441901613,0.17189213605152032,0.6564631096745419,0.8729375384653748,0.7651121091218366,0.10648830120128039,0.6967842453119404,0.8590620925090016,0.45135076922706774,0.6086083317325073,0.668322834564273,0.9006531729141505,0.8157752810066135,0.5776898584178419,0.46346994670825237,0.6327790740554255,0.6023537347575996,0.9884850375374711,0.5897581786082677,0.6327790740554255,0.9495170756752374,0.45135076922706774
"Run 2, Fold 2",0.14570429401572482,0.03767375750243851,0.9386263466487363,0.9559023253738523,1.0,0.0,1.0,1.0,0.36543638014719027,0.5776898584175358,0.9088266423269423,0.7450297228475444,0.7024265945346482,0.9629440197734919,0.14570429401572482,0.6624096398148339,0.16447095135321954,0.6086083317321449,0.35320628426120115,0.632774075310471,0.4137149169531812,0.2018777325607699,0.815771782030452,0.8919477072208533,0.45781780869892585,0.6148372207920825,0.9588125253853756,0.18475162377621346,0.08539625069560364,0.12165990348338374,0.7749364151228302,0.9588125253853756,0.8114350037138993,0.9943501765114275,0.05244142431859555,0.5463083960975595,0.789005639480382,0.995537432942927,0.20653389338166128,0.11266915421488599
"Run 2, Fold 3",0.9189509530524482,0.9787771584354069,0.024531605517845056,0.5333861064989616,1.0,1.0,0.0,1.0,0.9405502679153431,0.9884850375374711,0.1250211111390419,0.4384587322629746,0.7241190619019093,0.05748283861560177,0.7749364151229454,0.8114421073643672,0.7502039354758978,0.5398539897674381,0.215116655336704,0.73980616599387,0.9259898647296223,0.05069312260681569,0.4699552926009496,0.962945067543357,0.16042866562518143,0.8762620107953302,0.906159223928396,0.6388775382701821,0.7502039354758978,0.8323534208942889,0.8729375384653748,0.16042866562518143,0.43203182513208094,0.6624144827296383,0.4448989447508961,0.8363713407458535,0.43203182513208094,0.043029375773841805,0.9405502679153431,0.9911126518631485
"Run 2, Fold 4",0.2749614138203813,0.9787771584354069,0.946093556215612,0.11836658737952388,1.0,1.0,1.0,0.0,0.4200901434788399,0.8729375384653748,0.5146584758884081,0.4384587322629746,0.7749364151229454,0.501664303006995,0.7241190619019093,0.6564631096745419,0.7241190619019093,0.4448989447508961,0.9938162278276587,0.8695498777283472,0.9006531729141505,0.26952195182682115,0.8517236367364898,0.3532112788934131,0.8919477072209426,0.01825651134865902,0.8919477072209426,0.7502039354758978,0.8919477072209426,0.8695498777283472,0.030520271212807204,0.7502039354758978,0.9667398949060564,0.02119668503032368,0.3532112788934131,0.6023537347575996,0.37068243220055075,0.9282159191505592,0.22483391360990412,0.9405502679153431
"Run 3, Fold 1",0.879526277716527,0.4513507692265899,0.29627967124508237,0.632774075310471,0.6086083317321449,0.36543638014719027,0.940550267915276,0.4200901434782768,0.0,1.0,1.0,1.0,0.8242516376146034,0.9386263466487363,0.6148372207920825,0.38309304403770505,0.7797605600510767,0.7749364151228302,0.8729348134867625,0.35320628426120115,0.2695174932438874,0.7502039354756925,0.5398486992657223,0.8919477072208533,0.8626378458877629,0.6449430952929371,0.4264834626715285,0.09833717520793905,0.08539625069560364,0.7936523980615525,0.5146584758880163,0.8442159265781606,0.8517175687507266,0.7241190619016802,0.7749364151228302,0.6967842453116615,0.6853507926148822,0.7241190619016802,0.5840458299242711,0.7553195602221625
"Run 3, Fold 2",0.3301278824185654,0.13830738324067204,0.9938162278276587,0.19275717597069997,0.29628433079047267,0.5776898584178419,0.9884850375374711,0.8729375384653748,1.0,0.0,1.0,1.0,0.3593047220583202,0.6564631096745419,0.22483391360990412,0.501664303006995,0.24921884367147273,0.47644563657769456,0.5333861064989616,0.9818857065325935,0.9366564692787971,0.9034356408743369,0.3471524552419236,0.08035651473172789,0.18039983330189746,0.6086083317325073,0.9495170756752374,0.5776898584178419,0.8919477072209426,0.789013250879169,0.0692730836733545,0.906159223928396,0.5269064271979766,0.3532112788934131,0.6327790740554255,0.6624144827296383,0.14869338359217066,0.9690442466532088,0.1250211111390419,0.798235904088685
"Run 3, Fold 3",0.16447095135321954,0.9642233463224266,0.928214137691386,0.632774075310471,0.5146584758880163,0.9088266423269423,0.12502111113821124,0.5146584758880163,1.0,1.0,0.0,1.0,0.45781780869892585,0.4764403139326878,0.36543638014719027,0.7450297228475444,0.5840458299242711,0.33012788241797975,0.815771782030452,0.7700507367652107,0.8554220738177939,0.859062092508915,0.4764403139326878,0.5776898584175358,0.9894118059500709,0.7295089080863071,0.032881105316374004,0.9511628893904723,0.6741917240306444,0.9034334084282181,0.9943501765114275,0.14570429401572482,0.10348556352838478,0.999599997793465,0.4513507692265899,0.4200901434782768,0.6853507926148822,0.6967842453116615,0.6148372207920825,0.7295089080863071
"Run 3, Fold 4",0.4137149169526576,0.5016643030061201,0.6204791501637323,0.5585101219052745,0.8517236367362562,0.745029722847347,0.43845873226204213,0.43845873226204213,1.0,1.0,1.0,0.0,0.8157717820303151,0.6795807792628649,0.5081586359263817,0.7601131482237097,0.5713106759107209,0.9818857065325627,0.2850617333988654,0.37068750873792267,0.1311699240212979,0.2389298304743832,0.9602757992580943,0.8323534208940024,0.745029722847347,0.9034334084281129,0.8157717820303151,0.1972828705015761,0.9165079424896508,0.16773650647364224,0.7651121091214903,0.718674504169472,0.7795471725795645,0.007414363798883383,0.46995529260004576,0.8858484810072107,0.9213807141063919,0.05748283861386627,0.7936523980613753,0.3532062842606206
"Run 4, Fold 1",0.25445102919987084,0.12502111113821124,0.7186745041696933,0.7936523980615525,0.2492188436708147,0.7024265945346482,0.7241190619016802,0.7749364151228302,0.8242516376146034,0.35930472205781416,0.45781780869892585,0.815771782030452,0.0,1.0,1.0,1.0,0.280456407825755,0.5776898584175358,0.7186745041696933,0.7186745041696933,0.4137149169531812,0.859062092508915,0.8554220738177939,0.6388775382698748,0.5840458299242711,0.4894397553344735,0.45781780869892585,0.7024265945346482,0.7553195602221625,0.5398486992657223,0.27496141381979355,0.7553195602221625,0.5333755033922097,0.35930472205781416,0.16042866562439817,0.7502039354756925,0.5016536478243689,0.798235904088485,0.7553195602221625,0.879526277716527
"Run 4, Fold 2",0.5713106759107209,0.3471524552408215,0.7601131482237097,0.8661015229126825,0.789013250878779,0.9629440197734638,0.05748283861386627,0.5016643030061201,0.9386263466487141,0.6564631096739516,0.4764403139321919,0.6795807792628649,1.0,0.0,1.0,1.0,0.7700507367649907,0.5333861064981731,0.40104608234020933,0.9602757992580943,0.49516655496972206,0.37687581473359344,0.7345255947021108,0.9989457733686957,0.5713106759107209,0.8157717820303151,0.718674504169472,0.6910919631604654,0.3532062842606206,0.3411346156437055,0.5960698453543343,0.8729348134866559,0.5204272833822917,0.5333861064981731,0.5333861064981731,0.9366564692787025,0.2795259193492299,0.8695498777281137,0.8889262820890298,0.6910919631604654
"Run 4, Fold 3",0.5527529218104317,0.9303892984572077,0.9478266119169193,0.09273661690719848,0.859062092508915,0.14570429401572482,0.7749364151228302,0.7241190619016802,0.6148372207920825,0.22483391360920169,0.36543638014719027,0.5081586359268487,1.0,1.0,0.0,1.0,0.08539625069560364,0.6388775382698748,0.632774075310471,0.9690433442347816,0.03633304834359363,0.4513507692265899,0.815771782030452,0.5776898584175358,0.3077041621742038,0.8442159265781606,0.36543638014719027,0.08539625069560364,0.4894397553344735,0.978776502346523,0.6388775382698748,0.22978501168890864,0.789005639480382,0.9495170756751946,0.8200440295628315,0.2492188436708147,0.5649098800073407,0.859062092508915,0.5840458299242711,0.12844503224655968
