GO Term ID,GO Term Name,Num Annotations,ES,p-value,NES,FDR q-value,LES size,Leading-edge subset
GO:0032979,protein insertion into mitochondrial inner membrane from matrix,9,0.6790123456790121,0.0392156862745098,1.4902021057378902,0.8467695650840521,4,YPR125W;YOR266W;YOL027C;YBR185C
GO:0032978,protein insertion into membrane from inner side,9,0.6790123456790121,0.05319148936170213,1.4561505175357337,0.5916293904517396,4,YPR125W;YOR266W;YOL027C;YBR185C
GO:0090151,establishment of protein localization to mitochondrial membrane,32,0.42008860995393826,0.08793969849246232,1.305260109384289,1.9708654069423575,12,YMR060C;YBR185C;YJL054W;YNL070W;YOL027C;YNL026W;YGR181W;YOL009C;YOR266W;YPL098C;YNL121C;YPR125W
GO:0030150,protein import into mitochondrial matrix,24,0.5715431985964238,0.1595238095238095,1.2654889746232953,2.4963987014295665,2,YNL121C;YPL098C
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,0.9344262295081968,0.13105413105413105,1.2574319653070214,2.1718345155114327,1,
GO:0042773,ATP synthesis coupled electron transport,29,0.9344262295081968,0.10666666666666667,1.2569093261201916,1.819876656254153,1,
GO:0070131,positive regulation of mitochondrial translation,14,0.7631578947368423,0.15667311411992263,1.2459863560721793,1.7291953657533652,1,YBR185C
GO:0062125,regulation of mitochondrial gene expression,18,0.75,0.1693548387096774,1.2255819161283577,1.7985764574963528,1,YBR185C
GO:0070129,regulation of mitochondrial translation,16,0.7567567567567572,0.16569200779727095,1.225283936508698,1.6048974350361858,1,YBR185C
GO:0045040,protein insertion into mitochondrial outer membrane,11,0.49238694367166447,0.20531757754800592,1.2093941338402525,1.6231906979597024,4,YMR060C;YNL070W;YOL009C;YNL026W
GO:0000266,mitochondrial fission,9,0.5204248532472988,0.2289855072463768,1.2084272668985525,1.4916792159827241,1,YJL112W
GO:0045041,protein import into mitochondrial intermembrane space,8,0.9024390243902439,0.21333333333333335,1.1911575332665625,1.5301477321019405,1,
GO:0046677,response to antibiotic,7,0.891566265060241,0.19956140350877194,1.1856640899508093,1.460798385582943,1,
GO:0016559,peroxisome fission,8,0.5805909114303703,0.2706422018348624,1.1632359185143977,1.5391608360971034,1,YJL112W
GO:0022904,respiratory electron transport chain,33,0.9298245614035088,0.1607843137254902,1.1608830097921352,1.46261878370741,1,
GO:0036297,interstrand cross-link repair,11,0.8734177215189873,0.25170068027210885,1.1575243457090671,1.399111066326106,1,
GO:0007008,outer mitochondrial membrane organization,15,0.4721337791147028,0.28164556962025317,1.1532046121393353,1.3503070793839702,4,YMR060C;YNL070W;YOL009C;YNL026W
