GO Term ID,GO Term Name,Num Annotations,ES,p-value,NES,FDR q-value,LES size,Leading-edge subset
GO:0032543,mitochondrial translation,131,0.8965457741463345,0.0,3.81972005332993,0.0,54,YLR439W;YDR237W;YNR037C;YGR076C;YGR215W;YNR045W;YNL306W;YIL093C;YNL284C;YDR197W;YBR268W;YPR166C;YNR022C;YLR204W;YNL081C;YDR347W;YNL137C;YNL252C;YJL096W;YDL202W;YKL138C;YDR041W;YKL003C;YBR146W;YHL004W;YMR286W;YPL173W;YPL013C;YDR405W;YJR113C;YMR193W;YBR122C;YNR036C;YML009C;YER050C;YMR158W;YMR024W;YKR006C;YOR158W;YDR462W;YGR084C;YKL167C;YPL183W-A;YNL185C;YJR101W;YDL045W-A;YMR282C;YBR251W;YHR147C;YPL104W;YBL038W;YCR003W;YCR046C;YLR312W-A
GO:0140053,mitochondrial gene expression,157,0.8722729232170229,0.0,3.7218331498690738,0.0,56,YLR439W;YDR237W;YNR037C;YGR076C;YGR215W;YNR045W;YNL306W;YIL093C;YNL284C;YDR197W;YBR268W;YPR166C;YNR022C;YLR204W;YNL081C;YDR347W;YNL137C;YNL252C;YJL096W;YDL202W;YKL138C;YDR041W;YKL003C;YBR146W;YHL004W;YMR286W;YPL173W;YPL013C;YDR405W;YJR113C;YMR193W;YBR122C;YNR036C;YGL107C;YML009C;YER050C;YMR158W;YMR024W;YKR006C;YOR158W;YDR462W;YGR084C;YKL167C;YBR282W;YPL183W-A;YNL185C;YJR101W;YDL045W-A;YMR282C;YBR251W;YHR147C;YPL104W;YBL038W;YCR003W;YCR046C;YLR312W-A
GO:0009060,aerobic respiration,89,0.6880284974673544,0.0,2.228983015686272,0.0012728697953480238,11,YLR395C;YDL066W;YJR048W;YOR065W;YFR049W;YHR051W;YDR031W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0019646,aerobic electron transport chain,29,0.7038609886714533,0.0019723865877712033,2.0176365285542204,0.02434363483603096,7,YLR395C;YOR065W;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0022900,electron transport chain,40,0.6882106903554372,0.0,2.0012080903370384,0.023675378193473245,7,YLR395C;YOR065W;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0042773,ATP synthesis coupled electron transport,29,0.7038609886714533,0.0,1.9989453183323072,0.02036591672556838,7,YLR395C;YOR065W;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0006119,oxidative phosphorylation,35,0.7035614730148084,0.0,1.9843527474099756,0.020184078183375812,7,YLR395C;YOR065W;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,0.7038609886714533,0.0,1.9703018869166156,0.02171834088312566,7,YLR395C;YOR065W;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0000959,mitochondrial RNA metabolic process,42,0.7734799529855121,0.0,1.96615697325734,0.020896279140296726,5,YPR047W;YMR228W;YGL107C;YCR024C;YPL104W
GO:1902600,proton transmembrane transport,80,0.677892769864579,0.0,1.9640938856390275,0.01928397739952256,7,YLR395C;YOR065W;YNL321W;YHR051W;YDL067C;YNL052W;YMR256C
GO:0022904,respiratory electron transport chain,33,0.7036616292712466,0.0,1.9493162670217123,0.021870217392797868,7,YLR395C;YOR065W;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0062125,regulation of mitochondrial gene expression,18,0.8967116870167121,0.0,1.9101491023205734,0.03357194085230413,2,YDR197W;YNR045W
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",11,0.7192176291516025,0.00404040404040404,1.8983520548143138,0.03576274559622044,6,YLR395C;YHR051W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0018208,peptidyl-proline modification,16,0.6965711650215183,0.001869158878504673,1.8885675531234978,0.03702687315396305,4,YNR028W;YDR304C;YDR155C;YHR057C
GO:0045333,cellular respiration,107,0.5412586615651483,0.0,1.8532890290569224,0.05097843530368836,11,YLR395C;YDL066W;YJR048W;YOR065W;YFR049W;YHR051W;YDR031W;YGL226W;YDL067C;YNL052W;YMR256C
GO:0000413,protein peptidyl-prolyl isomerization,14,0.7008606563321639,0.0055762081784386614,1.8522720724648514,0.04868726967206192,4,YNR028W;YDR304C;YDR155C;YHR057C
GO:0071985,multivesicular body sorting pathway,60,0.6122379002843933,0.0,1.8509213539828449,0.04672180895865688,9,YDR525W-A;YJR161C;YBR302C;YJL151C;YNL336W;YNL265C;YFL062W;YDL248W;YGR295C
GO:0032509,endosome transport via multivesicular body sorting pathway,59,0.6124135787268,0.0041841004184100415,1.836801025124898,0.054521256234073695,9,YDR525W-A;YJR161C;YBR302C;YJL151C;YNL336W;YNL265C;YFL062W;YDL248W;YGR295C
GO:1901679,nucleotide transmembrane transport,15,0.726036878657107,0.007736943907156673,1.8204655016485696,0.06275583056801376,3,YPL134C;YHR002W;YIL006W
GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,30,0.6904153468849618,0.0,1.810737248550947,0.06501182479740032,5,YEL052W;YOR336W;YOR197W;YLR024C;YJR117W
GO:0070129,regulation of mitochondrial translation,16,0.8932099741824884,0.0,1.795779406292742,0.07346277104580023,1,YNR045W
GO:0006835,dicarboxylic acid transport,15,0.7026432294260491,0.004056795131845842,1.7876894419755875,0.07802113268303683,3,YPL134C;YIL088C;YBL089W
GO:0070131,positive regulation of mitochondrial translation,14,0.8933194705974047,0.0038314176245210726,1.7752753760922777,0.085130085334526,1,YNR045W
GO:0051788,response to misfolded protein,21,0.6596496540197795,0.010330578512396695,1.7183880662979947,0.1490450975990327,5,YGR234W;YGR184C;YOR336W;YLR024C;YJR117W
GO:0016197,endosomal transport,114,0.4972747940626399,0.002551020408163265,1.7113617483378316,0.1538899582575761,11,YDR525W-A;YJR161C;YOR357C;YBR302C;YJL151C;YKL039W;YNL265C;YFL062W;YNL336W;YDL248W;YGR295C
GO:0071218,cellular response to misfolded protein,21,0.6596496540197795,0.012121212121212121,1.7091446994596524,0.15175300569730912,5,YGR234W;YGR184C;YOR336W;YLR024C;YJR117W
GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,52,0.5795172560885766,0.01882845188284519,1.7090647215141654,0.14620323899344664,8,YJR161C;YPL070W;YBR302C;YNL336W;YNL265C;YFL062W;YDL248W;YGR295C
GO:0043255,regulation of carbohydrate biosynthetic process,32,0.7159217086810374,0.016494845360824743,1.698727289571661,0.1572448793610291,5,YPL219W;YIL050W;YDR313C;YDL240W;YER059W
GO:0010675,regulation of cellular carbohydrate metabolic process,40,0.7143191649608427,0.014227642276422764,1.68457305011046,0.1756231127115959,5,YPL219W;YIL050W;YDR313C;YDL240W;YER059W
GO:0006862,nucleotide transport,39,0.6210725101061346,0.010615711252653927,1.681324754514507,0.1749877751154696,4,YPL134C;YNL083W;YHR002W;YIL006W
GO:0045324,late endosome to vacuole transport,64,0.576931914789266,0.014373716632443531,1.6786249423449013,0.17427024609373712,8,YJR161C;YPL070W;YBR302C;YNL336W;YNL265C;YFL062W;YDL248W;YGR295C
GO:0140056,organelle localization by membrane tethering,44,0.6225396058708326,0.02186878727634195,1.6254859392337933,0.27631218854328277,5,YOL018C;YML072C;YOR086C;YBL091C-A;YDR468C
