Gene,+/-,Fold
YNL307C,1,0
YOR290C,1,0
YLR103C,1,0
YDL042C,1,0
YNL250W,1,0
YPR019W,1,0
YPR007C,1,0
YGL163C,1,0
YMR190C,1,0
YDL003W,1,0
YDR227W,1,0
YJL092W,1,0
YHL022C,1,0
YFR027W,1,0
YAL019W,1,0
YNL133C,1,0
YLR357W,1,0
YJL173C,1,0
YJL090C,1,0
YPL127C,1,0
YOR033C,1,0
YHR134W,1,0
YLR320W,1,0
YBL088C,1,0
YLR135W,1,0
YDR386W,1,0
YBR289W,1,0
YMR076C,1,0
YEL019C,1,0
YIL132C,1,0
YDR191W,1,0
YLR442C,1,0
YMR039C,1,0
YLR383W,1,0
YDL017W,1,0
YLR274W,1,0
YML057W,0,0
YKL165C,0,0
YLR262C-A,0,0
YLR328W,0,0
YDL159W,0,0
YBL001C,0,0
YDR080W,0,0
YGR059W,0,0
YDR214W,0,0
tM(CAU)J1,0,0
YBL028C,0,0
YJR094W-A,0,0
YIL068C,0,0
YJL068C,0,0
YPL065W,0,0
YAL055W,0,0
tD(GUC)L1,0,0
YDR182W,0,0
YOL043C,0,0
tE(CUC)I,0,0
YHR079C,0,0
YNL222W,0,0
YER023W,0,0
tI(UAU)L,0,0
YPL203W,0,0
YEL061C,0,0
YHR196W,0,0
YEL017W,0,0
snR52,0,0
YOR313C,0,0
YNR050C,0,0
YPR124W,0,0
YGL248W,0,0
YNR002C,0,0
YOR375C,0,0
snR60,0,0
YJR076C,0,0
YLL048C,0,0
YFL002W-B,0,0
YOR017W,0,0
YDL020C,0,0
YPL154C,0,0
YNL322C,0,0
YCR038C,0,0
YPL224C,0,0
YGR225W,0,0
YOR241W,0,0
tT(UGU)Q1,0,0
YPR151C,0,0
YDR488C,0,0
tQ(UUG)D1,0,0
YKL055C,0,0
snR8,0,0
YGL078C,0,0
YOL009C,0,0
snR161,0,0
YBL106C,0,0
YPL096C-A,0,0
YOR254C,0,0
YDR500C,0,0
YPL023C,0,0
YCR027C,0,0
YML060W,0,0
SME2,0,0
YOR233W,0,0
YLR405W,0,0
YFL057C,0,0
YHR168W,0,0
YLL036C,0,0
YMR008C,0,0
YPR162C,0,0
YDR055W,0,0
tA(AGC)L,0,0
YGL192W,0,0
YHR064C,0,0
YER078C,0,0
YER144C,0,0
YPL211W,0,0
YOL008W,0,0
YNL002C,0,0
YLR088W,0,0
YBL105C,0,0
YBL085W,0,0
YFL009W,0,0
YNL164C,0,0
YHR206W,0,0
YPL026C,0,0
YER087C-B,0,0
tM(CAU)E,0,0
YPL268W,0,0
YBR067C,0,0
YGR038C-B,0,0
YDR346C,0,0
YKL049C,0,0
YJR105W,0,0
YPL070W,0,0
YLR085C,0,0
YHR120W,0,0
YOR126C,0,0
YKL220C,0,0
YNL339C,0,0
YIL002C,0,0
YCR083W,0,0
YDL018C,0,0
YDL179W,0,0
YOR244W,0,0
YBL009W,0,0
YHR027C,0,0
YGR251W,0,0
PFK4,0,0
YGR193C,0,0
YJR089W,0,0
YPR035W,0,0
YIL121W,0,0
tN(GUU)F,0,0
YGL208W,0,0
YKL008C,0,0
Q0160,0,0
YHR176W,0,0
YOR243C,0,0
YPL233W,0,0
YNR059W,0,0
YGL100W,0,0
YGL111W,0,0
YLR155C,0,0
YMR167W,0,0
YDR098C,0,0
YDR223W,0,0
YLR308W,0,0
YIL061C,0,0
YMR250W,0,0
YOR178C,0,0
YKL210W,0,0
YJR051W,0,0
tI(AAU)E2,0,0
YPL029W,0,0
YDR385W,0,0
YCL039W,0,0
snR9,0,0
YML106W,0,0
